asset_id,run_id,asset_type,entity_type,sport,league,entity_name,source_domain,page_url,source_url,discovered_via,selector_used,alt_text,title_text,mime_type,file_ext,width_px,height_px,file_bytes,http_status,sha256,ahash,rights_status,rights_notes,needs_manual_review,is_official_source,crawl_timestamp_utc,download_path,thumbnail_path,candidate_score,approval_status,approved_asset_id
ast_a3fec5c7be4af4,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,www.wnba.com,https://www.wnba.com/players,https://www.wnba.com/images/WNBA_fallback.png,open_graph,og:image,,WNBA Players & Rosters | WNBA,image/png,png,800,500,17727,200,10573f13f074421199a1667c15569fca3c4a342de87e3b04c933e7b18865c7fa,0000407e7e400000,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:01.741028+00:00,data/assets/raw/ast_a3fec5c7be4af4.png,data/assets/thumbs/ast_a3fec5c7be4af4.webp,55,approved,appr_c158a654a3bd50
ast_ed919931c30ac1,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,www.wnba.com,https://www.wnba.com/players,https://www.wnba.com/images/fallbackimage_black.jpg,open_graph,twitter:image,,WNBA Players & Rosters | WNBA,image/jpeg,jpg,1600,900,43747,200,8e4bcc660eefced4f5f4b81c8d23cd6802657cd2d8b0d8a4126851aa22c08efe,0808181818180808,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:02.408863+00:00,data/assets/raw/ast_ed919931c30ac1.jpg,data/assets/thumbs/ast_ed919931c30ac1.webp,55,approved,appr_7bf6ef92c16bed
ast_3a5c45ca825792,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/static/next/images/logos/wnba-secondary-logo.svg,img_tag,img,WNBA,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,2521,200,0a943b3b90b703af5cd9378f0025cf45ef522e6f813684039c16973c01df9894,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:03.045564+00:00,data/assets/raw/ast_3a5c45ca825792.svg,,45,approved,appr_69dc42b85360bc
ast_e4613120ae85e2,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661330/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,2919,200,a76ce6ab16ebc69cf0cc3c40915e7d9d5dbaea8cc57a61e21699761404b7b0e8,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:03.687993+00:00,data/assets/raw/ast_e4613120ae85e2.svg,,45,approved,appr_4bf65f0d48b2ee
ast_3e2b68620d5f1b,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661329/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,4046,200,172aba56e343507f6b5e3edd9ea6cf4971173bc86171e90ece2e27cdc4610483,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:04.346688+00:00,data/assets/raw/ast_3e2b68620d5f1b.svg,,45,approved,appr_6e1c47456fad82
ast_bb6d9791d2919d,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661323/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,12359,200,86a071cffb6761b35f5d3602036740182dcb5eae146ae4916a92268254de4b4b,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:04.985663+00:00,data/assets/raw/ast_bb6d9791d2919d.svg,,45,approved,appr_f30373f1742c2d
ast_8d9666982def96,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661321/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,17842,200,34667bdc5aa8ab8349a2c6754079d197e3ee8807a5226c9271386c9016848356,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:05.621863+00:00,data/assets/raw/ast_8d9666982def96.svg,,45,approved,appr_f284cff149db0e
ast_d8132a0b67e8d2,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661331/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,1207,200,399de741bc06f4b8e4dd5dd7601780717c4c3da01bf93e073e42953d40cef1de,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:06.260907+00:00,data/assets/raw/ast_d8132a0b67e8d2.svg,,45,approved,appr_e131b45f1f748e
ast_cc63043a642018,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661325/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,17010,200,45882f631146fa58ed847f70665be3ff4438a790bd5d3920e0964fa5ed4cebcf,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:06.900585+00:00,data/assets/raw/ast_cc63043a642018.svg,,45,approved,appr_d5ccb32a7887bc
ast_31860909850154,assetdesk_20260608_033823,headshot,player,basketball,WNBA,A'ja Wilson,cdn.wnba.com,https://www.wnba.com/players,https://cdn.wnba.com/logos/wnba/1611661319/primary/L/logo.svg,img_tag,img,,WNBA Players & Rosters | WNBA,image/svg+xml,svg,,,1914,200,a96b8f2aaf28efe1dbec46958149a5f7b50c769b4f98b6dd2519f202d394abbc,,auto_approved_by_hsd_aggressive_policy,Source/provenance retained. Current HSD policy auto-approves public candidates.,No,Yes,2026-06-08T03:51:07.548679+00:00,data/assets/raw/ast_31860909850154.svg,,45,approved,appr_0b93c40709057a
