review_id,asset_id,review_status,decision_reason,rightsholder,license_confirmed,usage_scope,created_utc,reviewed_utc
rr_103ab79705c67e,ast_a3fec5c7be4af4,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,www.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:01.741028+00:00,2026-06-08T03:52:45.691497+00:00
rr_939c7336e9f919,ast_ed919931c30ac1,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,www.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:02.408863+00:00,2026-06-08T03:52:45.691504+00:00
rr_515d2fc7195209,ast_3a5c45ca825792,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:03.045564+00:00,2026-06-08T03:52:45.691509+00:00
rr_594f1b797b2d61,ast_e4613120ae85e2,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:03.687993+00:00,2026-06-08T03:52:45.691514+00:00
rr_ba6d1d4f40593f,ast_3e2b68620d5f1b,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:04.346688+00:00,2026-06-08T03:52:45.691519+00:00
rr_f11d91f5ceeca8,ast_bb6d9791d2919d,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:04.985663+00:00,2026-06-08T03:52:45.691524+00:00
rr_55778662dfc41e,ast_8d9666982def96,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:05.621863+00:00,2026-06-08T03:52:45.691529+00:00
rr_a386e77c8dc2b6,ast_d8132a0b67e8d2,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:06.260907+00:00,2026-06-08T03:52:45.691534+00:00
rr_5f721f7c10cf62,ast_cc63043a642018,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:06.900585+00:00,2026-06-08T03:52:45.691539+00:00
rr_afe49c4595ad12,ast_31860909850154,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:07.548679+00:00,2026-06-08T03:52:45.691544+00:00
rr_3d071c8f5f56b7,ast_3ab217684473cf,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:08.195972+00:00,2026-06-08T03:52:45.691549+00:00
rr_686686892c639d,ast_229b80e341b710,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:08.861904+00:00,2026-06-08T03:52:45.691554+00:00
rr_789cdee6203d77,ast_cb8eeb645aea7b,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:09.499515+00:00,2026-06-08T03:52:45.691559+00:00
rr_cae4ff47cb1c90,ast_d0a1ef36c8f473,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:10.149189+00:00,2026-06-08T03:52:45.691563+00:00
rr_c5ae21e7e0f6d1,ast_cc7d194738dd7b,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:10.787843+00:00,2026-06-08T03:52:45.691568+00:00
rr_fefc9228ebed27,ast_f4ddca68003043,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:11.424402+00:00,2026-06-08T03:52:45.691573+00:00
rr_82fcb4d5e6bb7b,ast_fae5191c92f132,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:12.065590+00:00,2026-06-08T03:52:45.691578+00:00
rr_d963e61c9fca30,ast_da1fbf3eb2caa2,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:51:12.709337+00:00,2026-06-08T03:52:45.691583+00:00
rr_727d9e3c5c4b20,ast_261c49a90da564,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,www.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:38.353326+00:00,2026-06-08T03:52:45.691587+00:00
rr_3069665bdb0ff1,ast_7087baa68d7f45,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,www.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:39.015192+00:00,2026-06-08T03:52:45.691592+00:00
rr_accbf3e4587681,ast_3be0cb2ed55140,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:39.654536+00:00,2026-06-08T03:52:45.691597+00:00
rr_bd28e8c02d5371,ast_95b690b479e971,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:40.297951+00:00,2026-06-08T03:52:45.691601+00:00
rr_a7057555566d54,ast_e66acb8c7ee61e,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:40.957247+00:00,2026-06-08T03:52:45.691607+00:00
rr_bf6fbd7cca4b65,ast_44e91ae9b75600,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:41.597233+00:00,2026-06-08T03:52:45.691612+00:00
rr_78da27c006a7a8,ast_d889c59e022a1a,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:42.233274+00:00,2026-06-08T03:52:45.691617+00:00
rr_506ef65724d753,ast_38c2acff271a20,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:42.881353+00:00,2026-06-08T03:52:45.691621+00:00
rr_084820bc7b0a61,ast_927f05553fc57c,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:43.525811+00:00,2026-06-08T03:52:45.691626+00:00
rr_353967ee03a4aa,ast_55e50e2bc63695,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:44.163907+00:00,2026-06-08T03:52:45.691630+00:00
rr_4bd38543bbafd7,ast_e23fea89fda3cf,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:44.801477+00:00,2026-06-08T03:52:45.691634+00:00
rr_e107a4f2d66df6,ast_a9802bd63d5179,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:45.441339+00:00,2026-06-08T03:52:45.691638+00:00
rr_be22f172ac707b,ast_a45d5f840de392,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:46.089605+00:00,2026-06-08T03:52:45.691643+00:00
rr_7fb149aaaf5dbf,ast_1729ef2271e2a3,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:46.728974+00:00,2026-06-08T03:52:45.691647+00:00
rr_b0552c682f00d3,ast_3e620a557eaae4,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:47.369109+00:00,2026-06-08T03:52:45.691652+00:00
rr_c04ece227449e2,ast_73c6ac1d60e9b0,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:48.009855+00:00,2026-06-08T03:52:45.691657+00:00
rr_ecb6d3342ebff5,ast_0d052b5dd09cf8,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:48.822102+00:00,2026-06-08T03:52:45.691661+00:00
rr_01fb426dbf172d,ast_f836347e4bd346,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.wnba.com,Yes,HSD social graphics,2026-06-08T03:50:49.460827+00:00,2026-06-08T03:52:45.691666+00:00
rr_93e886d384b9a2,ast_c21fa571c7f26b,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:26.678541+00:00,2026-06-08T03:52:45.691671+00:00
rr_85a56f47fc35d5,ast_5b62f4e1a687a5,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:27.304203+00:00,2026-06-08T03:52:45.691676+00:00
rr_ee1bc2dd470f8b,ast_c7faf0e339aa87,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:27.931122+00:00,2026-06-08T03:52:45.691681+00:00
rr_6372bca442955d,ast_33306739b3f684,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:28.558651+00:00,2026-06-08T03:52:45.691685+00:00
rr_d917cb66acb8b1,ast_2d1ef073d89b6b,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:29.187987+00:00,2026-06-08T03:52:45.691690+00:00
rr_3a6ee04101ca1f,ast_47b123331ce4af,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:29.814954+00:00,2026-06-08T03:52:45.691694+00:00
rr_0b85765b865412,ast_c7a330dfbe8754,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:30.441076+00:00,2026-06-08T03:52:45.691699+00:00
rr_dfb7b55294b6d8,ast_7eaf1157b11378,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,upload.wikimedia.org,Yes,HSD social graphics,2026-06-08T03:49:31.068308+00:00,2026-06-08T03:52:45.691704+00:00
rr_96ee32a2c27ec6,ast_211acf8342d728,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.sanity.io,Yes,HSD social graphics,2026-06-08T03:49:07.113040+00:00,2026-06-08T03:52:45.691709+00:00
rr_9aa40cc6b10052,ast_75712bc20d017a,approved,Source/provenance retained. Current HSD policy auto-approves public candidates.,cdn.sanity.io,Yes,HSD social graphics,2026-06-08T03:49:10.956868+00:00,2026-06-08T03:52:45.691713+00:00
