team_id,sport,league,team_slug,team_name,canonical_domain,canonical_page_url,logo_asset_id,last_verified_utc,status,notes
wnba_dallas-wings,basketball,WNBA,dallas-wings,Dallas Wings,wings.wnba.com,https://wings.wnba.com/roster/,appr_19ddbe2727a034,2026-06-08T03:52:45.690990+00:00,asset_found,
wnba_los-angeles-sparks,basketball,WNBA,los-angeles-sparks,Los Angeles Sparks,sparks.wnba.com,https://sparks.wnba.com/roster/,appr_785e87f4ef238f,2026-06-08T03:52:45.691016+00:00,asset_found,
wnba_los-angeles-sparks-top-performers,basketball,WNBA,los-angeles-sparks-top-performers,Los Angeles Sparks. Top performers,,,appr_d7c701597043e1,2026-06-08T03:52:45.691037+00:00,asset_found,
wnba_las-vegas-aces,basketball,WNBA,las-vegas-aces,Las Vegas Aces,aces.wnba.com,https://aces.wnba.com/roster/,appr_840e145de8318f,2026-06-08T03:52:45.691056+00:00,asset_found,
wnba_golden-state-valkyries,basketball,WNBA,golden-state-valkyries,Golden State Valkyries,valkyries.wnba.com,https://valkyries.wnba.com/roster/,appr_5ed8fa65ab99e2,2026-06-08T03:52:45.691075+00:00,asset_found,
wnba_minnesota-lynx,basketball,WNBA,minnesota-lynx,Minnesota Lynx,lynx.wnba.com,https://lynx.wnba.com/roster/,appr_0246cfb406b8bf,2026-06-08T03:52:45.691092+00:00,asset_found,
wnba_seattle-storm,basketball,WNBA,seattle-storm,Seattle Storm,storm.wnba.com,https://storm.wnba.com/roster/,appr_0f2fe9a71de0e2,2026-06-08T03:52:45.691109+00:00,asset_found,
wnba_phoenix-mercury,basketball,WNBA,phoenix-mercury,Phoenix Mercury,mercury.wnba.com,https://mercury.wnba.com/roster/,appr_955b4f10eaa001,2026-06-08T03:52:45.691147+00:00,asset_found,
wnba_portland-fire,basketball,WNBA,portland-fire,Portland Fire,www.wnba.com,https://www.wnba.com/teams,appr_b23892126efea8,2026-06-08T03:52:45.691165+00:00,asset_found,
volleyball_usa-w,volleyball,Volleyball,usa-w,USA W,,,appr_173801b4c31918,2026-06-08T03:52:45.691178+00:00,asset_found,
volleyball_france-w,volleyball,Volleyball,france-w,France W,,,appr_2e05f35aaa0975,2026-06-08T03:52:45.691190+00:00,asset_found,
volleyball_belgium-w,volleyball,Volleyball,belgium-w,Belgium W,,,appr_24c24babfa7186,2026-06-08T03:52:45.691201+00:00,asset_found,
volleyball_thailand-w,volleyball,Volleyball,thailand-w,Thailand W,,,appr_b0331b7702a0e5,2026-06-08T03:52:45.691214+00:00,asset_found,
soccer_brazil-w,soccer,Soccer,brazil-w,Brazil W,,,appr_d0b7fe3ef164cc,2026-06-08T03:52:45.691225+00:00,asset_found,
volleyball_bulgaria-w,volleyball,Volleyball,bulgaria-w,Bulgaria W,,,appr_20268eee4105ee,2026-06-08T03:52:45.691237+00:00,asset_found,
volleyball_canada-w,volleyball,Volleyball,canada-w,Canada W,,,appr_85000f102eb8d4,2026-06-08T03:52:45.691248+00:00,asset_found,
volleyball_china-w,volleyball,Volleyball,china-w,China W,,,appr_d410ce418ac949,2026-06-08T03:52:45.691258+00:00,asset_found,
volleyball_serbia-w,volleyball,Volleyball,serbia-w,Serbia W,,,appr_3dd0de3da3f507,2026-06-08T03:52:45.691270+00:00,asset_found,
volleyball_italy-w,volleyball,Volleyball,italy-w,Italy W,,,appr_5fe71ed2081086,2026-06-08T03:52:45.691281+00:00,asset_found,
volleyball_turkey-w,volleyball,Volleyball,turkey-w,Turkey W,,,appr_f85d943c0b72d0,2026-06-08T03:52:45.691292+00:00,asset_found,
soccer_japan-w,soccer,Soccer,japan-w,Japan W,,,appr_b03bd16e848b79,2026-06-08T03:52:45.691303+00:00,asset_found,
soccer_south-africa-w,soccer,Soccer,south-africa-w,South Africa W,,,appr_795693b8a641a0,2026-06-08T03:52:45.691316+00:00,asset_found,
soccer_mexico-w,soccer,Soccer,mexico-w,Mexico W,,,appr_57f95303ab0464,2026-06-08T03:52:45.691327+00:00,asset_found,
soccer_australia-w,soccer,Soccer,australia-w,Australia W,,,appr_d47d5dbdca4b2c,2026-06-08T03:52:45.691338+00:00,asset_found,
soccer_brazil-u20-w,soccer,Soccer,brazil-u20-w,Brazil U20 W,,,appr_31c92a0c88fe66,2026-06-08T03:52:45.691349+00:00,asset_found,
soccer_korea-republic-u20-w,soccer,Soccer,korea-republic-u20-w,Korea Republic U20 W,,,appr_6dd719db08f2fc,2026-06-08T03:52:45.691362+00:00,asset_found,
