player_id,sport,league,player_slug,player_name,headshot_asset_id,status,notes
wnba_arike-ogunbowale,basketball,WNBA,arike-ogunbowale,Arike Ogunbowale,appr_2646dc354c1762,asset_found,Required people/player image sourced via wikidata_p18.
wnba_jessica-shepard,basketball,WNBA,jessica-shepard,Jessica Shepard,appr_e229246a508b2e,asset_found,Required people/player image sourced via wikidata_p18.
wnba_paige-bueckers,basketball,WNBA,paige-bueckers,Paige Bueckers,appr_717263c3d3e94e,asset_found,Required people/player image sourced via wikidata_p18.
wnba_kelsey-plum,basketball,WNBA,kelsey-plum,Kelsey Plum,appr_d8c206f8d07cbd,asset_found,Required people/player image sourced via wikidata_p18.
wnba_ariel-atkins,basketball,WNBA,ariel-atkins,Ariel Atkins,appr_d3440f8552d66f,asset_found,Required people/player image sourced via wikidata_p18.
wnba_dearica-hamby,basketball,WNBA,dearica-hamby,Dearica Hamby,appr_505914b839a2ec,asset_found,Required people/player image sourced via wikidata_p18.
wnba_nneka-ogwumike,basketball,WNBA,nneka-ogwumike,Nneka Ogwumike,appr_9a4d6394f0547e,asset_found,Required people/player image sourced via wikidata_p18.
wnba_cameron-brink,basketball,WNBA,cameron-brink,Cameron Brink,appr_26395171db11b9,asset_found,Required people/player image sourced via wikidata_p18.
wnba_player-image-status,basketball,WNBA,player-image-status,PLAYER IMAGE STATUS,appr_97c6c2747ba7de,asset_found,Required people/player image sourced via commons_api.
wnba_one-dallas,basketball,WNBA,one-dallas,One Dallas,appr_31c010fb6e1321,asset_found,Required people/player image sourced via wikidata_p18.
wnba_one-sparks,basketball,WNBA,one-sparks,One Sparks,appr_c53adf657a1ff5,asset_found,Required people/player image sourced via commons_api.
wnba_los-angeles,basketball,WNBA,los-angeles,Los Angeles,appr_315287c0f37435,asset_found,Required people/player image sourced via wikidata_p18.
wnba_use-dallas,basketball,WNBA,use-dallas,Use Dallas,appr_46c4bc5989b05f,asset_found,Required people/player image sourced via commons_api.
wnba_los-angeles-sparks,basketball,WNBA,los-angeles-sparks,Los Angeles Sparks.,appr_14945fd31a3a9d,asset_found,Required people/player image sourced via commons_api.
wnba_a-ja-wilson,basketball,WNBA,a-ja-wilson,A'ja Wilson,appr_2d9a5cdffd79d7,asset_found,Required people/player image sourced via wikidata_p18.
wnba_gabby-williams,basketball,WNBA,gabby-williams,Gabby Williams,appr_f99707780fd466,asset_found,Required people/player image sourced via wikidata_p18.
wnba_jackie-young,basketball,WNBA,jackie-young,Jackie Young,appr_08c59b4ecde0c1,asset_found,Required people/player image sourced via wikidata_p18.
wnba_natasha-howard,basketball,WNBA,natasha-howard,Natasha Howard,appr_f9ebd695d5736c,asset_found,Required people/player image sourced via wikidata_p18.
wnba_olivia-miles,basketball,WNBA,olivia-miles,Olivia Miles,appr_37bca07ca08aa4,asset_found,Required people/player image sourced via wikidata_p18.
wnba_natisha-hiedeman,basketball,WNBA,natisha-hiedeman,Natisha Hiedeman,appr_8bd0af15e97991,asset_found,Required people/player image sourced via wikidata_p18.
wnba_dewanna-bonner,basketball,WNBA,dewanna-bonner,DeWanna Bonner,appr_920597fdff68d4,asset_found,Required people/player image sourced via wikidata_p18.
wnba_natasha-mack,basketball,WNBA,natasha-mack,Natasha Mack,appr_00637795ef7ab5,asset_found,Required people/player image sourced via wikidata_p18.
wnba_monique-akoa-makani,basketball,WNBA,monique-akoa-makani,Monique Akoa Makani,appr_8618f797bbf877,asset_found,Required people/player image sourced via wikidata_p18.
