approved_asset_id,asset_id,approved_variant,entity_type,entity_name,source_url,page_url,width_px,height_px,master_path,web_path,thumb_path,checksum_sha256,approved_by,approved_utc,usage_scope,rights_status,notes
appr_c158a654a3bd50,ast_a3fec5c7be4af4,primary_player_image_v1,player,A'ja Wilson,https://www.wnba.com/images/WNBA_fallback.png,https://www.wnba.com/players,800,500,data/assets/approved/appr_c158a654a3bd50.png,data/assets/approved/appr_c158a654a3bd50.png,data/assets/thumbs/ast_a3fec5c7be4af4.webp,10573f13f074421199a1667c15569fca3c4a342de87e3b04c933e7b18865c7fa,HSD aggressive asset policy,2026-06-08T03:52:45.688181+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_bfb44c786e3def,ast_261c49a90da564,primary_player_image_v1,player,Arike Ogunbowale,https://www.wnba.com/images/WNBA_fallback.png,https://www.wnba.com/players,800,500,data/assets/approved/appr_bfb44c786e3def.png,data/assets/approved/appr_bfb44c786e3def.png,data/assets/thumbs/ast_261c49a90da564.webp,10573f13f074421199a1667c15569fca3c4a342de87e3b04c933e7b18865c7fa,HSD aggressive asset policy,2026-06-08T03:52:45.688312+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_d47d5dbdca4b2c,ast_c21fa571c7f26b,primary_logo_v1,team,Australia W,https://upload.wikimedia.org/wikipedia/commons/6/6d/Dollar-Bank-Logo-w-Tagline.png,https://commons.wikimedia.org/wiki/File%3ADollar-Bank-Logo-w-Tagline.png,,,,,,,HSD aggressive asset policy,2026-06-08T03:52:45.688319+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_24c24babfa7186,ast_98f655b03477f1,primary_logo_v1,team,Belgium W,https://images.volleyballworld.com/image/upload/f_png/v1747056390/assets/v2/logos/volleyball-nations-league-logo-nav,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,64,64,data/assets/approved/appr_24c24babfa7186.png,data/assets/approved/appr_24c24babfa7186.png,data/assets/thumbs/ast_98f655b03477f1.webp,6260756e9b148c06c81cb0008c5bab07a5fb780d073caf2e162804b092131e80,HSD aggressive asset policy,2026-06-08T03:52:45.688413+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_31c92a0c88fe66,ast_0ec771d9bfa74a,primary_logo_v1,team,Brazil U20 W,https://cdn.sanity.io/images/oyf3dba6/production/523948c113ab21be02342645437bdbe6c2650fcd-31x56.svg,https://www.ussoccer.com/teams/uswnt,,,data/assets/approved/appr_31c92a0c88fe66.svg,data/assets/approved/appr_31c92a0c88fe66.svg,,6845dbdd00630ab84ae2512facb8a8d0d7e37a4be9b06db056b2661bcfdadbee,HSD aggressive asset policy,2026-06-08T03:52:45.688507+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_d0b7fe3ef164cc,ast_73fdb312666451,primary_logo_v1,team,Brazil W,https://cdn.sanity.io/images/oyf3dba6/production/523948c113ab21be02342645437bdbe6c2650fcd-31x56.svg,https://www.ussoccer.com/teams/uswnt,,,data/assets/approved/appr_d0b7fe3ef164cc.svg,data/assets/approved/appr_d0b7fe3ef164cc.svg,,6845dbdd00630ab84ae2512facb8a8d0d7e37a4be9b06db056b2661bcfdadbee,HSD aggressive asset policy,2026-06-08T03:52:45.688589+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_20268eee4105ee,ast_cb0dbe4ff0d41d,primary_logo_v1,team,Bulgaria W,https://images.volleyballworld.com/image/upload/f_png/v1747056390/assets/v2/logos/volleyball-nations-league-logo-nav,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,64,64,data/assets/approved/appr_20268eee4105ee.png,data/assets/approved/appr_20268eee4105ee.png,data/assets/thumbs/ast_cb0dbe4ff0d41d.webp,6260756e9b148c06c81cb0008c5bab07a5fb780d073caf2e162804b092131e80,HSD aggressive asset policy,2026-06-08T03:52:45.688670+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_85000f102eb8d4,ast_e5eeffebd60f13,primary_logo_v1,team,Canada W,https://images.volleyballworld.com/image/upload/f_png/v1747056390/assets/v2/logos/volleyball-nations-league-logo-nav,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,64,64,data/assets/approved/appr_85000f102eb8d4.png,data/assets/approved/appr_85000f102eb8d4.png,data/assets/thumbs/ast_e5eeffebd60f13.webp,6260756e9b148c06c81cb0008c5bab07a5fb780d073caf2e162804b092131e80,HSD aggressive asset policy,2026-06-08T03:52:45.688747+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_d410ce418ac949,ast_eb997f03008607,primary_logo_v1,team,China W,https://images.volleyballworld.com/image/upload/f_png/v1747056390/assets/v2/logos/volleyball-nations-league-logo-nav,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,64,64,data/assets/approved/appr_d410ce418ac949.png,data/assets/approved/appr_d410ce418ac949.png,data/assets/thumbs/ast_eb997f03008607.webp,6260756e9b148c06c81cb0008c5bab07a5fb780d073caf2e162804b092131e80,HSD aggressive asset policy,2026-06-08T03:52:45.688827+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_19ddbe2727a034,ast_27598e8f36fb95,primary_logo_v1,team,Dallas Wings,https://cdn.wnba.com/logos/wnba/1611661321/primary/D/logo.svg,https://wings.wnba.com/roster/,,,data/assets/approved/appr_19ddbe2727a034.svg,data/assets/approved/appr_19ddbe2727a034.svg,,34667bdc5aa8ab8349a2c6754079d197e3ee8807a5226c9271386c9016848356,HSD aggressive asset policy,2026-06-08T03:52:45.688916+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_ed65cd25c15583,ast_7fc00d61003d5b,primary_player_image_v1,player,DeWanna Bonner,https://www.wnba.com/images/WNBA_fallback.png,https://www.wnba.com/players,800,500,data/assets/approved/appr_ed65cd25c15583.png,data/assets/approved/appr_ed65cd25c15583.png,data/assets/thumbs/ast_7fc00d61003d5b.webp,10573f13f074421199a1667c15569fca3c4a342de87e3b04c933e7b18865c7fa,HSD aggressive asset policy,2026-06-08T03:52:45.689003+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_2e05f35aaa0975,ast_83313c026546e1,primary_logo_v1,team,France W,https://images.volleyballworld.com/image/upload/f_png/v1747056390/assets/v2/logos/volleyball-nations-league-logo-nav,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,64,64,data/assets/approved/appr_2e05f35aaa0975.png,data/assets/approved/appr_2e05f35aaa0975.png,data/assets/thumbs/ast_83313c026546e1.webp,6260756e9b148c06c81cb0008c5bab07a5fb780d073caf2e162804b092131e80,HSD aggressive asset policy,2026-06-08T03:52:45.689082+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_e42e2d4ecc7f87,ast_a740fb80e81463,primary_player_image_v1,player,Gabby Williams,https://www.wnba.com/images/WNBA_fallback.png,https://www.wnba.com/players,800,500,data/assets/approved/appr_e42e2d4ecc7f87.png,data/assets/approved/appr_e42e2d4ecc7f87.png,data/assets/thumbs/ast_a740fb80e81463.webp,10573f13f074421199a1667c15569fca3c4a342de87e3b04c933e7b18865c7fa,HSD aggressive asset policy,2026-06-08T03:52:45.689189+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
appr_5ed8fa65ab99e2,ast_c4d19169ed2a91,primary_logo_v1,team,Golden State Valkyries,https://cdn.wnba.com/logos/wnba/1611661331/primary/L/logo.svg,https://valkyries.wnba.com/roster/,,,data/assets/approved/appr_5ed8fa65ab99e2.svg,data/assets/approved/appr_5ed8fa65ab99e2.svg,,399de741bc06f4b8e4dd5dd7601780717c4c3da01bf93e073e42953d40cef1de,HSD aggressive asset policy,2026-06-08T03:52:45.689272+00:00,HSD social graphics,auto_approved_by_hsd_aggressive_policy,Auto-approved under current HSD policy; provenance retained.
