entity_name,entity_type,sport,league,source_url,search_query,notes
AST,team,,,,AST logo official,Needs manual verification; no auto-approved asset
Australia W,team,soccer,International Soccer,https://flagcdn.com/w320/au.png,,Curated exact country flag map
Belgium W,team,volleyball,International Volleyball,https://flagcdn.com/w320/be.png,,Curated exact country flag map
Brazil U20 W,team,soccer,International Soccer,https://flagcdn.com/w320/br.png,,Curated exact country flag map
Brazil W,team,soccer,International Soccer,https://flagcdn.com/w320/br.png,,Curated exact country flag map
Bulgaria W,team,volleyball,International Volleyball,https://flagcdn.com/w320/bg.png,,Curated exact country flag map
Canada W,team,volleyball,International Volleyball,https://flagcdn.com/w320/ca.png,,Curated exact country flag map
China W,team,volleyball,International Volleyball,https://flagcdn.com/w320/cn.png,,Curated exact country flag map
Dallas Wings,team,basketball,WNBA,https://cdn.wnba.com/logos/wnba/1611661321/primary/D/logo.svg,,Curated exact logo map
France W,team,volleyball,International Volleyball,https://flagcdn.com/w320/fr.png,,Curated exact country flag map
Golden State Valkyries,team,basketball,WNBA,https://cdn.wnba.com/logos/wnba/1611661331/primary/L/logo.svg,,Curated exact logo map
Italy W,team,volleyball,International Volleyball,https://flagcdn.com/w320/it.png,,Curated exact country flag map
Japan W,team,soccer,International Soccer,https://flagcdn.com/w320/jp.png,,Curated exact country flag map
Korea Republic U20 W,team,soccer,International Soccer,https://flagcdn.com/w320/kr.png,,Curated exact country flag map
Las Vegas Aces,team,basketball,WNBA,https://upload.wikimedia.org/wikipedia/commons/f/fb/Las_Vegas_Aces_logo.svg,,Curated exact logo map
Los Angeles Sparks,team,basketball,WNBA,,Los Angeles Sparks logo official,Needs manual verification; no auto-approved asset
Mexico W,team,soccer,International Soccer,https://flagcdn.com/w320/mx.png,,Curated exact country flag map
Minnesota Lynx,team,basketball,WNBA,,Minnesota Lynx logo official,Needs manual verification; no auto-approved asset
PTS,team,,,,PTS logo official,Needs manual verification; no auto-approved asset
Phoenix Mercury,team,basketball,WNBA,https://cdn.wnba.com/logos/wnba/1611661330/primary/L/logo.svg,,Curated exact logo map
Portland Fire,team,basketball,WNBA,,Portland Fire logo official,Needs manual verification; no auto-approved asset
REB,team,,,,REB logo official,Needs manual verification; no auto-approved asset
STL,team,,,,STL logo official,Needs manual verification; no auto-approved asset
Seattle Storm,team,basketball,WNBA,https://cdn.wnba.com/logos/wnba/1611661328/primary/D/logo.svg,,Curated exact logo map
Serbia W,team,volleyball,International Volleyball,https://flagcdn.com/w320/rs.png,,Curated exact country flag map
South Africa W,team,soccer,International Soccer,https://flagcdn.com/w320/za.png,,Curated exact country flag map
Thailand W,team,volleyball,International Volleyball,https://flagcdn.com/w320/th.png,,Curated exact country flag map
Turkey W,team,volleyball,International Volleyball,https://flagcdn.com/w320/tr.png,,Curated exact country flag map
USA W,team,volleyball,International Volleyball,https://flagcdn.com/w320/us.png,,Curated exact country flag map
Arike Ogunbowale,player,basketball,WNBA,,Arike Ogunbowale WNBA headshot official,Bing/API only. No WNBA fallback images allowed.
Jessica Shepard,player,basketball,WNBA,,Jessica Shepard WNBA headshot official,Bing/API only. No WNBA fallback images allowed.
Paige Bueckers,player,basketball,WNBA,,Paige Bueckers WNBA headshot official,Bing/API only. No WNBA fallback images allowed.
