bundle_slug,player_name,team_name,approved_asset_id,fit_status,usage_mode,risk_level,risk_reasons,recommended_crop,prompt_instruction
main-wnba-result,Jessica Shepard,Dallas Wings,appr_e229246a508b2e,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Jessica Shepard's image only for Jessica Shepard. Crop tightly if the jersey is not clearly Dallas Wings.
main-wnba-result,Arike Ogunbowale,Dallas Wings,appr_2646dc354c1762,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Arike Ogunbowale's image only for Arike Ogunbowale. Crop tightly if the jersey is not clearly Dallas Wings.
main-wnba-result,Paige Bueckers,Dallas Wings,appr_717263c3d3e94e,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Paige Bueckers's image only for Paige Bueckers. Crop tightly if the jersey is not clearly Dallas Wings.
main-wnba-result,Kelsey Plum,Los Angeles Sparks,appr_d8c206f8d07cbd,review,tight_face_crop_only,medium,possible non-current-team/alternate jersey source: euroleague; public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Kelsey Plum's image only for Kelsey Plum. Crop tightly if the jersey is not clearly Los Angeles Sparks.
main-wnba-result,Ariel Atkins,Los Angeles Sparks,appr_d3440f8552d66f,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Ariel Atkins's image only for Ariel Atkins. Crop tightly if the jersey is not clearly Los Angeles Sparks.
main-wnba-result,Dearica Hamby,Los Angeles Sparks,appr_505914b839a2ec,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Dearica Hamby's image only for Dearica Hamby. Crop tightly if the jersey is not clearly Los Angeles Sparks.
main-wnba-result,Nneka Ogwumike,Los Angeles Sparks,appr_9a4d6394f0547e,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Nneka Ogwumike's image only for Nneka Ogwumike. Crop tightly if the jersey is not clearly Los Angeles Sparks.
main-wnba-result,Cameron Brink,Los Angeles Sparks,appr_26395171db11b9,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use Cameron Brink's image only for Cameron Brink. Crop tightly if the jersey is not clearly Los Angeles Sparks.
general-bundle,HSD Bundle Prompts,,,blocked_missing_image,normal_player_photo,critical,missing required player image,Do not use.,Missing approved image for HSD Bundle Prompts. Do not substitute another player.
general-bundle,PLAYER IMAGE STATUS,,appr_97c6c2747ba7de,approved,normal_player_photo,low,,Normal crop is allowed if the image clearly matches the player and team context.,Use PLAYER IMAGE STATUS's image only for PLAYER IMAGE STATUS.
general-bundle,One Dallas,,appr_31c010fb6e1321,review,tight_face_crop_only,medium,public-source image needs visual review,"Crop tightly around face/head-and-shoulders. Do not show overseas, college, or wrong-team jersey marks.",Use One Dallas's image only for One Dallas. Crop tightly if the jersey is not clearly .
