entity_name,entity_type,sport,league,source_priority,source_url,search_query,notes
Dallas Wings,team,basketball,WNBA,official,https://wings.wnba.com/roster/,Dallas Wings logo official WNBA,official/team page
Dallas Wings,team,basketball,WNBA,wikimedia,,Dallas Wings logo,wikimedia
Dallas Wings,team,basketball,WNBA,bing,,Dallas Wings logo transparent png,bing image fallback
Los Angeles Sparks,team,basketball,WNBA,official,https://sparks.wnba.com/roster/,Los Angeles Sparks logo official WNBA,official/team page
Los Angeles Sparks,team,basketball,WNBA,wikimedia,,Los Angeles Sparks logo,wikimedia
Los Angeles Sparks,team,basketball,WNBA,bing,,Los Angeles Sparks logo transparent png,bing image fallback
Los Angeles Sparks. Top performers,team,basketball,WNBA,wikimedia,,Los Angeles Sparks. Top performers logo,wikimedia
Los Angeles Sparks. Top performers,team,basketball,WNBA,bing,,Los Angeles Sparks. Top performers logo transparent png,bing image fallback
Las Vegas Aces,team,basketball,WNBA,official,https://aces.wnba.com/roster/,Las Vegas Aces logo official WNBA,official/team page
Las Vegas Aces,team,basketball,WNBA,wikimedia,,Las Vegas Aces logo,wikimedia
Las Vegas Aces,team,basketball,WNBA,bing,,Las Vegas Aces logo transparent png,bing image fallback
Golden State Valkyries,team,basketball,WNBA,official,https://valkyries.wnba.com/roster/,Golden State Valkyries logo official WNBA,official/team page
Golden State Valkyries,team,basketball,WNBA,wikimedia,,Golden State Valkyries logo,wikimedia
Golden State Valkyries,team,basketball,WNBA,bing,,Golden State Valkyries logo transparent png,bing image fallback
Minnesota Lynx,team,basketball,WNBA,official,https://lynx.wnba.com/roster/,Minnesota Lynx logo official WNBA,official/team page
Minnesota Lynx,team,basketball,WNBA,wikimedia,,Minnesota Lynx logo,wikimedia
Minnesota Lynx,team,basketball,WNBA,bing,,Minnesota Lynx logo transparent png,bing image fallback
Seattle Storm,team,basketball,WNBA,official,https://storm.wnba.com/roster/,Seattle Storm logo official WNBA,official/team page
Seattle Storm,team,basketball,WNBA,wikimedia,,Seattle Storm logo,wikimedia
Seattle Storm,team,basketball,WNBA,bing,,Seattle Storm logo transparent png,bing image fallback
Phoenix Mercury,team,basketball,WNBA,official,https://mercury.wnba.com/roster/,Phoenix Mercury logo official WNBA,official/team page
Phoenix Mercury,team,basketball,WNBA,wikimedia,,Phoenix Mercury logo,wikimedia
Phoenix Mercury,team,basketball,WNBA,bing,,Phoenix Mercury logo transparent png,bing image fallback
Portland Fire,team,basketball,WNBA,official,https://www.wnba.com/teams,Portland Fire logo official WNBA,official/team page
Portland Fire,team,basketball,WNBA,wikimedia,,Portland Fire logo,wikimedia
Portland Fire,team,basketball,WNBA,bing,,Portland Fire logo transparent png,bing image fallback
USA W,team,volleyball,Volleyball,official,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,USA W volleyball logo,volleyball world
USA W,team,volleyball,Volleyball,wikimedia,,USA W logo,wikimedia
USA W,team,volleyball,Volleyball,bing,,USA W logo transparent png,bing image fallback
France W,team,volleyball,Volleyball,official,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,France W volleyball logo,volleyball world
France W,team,volleyball,Volleyball,wikimedia,,France W logo,wikimedia
France W,team,volleyball,Volleyball,bing,,France W logo transparent png,bing image fallback
Belgium W,team,volleyball,Volleyball,official,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/teams/women/,Belgium W volleyball logo,volleyball world
Belgium W,team,volleyball,Volleyball,wikimedia,,Belgium W logo,wikimedia
