rank,editorial_decision,production_status,content_family,recommended_asset,recommended_timing,sport,story_type,headline,hook,source,link,visual_brief
1,Must Post,Make first,Tonight in the W,4-slide matchup/pregame graphic,Post ASAP,WNBA,Game Recap / Result,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Here is the quick version of what happened and why it matters.,Just Women's Sports,https://justwomenssports.com/reads/minnesota-lynx-portland-fire-wnba-commissioners-cup-scores/,"Use a quick recap carousel with final result, top performer, and next game."
2,Maybe Post,Make today if time,Context Carousel,3 to 4-slide milestone graphic,Use when convenient,PWHL / Women's Hockey,Record / Milestone,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,This is the kind of milestone that shows where the game is headed.,Just Women's Sports,https://justwomenssports.com/reads/kim-weiss-pwhl-expansion-las-vegas-coach-pwhl-draft-2026/,"Use a milestone carousel with the record, context, and why it matters."
3,Maybe Post,Make today if time,Context Carousel,single feed card,Post during daytime engagement window,WNBA,League Expansion,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Another market is betting big on women's sports.,Just Women's Sports,https://justwomenssports.com/reads/toronto-tempo-espn-docuseries-setting-the-tempo-serena-williams/,"Use a map, team/logo style graphic, or market comparison carousel."
4,Maybe Post,Make today if time,Context Carousel,3 to 4-slide milestone graphic,Use when convenient,WNBA,Record / Milestone,Dream Notches First-Ever Win Against Expansion Toronto Tempo,This is the kind of milestone that shows where the game is headed.,Atlanta Dream | WNBA,https://news.google.com/rss/articles/CBMikgFBVV95cUxPUW5wVUFFRzYwZjByTXJvQ0pNMnd3VUZhR0I5R0VVdHRvUUI2WUw1eVZrUGVHN24yMjRxbmZZeW92T05JRmxwUE5jQ0o2N1F4R2RJMFl5SVlaWmVuQVpueU1NM01zQ1VYWGtTS19rQXQ2YXQ2Y05DWWNfLU1NNTI3Qmt2OVdZWjl1bWhNbmtSY1Z3UQ?oc=5,"Use a milestone carousel with the record, context, and why it matters."
5,Maybe Post,Make today if time,Context Carousel,3 to 4-slide milestone graphic,Use when convenient,Track & Field,Record / Milestone,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,This is the kind of milestone that shows where the game is headed.,NCAA.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxObnBtV1YxcUxLd1F0dlhTUm90TERMcDF4VVdFWndwcE5KU1hlWnEzbTI1SndxdUxpX2hHNHk3b3otZ2Vvb1ZuTHJoX1lXaXZzb3l4OWE3TkxTcjh5T2xTbDdma3BDRk0ycGF1dG42cmlLckRJVnVST2pqYWRhSm5uOERMMVhhQThqMnpubkhQc3hVZngzRFlZVTN3aXgtX0d0bG9GMTMyMEVRSlZfR0lvZFF1X2lLeG5PdWM3SEdmOTNXbEFzUTQtSmx3OHN2VUY0?oc=5,"Use a milestone carousel with the record, context, and why it matters."
6,Maybe Post,Make today if time,Feed Post,single recap card or quick carousel,Post within 2 hours if still fresh,Tennis,Game Recap / Result,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Here is the quick version of what happened and why it matters.,WTA Tennis,https://news.google.com/rss/articles/CBMitwFBVV95cUxPbXUtY0FsX1VUd3JSQUFoTV9oQm1UX3RjMFdwREVZaVdsb2lVUmZWSmc1VmMwVm5XMU5MU3FWbm5xU2lEbDYzN09STDJyYmdzejhPR2cySW9GcHJqMF80QklwcHVRUXltUVBEZUFlem9LR1kxYmVFZWRvS2JjTHA3SnhQTlcyMWtCbnNNUW1qYmNmVEtheG5Ma0VpbndhZlQxOHJRdS1DQ3ppSy12OElNeTV2bE9BODA?oc=5,"Use a quick recap carousel with final result, top performer, and next game."
7,Maybe Post,Make today if time,Context Carousel,3 to 4-slide milestone graphic,Use when convenient,Tennis,Record / Milestone,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",This is the kind of milestone that shows where the game is headed.,WTA Tennis,https://news.google.com/rss/articles/CBMitAFBVV95cUxQWGJjWFAyODY2S2hhWUtCMWdGRUxfWlI1TDdtTEtiWlBqQllYUUlycEZQX1Y4VXI4V0dQLThHRFZjZFBRcEFrM3FkYWdTcXg2OWdteTRLeFZHSnV5SG11NFEyNzdxXzFHZ0txRDJpTGNzZUVuTHV0aFJNRWNxREJhZmF2alA5TXlVb0tKd0ZxLUJzY2JPRzBmdXhCeXZfcVJEMlVRSHJvMDhNOEVmdVJXQWVTZ0Q?oc=5,"Use a milestone carousel with the record, context, and why it matters."
8,Save for Weekend,Backlog,Context Carousel,3 to 4-slide milestone graphic,Save for weekend or filler slot,NWSL / Women's Soccer,Record / Milestone,Gotham FC announces first-ever ‘dedicated’ training facility,This is the kind of milestone that shows where the game is headed.,Equalizer Soccer,https://news.google.com/rss/articles/CBMiogFBVV95cUxPRTAyUG93UzNGVDZWWFVzcmhFUXBKQ3NhZF9aQUJYNHB0cklZQ2hvVzdnSGZweFR1Y1BWSFFQNEF5Qk1abHZZNDBZMDdUZGpTbVF6TVMyS1c3d0ZqSWFMOWktY0p6ajAwem5FQmNQUGphbHJtNDl0MmNVZ0tiS2J1WHBmQ1RWRnUwODN3WVc1NW9lWi1zMFJLYkhaQXktNV9QdVE?oc=5,"Use a milestone carousel with the record, context, and why it matters."
9,Save for Weekend,Backlog,Context Carousel,3 to 4-slide milestone graphic,Save for weekend or filler slot,Golf / LPGA,Record / Milestone,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,This is the kind of milestone that shows where the game is headed.,LPGA,https://news.google.com/rss/articles/CBMivgFBVV95cUxOSUxCNDFjSXlQdW5ySE1MTURQeHJGSkwtaU52YWNQeGQ5R0I3eGFyQWVhV3ptWjVJNkxQQ19nODUzd0tHNzZJZlF0cFF4UGhSMTN4RlNjU25UTm1iN0ptY3hEV2RBbm9mVm0yczdnZ2JsNDc0VVlSSHFlSy1EZVdralluSEUwQk1wUGNtWGsxOS1tX1h2WnlBdVFUVy1WMFRmbjdRSllUVkVGVUZxMHROZlpxOEpsVkhlSEZ3N2RB?oc=5,"Use a milestone carousel with the record, context, and why it matters."
10,Save for Weekend,Backlog,Feed Post,single feed card,Save for weekend or filler slot,NCAA Women's Basketball,Breaking / Transaction,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27","Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Yahoo Sports,https://news.google.com/rss/articles/CBMiigFBVV95cUxOS2pzNDhacVMwa3RUbFdMSEo3dFdQS1h2Wk9wTndTSnhkQzR5RzRCV3lTbGZZNHY5eFhPZmg3M1oxNUVKZkx4bjRSdkRQTDNoWHRjTmF6RWRRUlQzUFhfdmxETTE1b3BYVHU1ZU5BZVkyQ0xCNG5hNklZTjhFRG5WbXB1ZjVzZDVTd2c?oc=5,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question."
