operator_worksheet_id,candidate_queue_id,candidate_url,source_url,entity_id,source_name,source_rights_context_notes,sport,league_entity,target_entity_or_player,event_name,event_date,athlete_or_team,source_category,source_family,source_url_or_search_macro,action_moment_type,crop_use_case,quarantine_status,quarantine_target_hint,rights_class,identity_confidence,intended_review_only_use,reviewer_decision,reviewer_notes,next_action,download_approved,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes
APOW001,APQ001,,,,,,basketball,WNBA,operator_fill_player_or_team,,,,editorial_wire,Getty Images Editorial Sports,{player_name} WNBA match action site:gettyimages.com,transition_drive|block|rebound|celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq001/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW002,APQ002,,,,,,basketball,WNBA,operator_fill_player_or_team,,,,official_league_gallery,WNBA official league/team galleries,{player_name} {team} site:wnba.com OR site:{team}.wnba.com photos OR gallery OR recap,game_action|bench_reaction|celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq002/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW003,APQ003,,,,,,soccer,NWSL,operator_fill_player_or_team,,,,reputable_newsroom_gallery,ISI Photos Archive,{player_name} {club} NWSL isiphotos photoshelter action,dribble|shot|save|celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/apq003/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW004,APQ004,,,,,,soccer,USWNT / U.S. Soccer,operator_fill_player_or_team,,,,official_federation_or_tournament,ISI Photos / U.S. Soccer,{player_name} USWNT match action ISI Photos OR ussoccer photos,national_team_action|goal_celebration|defensive_play,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/uswnt_u_s_soccer/apq004/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW005,APQ005,,,,,,basketball,NCAA Women Basketball,operator_fill_player_or_team,,,,official_federation_or_tournament,NCAA Photos / Clarkson Creative,{player_name} NCAA March Madness basketball ncaaphotos photoshelter,drive|jump_shot|celebration|defense,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_basketball/apq005/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW006,APQ006,,,,,,softball,NCAA Women Softball,operator_fill_player_or_team,,,,official_federation_or_tournament,NCAA Photos / Clarkson Creative,{player_name} Women College World Series softball ncaaphotos photoshelter,swing|pitch|slide|fielding,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_softball/apq006/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW007,APQ007,,,,,,hockey,PWHL,operator_fill_player_or_team,,,,editorial_wire,Getty / Ice Garden / Inside the Rink,{player_name} PWHL game action Getty OR Ice Garden OR Inside the Rink gallery,skate|shot|save|celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/pwhl/apq007/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW008,APQ008,,,,,,softball,AUSL / Pro Softball,operator_fill_player_or_team,,,,official_league_gallery,Athletes Unlimited / AUSL Media Hub,{player_name} AUSL softball action site:theausl.com OR Jade Hewitt,swing|pitch|fielding|dugout_celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/ausl_pro_softball/apq008/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW009,APQ009,,,,,,tennis,WTA Tennis,operator_fill_player_or_team,,,,official_league_gallery,WTA / Getty,{player_name} WTA match action site:wtatennis.com OR site:gettyimages.com,serve|forehand|backhand|celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/wta_tennis/apq009/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
APOW010,APQ010,,,,,,golf,LPGA Golf,operator_fill_player_or_team,,,,official_league_gallery,LPGA / Getty,{player_name} LPGA swing site:lpga.com OR site:gettyimages.com,drive|approach|putt|celebration,,not_in_quarantine_no_download,data/assets/quarantine/review_only_candidates/action_photo_candidates/lpga_golf/apq010/operator_fill_required.jpg,,,,,,"Manually inspect candidate/source evidence and fill the blank operator fields; do not download, move files, write headshots, write markers, or change publish_ready from false.",no,true,false,none,false,false,false
