download_decision_id,candidate_queue_id,summary_id,decision_priority,return_status,research_return_data_present,ready_for_human_download_decision,candidate_photo_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,evidence_url,identity_anchor_url,missing_required_fields,duplicate_candidate_key,action_photo_status,identity_confidence_status,required_human_edits,allowed_download_destination,download_approved,human_download_decision,manual_reviewer,reviewed_at_utc,manual_next_action,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_action
APDD001,APQ001,APRS001,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD002,APQ002,APRS002,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD003,APQ003,APRS003,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD004,APQ004,APRS004,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD005,APQ005,APRS005,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD006,APQ006,APRS006,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD007,APQ007,APRS007,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD008,APQ008,APRS008,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD009,APQ009,APRS009,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
APDD010,APQ010,APRS010,P3_run_research_before_decision,research_return_missing,no,no,,,,,,,,,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,missing_candidate_photo_url,identity_missing,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|human_download_decision|manual_reviewer|reviewed_at_utc,data/assets/quarantine/review_only_candidates,no,,,,Run the review-only research packet and paste URL/evidence-only returns before considering a human quarantine-download decision.,true,false,none,false,false,false,none_artifact_only
