sport,league_entity,official_gallery_url_or_macro,roster_player_directory_url_or_macro,media_guide_stats_profile_url_or_macro,editorial_wire_newsroom_sources,official_social,gray_area_public_creator_fan_surfaces,source_category,source_domain,likely_search_query_macro,identity_verification_anchor,rights_posture_recommendation,limitations_red_flags,manual_next_action,source_family_rank,source_family_name,source_family_yield,source_family_function,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,review_only,publish_ready,approval_state_change,publish_action
Basketball,WNBA,https://www.wnba.com/photos,https://www.wnba.com/players/roster-tracker,https://sky.wnba.com/chicago-sky-2026-media-central,https://www.gettyimages.com/photos/wnba,https://x.com/WNBA,https://commons.wikimedia.org/wiki/File:Kelly_Miller_WNBA.jpg,editorial_wire,gettyimages.com,{player_name} WNBA match action,https://www.wnba.com/players,editorial_wire_rights_sensitive,URL-only pointer; do not cache or persist images; verify active roster/team manually.,"Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",1,Getty Images Editorial Sports,Ultra-High,Verify active match-action photo existence in real time.,no,,,,,,true,false,none,none_artifact_only
Soccer,NWSL,https://www.nwslsoccer.com/photos,https://www.nwslsoccer.com/stats/players/all,https://www.nwslsoccer.com/press/media-guides,https://isiphotos.photoshelter.com/gallery-collection/C00002Y8lb20itTM,https://x.com/NWSL,https://www.alamy.com/stock-photo/nwsl.html,reputable_newsroom_gallery,isiphotos.com,{player_name} NWSL soccer,https://fbref.com/en/comps/182/NWSL-Stats,official_partner_licensed_manual_review,"ISI/specialist soccer coverage is a discovery lead; verify club, roster, and match date manually.","Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",2,ISI Photos Archive,High,Check historical progression and current club matches for soccer players.,no,,,,,,true,false,none,none_artifact_only
Soccer,USWNT / U.S. Soccer,https://www.ussoccer.com/media-services/media-contacts,https://www.ussoccer.com/teams/uswnt,https://www.ussoccer.com/media-services/media-contacts,https://www.gettyimages.com/photos/nwsl-soccer,https://x.com/USWNT,https://isiphotos.photoshelter.com/gallery-collection/C00002Y8lb20itTM,official_federation_or_tournament,ussoccer.com,{player_name} USWNT starting XI,https://www.ussoccer.com/teams/uswnt,official_review_needed,"Federation/media-service surfaces are identity anchors and lead maps, not approval.","Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",2,ISI Photos Archive,High,Cross-check national-team action leads with federation roster context.,no,,,,,,true,false,none,none_artifact_only
Basketball,NCAA Women Basketball,https://ncaaphotos.photoshelter.com/,{school} women's basketball roster official,https://www.clarkson-creative.com/schwaberow,http://fs.ncaa.org/Docs/PressArchive/2009/Announcements/20090210_ap_image_rls.html,https://x.com/NCAAWBB,https://www.flickr.com/photos/keithallison/,official_federation_or_tournament,ncaaphotos.photoshelter.com,{player_name} NCAA March Madness basketball,{school} women's basketball roster official,official_partner_licensed_manual_review,Separate championship leads from school regular-season leads; verify athlete identity manually.,"Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",3,NCAA Photos / Clarkson Creative,High,Track championship tournament action sequences via keyword tags.,no,,,,,,true,false,none,none_artifact_only
Softball,NCAA Women Softball,https://ncaaphotos.photoshelter.com/,{school} softball roster official,https://www.clarkson-creative.com/schwaberow,http://fs.ncaa.org/Docs/PressArchive/2009/Announcements/20090210_ap_image_rls.html,https://x.com/NCAASoftball,https://www.flickr.com/photos/keithallison/,official_federation_or_tournament,ncaaphotos.photoshelter.com,{player_name} Women College World Series softball,{school} softball roster official,official_partner_licensed_manual_review,Championship archives and school images are candidate leads until human verified.,"Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",3,NCAA Photos / Clarkson Creative,High,Track championship softball action sequences.,no,,,,,,true,false,none,none_artifact_only
Volleyball,NCAA Women Volleyball,https://ncaaphotos.photoshelter.com/,{school} volleyball roster official,https://www.clarkson-creative.com/about-us,http://fs.ncaa.org/Docs/PressArchive/2009/Announcements/20090210_ap_image_rls.html,https://x.com/NCAAVolleyball,https://www.flickr.com/photos/keithallison/,official_federation_or_tournament,ncaaphotos.photoshelter.com,{player_name} NCAA volleyball championship,{school} volleyball roster official,official_partner_licensed_manual_review,Use player/school pages as identity anchors; photo leads remain advisory.,"Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",3,NCAA Photos / Clarkson Creative,High,Track championship volleyball action sequences.,no,,,,,,true,false,none,none_artifact_only
Soccer,NCAA Women Soccer,https://ncaaphotos.photoshelter.com/,{school} women's soccer roster official,https://www.isiphotos.com/about,http://fs.ncaa.org/Docs/PressArchive/2009/Announcements/20090210_ap_image_rls.html,https://x.com/NCAASoccer,https://www.isiphotos.com/all-collections,official_federation_or_tournament,ncaaphotos.photoshelter.com,{player_name} NCAA women soccer college cup,{school} women's soccer roster official,official_partner_licensed_manual_review,"NCAA/ISI overlap is a source-family clue only; verify player, school, and event manually.","Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",3,NCAA Photos / Clarkson Creative,High,Track championship soccer action sequences.,no,,,,,,true,false,none,none_artifact_only
Tennis,WTA Tennis,https://www.wtatennis.com/media,https://www.wtatennis.com/players-hub,https://www.wtatennis.com/news/1350286/wta-media-guide,https://www.wtatennis.com/match-notes,https://x.com/WTA,https://www.flickr.com/photos/keithallison/,official_league_gallery,wtatennis.com,{player_name} WTA match action,https://www.wtatennis.com/players-hub,official_review_needed,Use WTA as identity/match context; find action-photo leads separately.,"Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",7,WTA Corporate Match Notes,Medium,Sync tournament scheduling with candidate photo availability.,no,,,,,,true,false,none,none_artifact_only
Golf,LPGA Golf,https://media.lpga.com/,https://www.lpga.com/athletes/directory,https://www.lpga.com/news-and-video,https://www.gettyimages.com/photos/lpga,https://x.com/LPGA,https://commons.wikimedia.org/wiki/File:Michelle_Wie_-_Flickr_-_Keith_Allison_(3).jpg,official_league_gallery,lpga.com,{player_name} LPGA swing,https://www.lpga.com/stats-and-rankings,official_review_needed,"Use LPGA pages for identity, round, and tournament context; action leads remain advisory.","Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",6,LPGA On-Site Media Hub,Medium,Review golf action/swing lead availability at major events.,no,,,,,,true,false,none,none_artifact_only
Hockey,PWHL / Women Hockey,https://www.thepwhl.com/en/sample-content/image-gallery,https://www.thepwhl.com/en/teams/san-jose/roster-tracker,https://www.eliteprospects.com/league/pwhl-w,https://www.gettyimages.com/photos/pwhl,https://x.com/thepwhlofficial,https://www.theixsports.com/the-ice-garden/multimedia/photography/film-photo-gallery-pwhl-boston-wins-semifinal-game-3/,editorial_wire,gettyimages.com,{player_name} PWHL hockey game action,https://www.eliteprospects.com/league/pwhl-w,editorial_wire_rights_sensitive,"Independent hockey galleries are creator leads; verify credit, event, and player manually.","Paste ChatGPT Pro, Gemini, or manual research results as URL/evidence leads only; do not download images, claim approval, assert current roster truth, or mark render-ready.",9,The Ice Garden Portfolio Network,Medium-Low,Discover localized hockey images through credentialed independent creators.,no,,,,,,true,false,none,none_artifact_only
