operator_cue_id,quality_fit_id,candidate_queue_id,sport,league_entity,source_url_missing,rights_class_missing,identity_metadata_missing,action_metadata_missing,crop_metadata_missing,candidate_photo_url_missing,evidence_url_missing,identity_anchor_url_missing,missing_required_fields,manual_fields_to_fill_next,triage_bucket,download_decision_review_eligible,graduation_gate,manual_next_action,download_approved,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_action
APQFC001,APQF001,APQ001,basketball,WNBA,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC002,APQF002,APQ002,basketball,WNBA,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC003,APQF003,APQ003,soccer,NWSL,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC004,APQF004,APQ004,soccer,USWNT / U.S. Soccer,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC005,APQF005,APQ005,basketball,NCAA Women Basketball,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC006,APQF006,APQ006,softball,NCAA Women Softball,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC007,APQF007,APQ007,hockey,PWHL,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC008,APQF008,APQ008,softball,AUSL / Pro Softball,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC009,APQF009,APQ009,tennis,WTA Tennis,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
APQFC010,APQF010,APQ010,golf,LPGA Golf,yes,yes,yes,yes,yes,yes,yes,yes,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url|operator_action_moment_review|operator_crop_use_review,research_return_not_pasted_yet,no,"Graduate only to later human download-decision review after source, rights, identity, candidate/evidence URLs, action fit, and crop/use evidence are complete.",Paste source and evidence return fields into the research-return intake; keep generated download fields no.,no,true,false,none,false,false,false,none_artifact_only
