preflight_id,candidate_queue_id,candidate_photo_url,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,evidence_url,identity_anchor_url,action_photo_check,missing_required_fields,duplicate_candidate_key,identity_confidence_status,action_photo_status,lead_status,ready_for_human_download_decision,download_approved,quarantine_target_hint,manual_next_action,review_only,publish_ready
APQP001,APQ001,https://fever.wnba.com/news/fevers-poise-clarks-gravity-earn-fever-commissioners-cup-win-to-advance-to-finals,https://fever.wnba.com/news/fevers-poise-clarks-gravity-earn-fever-commissioners-cup-win-to-advance-to-finals,wnba:caitlin-clark,official_review_needed,confirmed_official,review_only_action_photo_candidate_quarantine_decision_prep,https://fever.wnba.com/news/fevers-poise-clarks-gravity-earn-fever-commissioners-cup-win-to-advance-to-finals,https://www.wnba.com/player/1642286/caitlin-clark,action_photo_candidate,,unique_or_unfilled,identity_ready_for_human_review,action_photo_candidate,research_return_pasted_preflight_only,yes,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq001/operator_fill_required.jpg,Human intake records a yes download flag for quarantine-only review; this preflight still does not download files or approve assets.,true,false
APQP002,APCS114,https://www.nwslsoccer.com/_next/image?url=https%3A%2F%2Fimages.nwslsoccer.com%2Fimage%2Fprivate%2Ft_ratio16_9-size60%2Fv1777294471%2Fprd%2Fpbosial4i7unbarkydkp&w=3840&q=75,https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,nwsl_portland_thorns_sophia_wilson,official_league_site,strong_context,review_only_action_photo_candidate_quarantine_visual_validation,https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,https://www.nwslsoccer.com/news/nwsl-matchweek-5-recap-double-espresso-goals-and-12-silky-saves,action_photo_candidate,,unique_or_unfilled,identity_ready_for_human_review,action_photo_candidate,research_return_pasted_preflight_only,yes,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/sophia_wilson/apcs114_operator_review.jpg,Human intake records a yes download flag for quarantine-only review; this preflight still does not download files or approve assets.,true,false
APQP003,APQ002,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq002/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
APQP004,APQ003,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/apq003/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
APQP005,DRM002,https://cdn.wnba.com/sites/1611661330/2026/06/6.9-story.png,https://dream.wnba.com/news/dream-scores-a-win-in-reeses-return-to-chicago-howard-makes-history,wnba_atlanta_dream_chicago_road_win_recap_hero,official_review_needed,strong_context,review_only_renderer_social_visual_testing,https://dream.wnba.com/news/dream-scores-a-win-in-reeses-return-to-chicago-howard-makes-history,https://www.wnba.com/teams/atlanta-dream,action_photo_candidate,,unique_or_unfilled,identity_ready_for_human_review,action_photo_candidate,research_return_pasted_preflight_only,yes,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/atlanta_dream/chicago_road_win_recap/dream_official_recap_source_scout_v1/drm002_operator_review.jpg,Ready for a later human quarantine-download decision; do not download unless Mike separately records a quarantine-only approval in the intake and keeps the quarantine target.,true,false
APQP006,APQ004,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/uswnt_u_s_soccer/apq004/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
APQP007,APQ005,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_basketball/apq005/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
APQP008,APQ006,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_softball/apq006/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
APQP009,APQ007,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/pwhl/apq007/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
APQP010,APQ008,,,,,,,,,missing_candidate_photo_url,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,identity_missing,missing_candidate_photo_url,lead_only_research_return_missing,no,no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ausl_pro_softball/apq008/operator_fill_required.jpg,"Run the research bundle, paste URL/evidence rows into the return intake, then regenerate this preflight.",true,false
