summary_id,candidate_queue_id,return_status,operator_priority,research_return_data_present,ready_for_human_download_decision,action_photo_status,identity_confidence_status,missing_required_fields,duplicate_candidate_key,candidate_photo_url,source_url,evidence_url,identity_anchor_url,rights_class,identity_confidence,researcher_return_note,operator_next_action,download_approved,quarantine_target_hint,review_only,publish_ready,approval_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_action
APRS001,APQ001,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq001/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS002,APQ002,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wnba/apq002/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS003,APQ003,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/nwsl/apq003/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS004,APQ004,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/uswnt_u_s_soccer/apq004/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS005,APQ005,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_basketball/apq005/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS006,APQ006,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ncaa_women_softball/apq006/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS007,APQ007,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/pwhl/apq007/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS008,APQ008,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/ausl_pro_softball/apq008/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS009,APQ009,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/wta_tennis/apq009/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
APRS010,APQ010,research_return_missing,P3_run_research_or_paste_return,no,no,missing_candidate_photo_url,identity_missing,source_url|entity_id|rights_class|identity_confidence|intended_review_only_use|candidate_photo_url|evidence_url|identity_anchor_url,unique_or_unfilled,,,,,,,,"Run ChatGPT Pro, Gemini, or manual research, then paste URL/evidence-only return data into the intake.",no,data/assets/quarantine/review_only_candidates/action_photo_candidates/lpga_golf/apq010/operator_fill_required.jpg,true,false,none,false,false,false,none_artifact_only
