review_packet_id,decision_lane,default_operator_decision,decision_packet_title,allowed_operator_decisions,decision_primary_action,decision_hold_cue,decision_revise_cue,asset_domain,league,entity_type,entity_id,entity_name,asset_kind,asset_path,finding,severity,approval_status,format_status,dimension_status,renderer_coverage,source_confidence,identity_confidence,manual_approval_status,asset_readiness,logo_readiness_status,renderer_fallback_cue,operator_copy_target,manual_review_packet,publish_ready,auto_approval,auto_publish,move_files,paid_apis,recommended_next_step,blocker_summary,evidence
asset_review_0001_player_photo_atlanta_dream_aaliyah_nye,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Aaliyah Nye,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_aaliyah_nye,Aaliyah Nye,cutout,assets/leagues/wnba/athletes/atlanta_dream_aaliyah_nye/cutout.png,missing_local_player_asset,error,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,blocked_until_asset_or_format_fixed,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,Aaliyah Nye: missing local player asset; default decision=hold_photo_slot; readiness=blocked_until_asset_or_format_fixed,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
asset_review_0002_player_photo_atlanta_dream_aaliyah_nye,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Aaliyah Nye,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,replace_with_decodable_png_jpg_or_webp_before_renderer_use,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_aaliyah_nye,Aaliyah Nye,cutout,assets/leagues/wnba/athletes/atlanta_dream_aaliyah_nye/cutout.png,player_photo_format_problem,warning,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,review_format_before_renderer_use,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,replace_with_decodable_png_jpg_or_webp_before_renderer_use,Aaliyah Nye: player photo format problem; default decision=hold_photo_slot; readiness=review_format_before_renderer_use,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
asset_review_0003_player_photo_atlanta_dream_aaliyah_nye,wnba_athlete_identity_resolution,hold_identity,Player photo blocker: Aaliyah Nye,verify_identity_for_review_renders|hold_identity|revise_asset,recheck_decision_source_source_file_and_approval_timestamp,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_aaliyah_nye,Aaliyah Nye,headshot,assets/leagues/wnba/athletes/atlanta_dream_aaliyah_nye/headshot.png,suspicious_or_default_player_approval,warning,approved,valid_raster,meets_player_photo_floor,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,source_recheck_required,identity_hold_default_or_suspicious_approval,manual_review_required,blocked_until_identity_resolution,,,operator/inbox/wnba_athlete_identity_resolution.csv,data/asset_registry/wnba/athlete_identity_resolution_workflow.md,false,false,false,false,false,recheck_decision_source_source_file_and_approval_timestamp,Aaliyah Nye: suspicious or default player approval; default decision=hold_identity; readiness=blocked_until_identity_resolution,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_aaliyah_nye__1642801.png; approved_at_utc=2026-06-16T04:22:55.096421+00:00; approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required; bytes=14139; image_size=260x190
asset_review_0004_player_photo_atlanta_dream_allisha_gray,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Allisha Gray,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_allisha_gray,Allisha Gray,cutout,assets/leagues/wnba/athletes/atlanta_dream_allisha_gray/cutout.png,missing_local_player_asset,error,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,blocked_until_asset_or_format_fixed,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,Allisha Gray: missing local player asset; default decision=hold_photo_slot; readiness=blocked_until_asset_or_format_fixed,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
asset_review_0005_player_photo_atlanta_dream_allisha_gray,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Allisha Gray,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,replace_with_decodable_png_jpg_or_webp_before_renderer_use,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_allisha_gray,Allisha Gray,cutout,assets/leagues/wnba/athletes/atlanta_dream_allisha_gray/cutout.png,player_photo_format_problem,warning,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,review_format_before_renderer_use,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,replace_with_decodable_png_jpg_or_webp_before_renderer_use,Allisha Gray: player photo format problem; default decision=hold_photo_slot; readiness=review_format_before_renderer_use,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
asset_review_0006_player_photo_atlanta_dream_allisha_gray,wnba_athlete_identity_resolution,hold_identity,Player photo blocker: Allisha Gray,verify_identity_for_review_renders|hold_identity|revise_asset,recheck_decision_source_source_file_and_approval_timestamp,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_allisha_gray,Allisha Gray,headshot,assets/leagues/wnba/athletes/atlanta_dream_allisha_gray/headshot.png,suspicious_or_default_player_approval,warning,approved,valid_raster,meets_player_photo_floor,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,source_recheck_required,identity_hold_default_or_suspicious_approval,manual_review_required,blocked_until_identity_resolution,,,operator/inbox/wnba_athlete_identity_resolution.csv,data/asset_registry/wnba/athlete_identity_resolution_workflow.md,false,false,false,false,false,recheck_decision_source_source_file_and_approval_timestamp,Allisha Gray: suspicious or default player approval; default decision=hold_identity; readiness=blocked_until_identity_resolution,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_allisha_gray__1628277.png; approved_at_utc=2026-06-16T04:22:55.095267+00:00; approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required; bytes=28002; image_size=260x190
asset_review_0007_player_photo_atlanta_dream_amy_okonkwo,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Amy Okonkwo,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_amy_okonkwo,Amy Okonkwo,cutout,assets/leagues/wnba/athletes/atlanta_dream_amy_okonkwo/cutout.png,missing_local_player_asset,error,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,blocked_until_asset_or_format_fixed,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,Amy Okonkwo: missing local player asset; default decision=hold_photo_slot; readiness=blocked_until_asset_or_format_fixed,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
asset_review_0008_player_photo_atlanta_dream_amy_okonkwo,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Amy Okonkwo,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,replace_with_decodable_png_jpg_or_webp_before_renderer_use,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_amy_okonkwo,Amy Okonkwo,cutout,assets/leagues/wnba/athletes/atlanta_dream_amy_okonkwo/cutout.png,player_photo_format_problem,warning,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,review_format_before_renderer_use,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,replace_with_decodable_png_jpg_or_webp_before_renderer_use,Amy Okonkwo: player photo format problem; default decision=hold_photo_slot; readiness=review_format_before_renderer_use,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
asset_review_0009_player_photo_atlanta_dream_amy_okonkwo,wnba_athlete_identity_resolution,hold_identity,Player photo blocker: Amy Okonkwo,verify_identity_for_review_renders|hold_identity|revise_asset,recheck_decision_source_source_file_and_approval_timestamp,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_amy_okonkwo,Amy Okonkwo,headshot,assets/leagues/wnba/athletes/atlanta_dream_amy_okonkwo/headshot.png,suspicious_or_default_player_approval,warning,approved,valid_raster,meets_player_photo_floor,review_only_manual_source_recheck_required: default_decision_source_manual_recheck_required,source_recheck_required,identity_hold_default_or_suspicious_approval,manual_review_required,blocked_until_identity_resolution,,,operator/inbox/wnba_athlete_identity_resolution.csv,data/asset_registry/wnba/athlete_identity_resolution_workflow.md,false,false,false,false,false,recheck_decision_source_source_file_and_approval_timestamp,Amy Okonkwo: suspicious or default player approval; default decision=hold_identity; readiness=blocked_until_identity_resolution,approved_assets_registry; decision_source=default; source_file=outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_amy_okonkwo__1629539.png; approved_at_utc=2026-06-16T04:22:55.093339+00:00; approved_marker_present; headshot_slot_requires_identity_and_crop_review; image_size=260x190; meets_headshot_floor; default_decision_source_manual_recheck_required; bytes=21525; image_size=260x190
asset_review_0010_player_photo_atlanta_dream_angel_reese,wnba_athlete_photo_onboarding,hold_photo_slot,Player photo blocker: Angel Reese,verify_photo_for_review_renders|hold_photo_slot|revise_photo_asset,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,"Hold if identity, source, approval marker, crop, format, or dimensions are incomplete.",Revise through the review-only athlete-photo workflow before any renderer photo use.,player_photo,WNBA,athlete,atlanta_dream_angel_reese,Angel Reese,cutout,assets/leagues/wnba/athletes/atlanta_dream_angel_reese/cutout.png,missing_local_player_asset,error,missing,missing_file,not_available,review_only_not_renderable_until_approved,source_missing_or_unregistered,identity_unverified_asset_missing,manual_review_required,blocked_until_asset_or_format_fixed,,,operator/inbox/athlete_photo_onboarding_decisions.csv,data/asset_registry/wnba/athlete_photo_catalog.md,false,false,false,false,false,keep_photo_slot_disabled_until_asset_and_marker_are_reviewed,Angel Reese: missing local player asset; default decision=hold_photo_slot; readiness=blocked_until_asset_or_format_fixed,athlete_images_registry; source_note=missing_review_required; asset_file_missing; cutout_slot_requires_manual_crop_review; path_missing
