readiness_rank,asset_review_readiness_bucket,candidate_next_action_bucket,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,source_tier,source_domain,advisory_source_candidate_urls,triage_row_ref,triage_file,source_priority_rank_range,source_priority_csv_filter,source_priority_file,review_board_to_open,manual_intake_file_to_open,future_download_intake_file,render_readiness,asset_review_blocker,future_download_intake_status,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,softball,Softball,Athletes Unlimited Softball League,athlete_photo,carolina_blaze,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,theausl.com,https://theausl.com/players/ | https://theausl.com/blaze/roster | https://theausl.com/blaze/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=13,data/asset_registry/hockey_softball_asset_review_triage.csv,37-39,sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=carolina_blaze,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,softball,Softball,Athletes Unlimited Softball League,athlete_photo,chicago_bandits,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,theausl.com,https://theausl.com/players/ | https://theausl.com/bandits/roster | https://theausl.com/bandits/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=14,data/asset_registry/hockey_softball_asset_review_triage.csv,40-42,sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=chicago_bandits,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,softball,Softball,Athletes Unlimited Softball League,athlete_photo,oklahoma_city_spark,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,theausl.com,https://theausl.com/players/ | https://theausl.com/spark/roster | https://theausl.com/spark/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=15,data/asset_registry/hockey_softball_asset_review_triage.csv,43-45,sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=oklahoma_city_spark,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,softball,Softball,Athletes Unlimited Softball League,athlete_photo,portland_cascade,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,theausl.com,https://theausl.com/players/ | https://theausl.com/cascade/roster | https://theausl.com/cascade/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=16,data/asset_registry/hockey_softball_asset_review_triage.csv,46-48,sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=portland_cascade,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,softball,Softball,Athletes Unlimited Softball League,athlete_photo,texas_volts,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,theausl.com,https://theausl.com/players/ | https://theausl.com/volts/roster | https://theausl.com/volts/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=17,data/asset_registry/hockey_softball_asset_review_triage.csv,49-51,sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=texas_volts,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,softball,Softball,Athletes Unlimited Softball League,athlete_photo,utah_talons,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,theausl.com,https://theausl.com/players/ | https://theausl.com/talons/roster | https://theausl.com/talons/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=18,data/asset_registry/hockey_softball_asset_review_triage.csv,52-54,sport_family=softball;asset_domain=athlete_photo;candidate_entity_id=utah_talons,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/softball/softball_athlete_photo_contact_sheet_index.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,boston_fleet,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/boston-fleet/roster | https://www.thepwhl.com/en/teams/boston-fleet,data/asset_registry/hockey_softball_asset_review_triage.csv#row=1,data/asset_registry/hockey_softball_asset_review_triage.csv,1-3,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=boston_fleet,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,detroit,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/detroit/roster | https://www.thepwhl.com/en/teams/detroit,data/asset_registry/hockey_softball_asset_review_triage.csv#row=2,data/asset_registry/hockey_softball_asset_review_triage.csv,4-6,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=detroit,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,hamilton,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/hamilton/roster | https://www.thepwhl.com/en/teams/hamilton,data/asset_registry/hockey_softball_asset_review_triage.csv#row=3,data/asset_registry/hockey_softball_asset_review_triage.csv,7-9,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=hamilton,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,official_roster_source_verify_before_photo_review,official_roster_team_source_verify,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,las_vegas,P0_OFFICIAL_LEAGUE_OR_TEAM_SOURCE,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/las-vegas/roster | https://www.thepwhl.com/en/teams/las-vegas,data/asset_registry/hockey_softball_asset_review_triage.csv#row=4,data/asset_registry/hockey_softball_asset_review_triage.csv,10-12,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=las_vegas,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,source_and_identity_verification_required_before_local_photo_candidate,human_edited_intake_required_no_generated_authorization,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
