review_order,batch_position,batch_bucket,sport_family,sport_label,asset_domain,display_name,candidate_id,review_state,source_url,evidence_to_open,board_to_open,intake_to_fill,fields_mike_can_fill_now,fields_to_keep_blank_or_held,do_not_touch,local_asset_present,current_source_reviewed,current_identity_status,local_asset_needed_later,guardrail_note
1,next_01,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_league_player_index,carolina_blaze_league_player_index_candidate_03,source_candidate_only_local_asset_missing,https://theausl.com/players/,https://theausl.com/players/,data/asset_registry/softball/athlete_photo_contact_sheets/carolina_blaze.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
2,next_02,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_profile_source,carolina_blaze_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,https://theausl.com/blaze/,https://theausl.com/blaze/,data/asset_registry/softball/athlete_photo_contact_sheets/carolina_blaze.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
3,next_03,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_roster,carolina_blaze_roster_source_candidate_01,source_candidate_only_local_asset_missing,https://theausl.com/blaze/roster,https://theausl.com/blaze/roster,data/asset_registry/softball/athlete_photo_contact_sheets/carolina_blaze.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
4,next_04,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_league_player_index,chicago_bandits_league_player_index_candidate_03,source_candidate_only_local_asset_missing,https://theausl.com/players/,https://theausl.com/players/,data/asset_registry/softball/athlete_photo_contact_sheets/chicago_bandits.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
5,next_05,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_profile_source,chicago_bandits_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,https://theausl.com/bandits/,https://theausl.com/bandits/,data/asset_registry/softball/athlete_photo_contact_sheets/chicago_bandits.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
6,next_06,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_roster,chicago_bandits_roster_source_candidate_01,source_candidate_only_local_asset_missing,https://theausl.com/bandits/roster,https://theausl.com/bandits/roster,data/asset_registry/softball/athlete_photo_contact_sheets/chicago_bandits.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
7,next_07,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_league_player_index,oklahoma_city_spark_league_player_index_candidate_03,source_candidate_only_local_asset_missing,https://theausl.com/players/,https://theausl.com/players/,data/asset_registry/softball/athlete_photo_contact_sheets/oklahoma_city_spark.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
8,next_08,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_profile_source,oklahoma_city_spark_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,https://theausl.com/spark/,https://theausl.com/spark/,data/asset_registry/softball/athlete_photo_contact_sheets/oklahoma_city_spark.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
9,next_09,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_roster,oklahoma_city_spark_roster_source_candidate_01,source_candidate_only_local_asset_missing,https://theausl.com/spark/roster,https://theausl.com/spark/roster,data/asset_registry/softball/athlete_photo_contact_sheets/oklahoma_city_spark.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
10,next_10,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_league_player_index,portland_cascade_league_player_index_candidate_03,source_candidate_only_local_asset_missing,https://theausl.com/players/,https://theausl.com/players/,data/asset_registry/softball/athlete_photo_contact_sheets/portland_cascade.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
11,,source_review_now,softball,Softball,athlete_photo,operator_add_player_from_team_profile_source,portland_cascade_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,https://theausl.com/cascade/,https://theausl.com/cascade/,data/asset_registry/softball/athlete_photo_contact_sheets/portland_cascade.md,data/asset_registry/softball/softball_athlete_photo_review_intake.csv,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,no,no,no,yes,review-only; no downloads; no approval-state changes; no headshot or marker writes
