worksheet_order,worksheet_section,sport_family,sport_label,asset_domain,display_name,candidate_id,review_state,first_action_bucket,source_verification_bucket,missing_local_candidate_asset,download_law_status,download_approved,download_source_url,download_entity_id,rights_class,identity_confidence,intended_review_only_use,quarantine_folder,future_download_required_fields,source_to_open,board_to_open,contact_sheet_to_open,intake_to_fill,intake_row_key,fields_mike_can_fill_now,fields_that_must_stay_blank,fields_that_must_remain_hold,operator_source_reviewed,operator_source_allowed_for_review_only,operator_identity_match,operator_rights_reviewed,operator_decision,source_url_to_record,operator_notes,reviewed_by,reviewed_at_local,local_asset_present,local_asset_needed_later,do_not_touch,guardrail_note
ND01,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_league_player_index,boston_fleet_league_player_index_candidate_03,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/stats/player-stats,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/boston_fleet.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=boston_fleet; candidate_id=boston_fleet_league_player_index_candidate_03,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND02,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_roster,boston_fleet_roster_source_candidate_01,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/boston-fleet/roster,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/boston_fleet.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=boston_fleet; candidate_id=boston_fleet_roster_source_candidate_01,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND03,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_profile_source,boston_fleet_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/boston-fleet,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/boston_fleet.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=boston_fleet; candidate_id=boston_fleet_team_profile_source_candidate_02,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND04,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_league_player_index,detroit_league_player_index_candidate_03,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/stats/player-stats,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/detroit.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=detroit; candidate_id=detroit_league_player_index_candidate_03,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND05,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_roster,detroit_roster_source_candidate_01,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/detroit/roster,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/detroit.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=detroit; candidate_id=detroit_roster_source_candidate_01,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND06,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_profile_source,detroit_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/detroit,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/detroit.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=detroit; candidate_id=detroit_team_profile_source_candidate_02,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND07,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_league_player_index,hamilton_league_player_index_candidate_03,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/stats/player-stats,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/hamilton.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=hamilton; candidate_id=hamilton_league_player_index_candidate_03,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND08,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_roster,hamilton_roster_source_candidate_01,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/hamilton/roster,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/hamilton.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=hamilton; candidate_id=hamilton_roster_source_candidate_01,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND09,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_profile_source,hamilton_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/hamilton,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/hamilton.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=hamilton; candidate_id=hamilton_team_profile_source_candidate_02,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND10,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_league_player_index,las_vegas_league_player_index_candidate_03,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/stats/player-stats,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/las_vegas.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=las_vegas; candidate_id=las_vegas_league_player_index_candidate_03,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
ND11,athlete_source_only_review,womens_hockey,Women's Hockey,athlete_photo,operator_add_player_from_team_roster,las_vegas_roster_source_candidate_01,source_candidate_only_local_asset_missing,1_source_verification,official_league_or_team_source_manual_verify,yes,future_quarantine_download_intake_required,no,,,,,,data/assets/quarantine/review_only_candidates,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,https://www.thepwhl.com/en/teams/las-vegas/roster,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/las_vegas.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,sport_family=womens_hockey; entity_id=las_vegas; candidate_id=las_vegas_roster_source_candidate_01,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path until named athlete evidence and a local candidate asset exist,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,,,,,,,,,,no,yes,operator_decision; identity_verified; local_file_reviewed; approval_status; registry_action; local_candidate_path; approved_marker_path; headshot.png; .approved; publish_ready; auto_approval; auto_publish; move_files,review-only worksheet; generated human-decision cells are blank; no downloads; no approval-state changes; no headshot or marker writes
