verification_order,sport_family,sport_label,league_name,candidate_entity_id,asset_domain,verification_bucket,league_player_index_url,team_roster_url,team_profile_url,source_priority_rank_range,source_priority_csv_filter,source_priority_file,review_board_to_open,manual_intake_file_to_open,official_source_domain,source_candidate_scope,source_identity_check,roster_truth_status,local_asset_gap,human_fields_to_fill_now,human_fields_to_keep_blank,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_source_reviewed,operator_source_allowed_for_review_only,operator_identity_match,operator_rights_reviewed,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
SV01,womens_hockey,Women's Hockey,Professional Women's Hockey League,boston_fleet,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/boston-fleet/roster,https://www.thepwhl.com/en/teams/boston-fleet,1-3,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=boston_fleet,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV02,womens_hockey,Women's Hockey,Professional Women's Hockey League,detroit,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/detroit/roster,https://www.thepwhl.com/en/teams/detroit,4-6,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=detroit,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV03,womens_hockey,Women's Hockey,Professional Women's Hockey League,hamilton,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/hamilton/roster,https://www.thepwhl.com/en/teams/hamilton,7-9,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=hamilton,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV04,womens_hockey,Women's Hockey,Professional Women's Hockey League,las_vegas,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/las-vegas/roster,https://www.thepwhl.com/en/teams/las-vegas,10-12,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=las_vegas,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV05,womens_hockey,Women's Hockey,Professional Women's Hockey League,minnesota_frost,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/minnesota-frost/roster,https://www.thepwhl.com/en/teams/minnesota-frost,13-15,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=minnesota_frost,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV06,womens_hockey,Women's Hockey,Professional Women's Hockey League,montreal_victoire,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/montreal-victoire/roster,https://www.thepwhl.com/en/teams/montreal-victoire,16-18,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=montreal_victoire,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV07,womens_hockey,Women's Hockey,Professional Women's Hockey League,new_york_sirens,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/new-york-sirens/roster,https://www.thepwhl.com/en/teams/new-york-sirens,19-21,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=new_york_sirens,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV08,womens_hockey,Women's Hockey,Professional Women's Hockey League,ottawa_charge,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/ottawa-charge/roster,https://www.thepwhl.com/en/teams/ottawa-charge,22-24,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=ottawa_charge,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV09,womens_hockey,Women's Hockey,Professional Women's Hockey League,san_jose,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/san-jose/roster,https://www.thepwhl.com/en/teams/san-jose,25-27,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=san_jose,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
SV10,womens_hockey,Women's Hockey,Professional Women's Hockey League,seattle_torrent,athlete_photo,official_roster_team_source_check,https://www.thepwhl.com/en/stats/player-stats,https://www.thepwhl.com/en/teams/seattle-torrent/roster,https://www.thepwhl.com/en/teams/seattle-torrent,28-30,sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=seattle_torrent,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,www.thepwhl.com,advisory_official_source_candidates_not_roster_truth_until_manual_confirmation,confirm_team_or_roster_context_before_marking_source_reviewed,not_confirmed_by_generated_artifact,named_local_athlete_photo_candidate_missing,after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,no,,,,,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
