sport_family,league_id,team_id,team_name,player_id,display_name,candidate_id,local_candidate_path,source_url,photo_candidate_url,approval_status,identity_review_status,allowed_decisions,operator_decision,identity_verified,source_reviewed,local_file_reviewed,source_allowed_for_review_only,rights_reviewed,source_url_to_record,registry_action,operator_notes,reviewed_by,reviewed_at_local,approval_scope,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
softball,ausl,carolina_blaze,Carolina Blaze,,operator_add_player_from_team_roster,carolina_blaze_roster_source_candidate_01,assets/leagues/softball/ausl/athletes/carolina_blaze/carolina_blaze_roster_source_candidate_01/headshot.png,https://theausl.com/blaze/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/blaze/roster,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,carolina_blaze,Carolina Blaze,,operator_add_player_from_team_profile_source,carolina_blaze_team_profile_source_candidate_02,assets/leagues/softball/ausl/athletes/carolina_blaze/carolina_blaze_team_profile_source_candidate_02/headshot.png,https://theausl.com/blaze/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/blaze/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,carolina_blaze,Carolina Blaze,,operator_add_player_from_league_player_index,carolina_blaze_league_player_index_candidate_03,assets/leagues/softball/ausl/athletes/carolina_blaze/carolina_blaze_league_player_index_candidate_03/headshot.png,https://theausl.com/players/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/players/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,chicago_bandits,Chicago Bandits,,operator_add_player_from_team_roster,chicago_bandits_roster_source_candidate_01,assets/leagues/softball/ausl/athletes/chicago_bandits/chicago_bandits_roster_source_candidate_01/headshot.png,https://theausl.com/bandits/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/bandits/roster,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,chicago_bandits,Chicago Bandits,,operator_add_player_from_team_profile_source,chicago_bandits_team_profile_source_candidate_02,assets/leagues/softball/ausl/athletes/chicago_bandits/chicago_bandits_team_profile_source_candidate_02/headshot.png,https://theausl.com/bandits/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/bandits/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,chicago_bandits,Chicago Bandits,,operator_add_player_from_league_player_index,chicago_bandits_league_player_index_candidate_03,assets/leagues/softball/ausl/athletes/chicago_bandits/chicago_bandits_league_player_index_candidate_03/headshot.png,https://theausl.com/players/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/players/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,oklahoma_city_spark,Oklahoma City Spark,,operator_add_player_from_team_roster,oklahoma_city_spark_roster_source_candidate_01,assets/leagues/softball/ausl/athletes/oklahoma_city_spark/oklahoma_city_spark_roster_source_candidate_01/headshot.png,https://theausl.com/spark/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/spark/roster,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,oklahoma_city_spark,Oklahoma City Spark,,operator_add_player_from_team_profile_source,oklahoma_city_spark_team_profile_source_candidate_02,assets/leagues/softball/ausl/athletes/oklahoma_city_spark/oklahoma_city_spark_team_profile_source_candidate_02/headshot.png,https://theausl.com/spark/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/spark/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,oklahoma_city_spark,Oklahoma City Spark,,operator_add_player_from_league_player_index,oklahoma_city_spark_league_player_index_candidate_03,assets/leagues/softball/ausl/athletes/oklahoma_city_spark/oklahoma_city_spark_league_player_index_candidate_03/headshot.png,https://theausl.com/players/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/players/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,portland_cascade,Portland Cascade,,operator_add_player_from_team_roster,portland_cascade_roster_source_candidate_01,assets/leagues/softball/ausl/athletes/portland_cascade/portland_cascade_roster_source_candidate_01/headshot.png,https://theausl.com/cascade/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/cascade/roster,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,portland_cascade,Portland Cascade,,operator_add_player_from_team_profile_source,portland_cascade_team_profile_source_candidate_02,assets/leagues/softball/ausl/athletes/portland_cascade/portland_cascade_team_profile_source_candidate_02/headshot.png,https://theausl.com/cascade/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/cascade/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,portland_cascade,Portland Cascade,,operator_add_player_from_league_player_index,portland_cascade_league_player_index_candidate_03,assets/leagues/softball/ausl/athletes/portland_cascade/portland_cascade_league_player_index_candidate_03/headshot.png,https://theausl.com/players/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/players/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,texas_volts,Texas Volts,,operator_add_player_from_team_roster,texas_volts_roster_source_candidate_01,assets/leagues/softball/ausl/athletes/texas_volts/texas_volts_roster_source_candidate_01/headshot.png,https://theausl.com/volts/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/volts/roster,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
softball,ausl,texas_volts,Texas Volts,,operator_add_player_from_team_profile_source,texas_volts_team_profile_source_candidate_02,assets/leagues/softball/ausl/athletes/texas_volts/texas_volts_team_profile_source_candidate_02/headshot.png,https://theausl.com/volts/,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,yes,no,yes,yes,https://theausl.com/volts/,hold_no_registry_state_change_until_local_candidate_asset_exists,"Source can be reviewed, but identity stays held until the row names a concrete athlete and local candidate asset exists. No approval-state change.",Mike source-review sweep,2026-06-27 13:45 Cuba Daylight Time,review_only_renderer_softball_athlete_photo_trust_manual_intake,false,false,false,false,false,false
