decision,team_id,athlete_id,display_name,provider_player_id,downloaded_file,contact_sheet,approval_target_path,reviewer_notes
Approve,atlanta_dream,atlanta_dream_naz_hillmon,Naz Hillmon,1631044,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_naz_hillmon__1631044.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_naz_hillmon/headshot.png,
Approve,atlanta_dream,atlanta_dream_amy_okonkwo,Amy Okonkwo,1629539,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_amy_okonkwo__1629539.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_amy_okonkwo/headshot.png,
Approve,atlanta_dream,atlanta_dream_te_hina_paopao,Te-Hina Paopao,1642804,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_te_hina_paopao__1642804.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_te_hina_paopao/headshot.png,
Approve,atlanta_dream,atlanta_dream_jordin_canada,Jordin Canada,1628886,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_jordin_canada__1628886.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_jordin_canada/headshot.png,
Approve,atlanta_dream,atlanta_dream_angel_reese,Angel Reese,1642291,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_angel_reese__1642291.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_angel_reese/headshot.png,
Approve,atlanta_dream,atlanta_dream_rhyne_howard,Rhyne Howard,1631009,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_rhyne_howard__1631009.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_rhyne_howard/headshot.png,
Approve,atlanta_dream,atlanta_dream_madina_okot,Madina Okot,1643431,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_madina_okot__1643431.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_madina_okot/headshot.png,
Approve,atlanta_dream,atlanta_dream_allisha_gray,Allisha Gray,1628277,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_allisha_gray__1628277.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_allisha_gray/headshot.png,
Approve,atlanta_dream,atlanta_dream_isobel_borlase,Isobel Borlase,1642302,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_isobel_borlase__1642302.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_isobel_borlase/headshot.png,
Approve,atlanta_dream,atlanta_dream_indya_nivar,Indya Nivar,1643469,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_indya_nivar__1643469.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_indya_nivar/headshot.png,
Approve,atlanta_dream,atlanta_dream_sika_kone,Sika Kone,1631021,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_sika_kone__1631021.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_sika_kone/headshot.png,
Approve,atlanta_dream,atlanta_dream_aaliyah_nye,Aaliyah Nye,1642801,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_aaliyah_nye__1642801.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_aaliyah_nye/headshot.png,
Approve,atlanta_dream,atlanta_dream_brionna_jones,Brionna Jones,1628280,outputs/latest/review_files/athlete_image_approval_pack/downloads/atlanta_dream/atlanta_dream_brionna_jones__1628280.png,outputs/latest/review_files/athlete_image_approval_pack/contact_sheets/atlanta_dream_contact_sheet.jpg,assets/leagues/wnba/athletes/atlanta_dream_brionna_jones/headshot.png,
