league,entity_type,entity_id,team_id,display_name,asset_role,local_asset_path,alternate_local_paths,format,dimensions_px,file_exists,registry_approved,status,renderer_readiness,official_source_url,current_registry_source_url,source_policy_status,review_notes,next_action
WNBA,league_logo,wnba_league_primary,,WNBA,primary_league_mark,assets/leagues/wnba/logo.png,assets/leagues/wnba/logo.svg,missing,,false,false,missing,not_ready_missing_optional_league_mark,https://www.wnba.com/,,official_source_needed_review_only,No local WNBA league logo mark is registered or present. Existing renderer catalog treats league logo as optional/review-only.,Add operator-reviewed official WNBA league mark source and local asset only after rights/source review.
WNBA,league_logo,wnba_league_lockup,,WNBA,league_lockup,assets/leagues/wnba/lockup.png,assets/leagues/wnba/lockup.svg,missing,,false,false,missing,not_ready_missing_optional_league_mark,https://www.wnba.com/,,official_source_needed_review_only,No league lockup asset slot exists today. Keep separate from primary team-logo readiness.,Decide whether renderer actually needs a league lockup before creating an asset slot.
WNBA,team_logo,atlanta_dream,atlanta_dream,Atlanta Dream,primary_team_logo,assets/leagues/wnba/teams/atlanta_dream/logo.png,,png,250x265,true,false,local_file_unapproved_review_required,not_ready_human_review_hold,https://dream.wnba.com/,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Atlanta_Dream_logo.svg/250px-Atlanta_Dream_logo.svg.png,non_official_registry_source_review_required,Local PNG exists but team_logos.csv approved=false. Source metadata currently points to Wikimedia, not official WNBA/team source.,Review exact logo against official team identity page/site before any manual approval.
WNBA,team_logo,chicago_sky,chicago_sky,Chicago Sky,primary_team_logo,assets/leagues/wnba/teams/chicago_sky/logo.png,assets/leagues/wnba/teams/chicago_sky/logo.svg,png+svg,900x900 png; 201.68331x231.55195 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://sky.wnba.com/,https://upload.wikimedia.org/wikipedia/en/f/fc/Chicago_Sky_logo.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,connecticut_sun,connecticut_sun,Connecticut Sun,primary_team_logo,assets/leagues/wnba/teams/connecticut_sun/logo.png,assets/leagues/wnba/teams/connecticut_sun/logo.svg,png+svg,900x900 png; 267.88422x294.98454 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://sun.wnba.com/,https://upload.wikimedia.org/wikipedia/en/0/09/Connecticut_Sun_logo.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,dallas_wings,dallas_wings,Dallas Wings,primary_team_logo,assets/leagues/wnba/teams/dallas_wings/logo.png,assets/leagues/wnba/teams/dallas_wings/logo.svg,png+svg,900x900 png; 277.763x176.50283 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://wings.wnba.com/,https://upload.wikimedia.org/wikipedia/en/9/95/Dallas_Wings_logo.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,golden_state_valkyries,golden_state_valkyries,Golden State Valkyries,primary_team_logo,assets/leagues/wnba/teams/golden_state_valkyries/logo.png,assets/leagues/wnba/teams/golden_state_valkyries/logo.svg,png+svg,180x180 png; 265.87445x360.99414 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://valkyries.wnba.com/team,https://upload.wikimedia.org/wikipedia/en/0/00/Golden_State_Valkyries_logo.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG. Official identity page is available.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,indiana_fever,indiana_fever,Indiana Fever,primary_team_logo,assets/leagues/wnba/teams/indiana_fever/logo.png,assets/leagues/wnba/teams/indiana_fever/logo.svg,png+svg,900x900 png; 254.44921x240.98954 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://fever.wnba.com/,https://upload.wikimedia.org/wikipedia/en/5/54/Indiana_Fever_logo.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,las_vegas_aces,las_vegas_aces,Las Vegas Aces,primary_team_logo,assets/leagues/wnba/teams/las_vegas_aces/logo.png,assets/leagues/wnba/teams/las_vegas_aces/logo.svg,png+svg,900x900 png; 267.53079x369.78154 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://aces.wnba.com/,https://upload.wikimedia.org/wikipedia/en/f/ff/New_Las_Vegas_Aces_WNBA_logo_2024.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,los_angeles_sparks,los_angeles_sparks,Los Angeles Sparks,primary_team_logo,assets/leagues/wnba/teams/los_angeles_sparks/logo.png,,png,250x250,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://sparks.wnba.com/,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Los_Angeles_Sparks_logo.svg/250px-Los_Angeles_Sparks_logo.svg.png,non_official_registry_source_review_required,Local PNG exists and registry approved=true. No SVG present locally; source metadata is Wikimedia.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,minnesota_lynx,minnesota_lynx,Minnesota Lynx,primary_team_logo,assets/leagues/wnba/teams/minnesota_lynx/logo.png,assets/leagues/wnba/teams/minnesota_lynx/logo.svg,png+svg,180x180 png; 193.25x181.01 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://lynx.wnba.com/,https://upload.wikimedia.org/wikipedia/en/7/75/Minnesota_Lynx_logo.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true, but source metadata is Wikimedia and target_path differs from registered PNG.,Replace or supplement source row with official/free source evidence before operator trust.
WNBA,team_logo,new_york_liberty,new_york_liberty,New York Liberty,primary_team_logo,assets/leagues/wnba/teams/new_york_liberty/logo.png,,png,250x306,true,false,local_file_unapproved_review_required,not_ready_human_review_hold,https://liberty.wnba.com/,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/New_York_Liberty_logo.svg/250px-New_York_Liberty_logo.svg.png,non_official_registry_source_review_required,Local PNG exists but team_logos.csv approved=false. Source metadata currently points to Wikimedia, not official WNBA/team source.,Review exact logo against official team identity page/site before any manual approval.
WNBA,team_logo,phoenix_mercury,phoenix_mercury,Phoenix Mercury,primary_team_logo,assets/leagues/wnba/teams/phoenix_mercury/logo.png,assets/leagues/wnba/teams/phoenix_mercury/logo.svg,png+svg,900x900 png; 313.88109x313.88109 svg,true,true,approved_source_recheck_required,review_ready_source_recheck_before_publish,https://mercury.wnba.com/,https://upload.wikimedia.org/wikipedia/en/4/48/Phoenix_Mercury_logo_2025.svg,non_official_registry_source_review_required,Local PNG and SVG exist and registry approved=true. Verified registry notes current 2025+ mark; source metadata remains non-official.,Replace or supplement source row with official Mercury current-logo evidence before operator trust.
WNBA,team_logo,portland_fire,portland_fire,Portland Fire,primary_team_logo,assets/leagues/wnba/teams/portland_fire/logo.png,assets/leagues/wnba/teams/portland_fire/logo.svg,png+svg,900x900 png; 285.65787x328.8878 svg,true,true,blocked_stale_source_review_required,not_ready_blocked_source_hold,https://fire.wnba.com/,https://upload.wikimedia.org/wikipedia/en/c/cf/Portland_Fire_logo.svg,blocked_non_current_source_review_required,Verified logo registry blocks the current logo_sources.csv URL because it can represent the legacy 2000-2002 identity. Local files exist but source evidence must be replaced.,Replace blocked source with official current Fire mark evidence before any renderer trust.
