name_variant,entity_id,type
A. Nye,atlanta_dream_aaliyah_nye,auto_alias
Aaliyah Nye,atlanta_dream_aaliyah_nye,canonical
Nye,atlanta_dream_aaliyah_nye,auto_alias
A. Gray,atlanta_dream_allisha_gray,auto_alias
allisha gray,atlanta_dream_allisha_gray,auto_alias
Gray,atlanta_dream_allisha_gray,auto_alias
A. Okonkwo,atlanta_dream_amy_okonkwo,auto_alias
Amy Okonkwo,atlanta_dream_amy_okonkwo,canonical
Okonkwo,atlanta_dream_amy_okonkwo,auto_alias
angel reese,atlanta_dream_angel_reese,auto_alias
A. Reese,atlanta_dream_angel_reese,auto_alias
Reese,atlanta_dream_angel_reese,auto_alias
brionna jones,atlanta_dream_brionna_jones,auto_alias
B. Jones,atlanta_dream_brionna_jones,auto_alias
Jones,atlanta_dream_brionna_jones,auto_alias
Nivar,atlanta_dream_indya_nivar,auto_alias
I. Nivar,atlanta_dream_indya_nivar,auto_alias
Indya Nivar,atlanta_dream_indya_nivar,canonical
I. Borlase,atlanta_dream_isobel_borlase,auto_alias
Borlase,atlanta_dream_isobel_borlase,auto_alias
isobel borlase,atlanta_dream_isobel_borlase,auto_alias
J. Canada,atlanta_dream_jordin_canada,auto_alias
Jordin Canada,atlanta_dream_jordin_canada,canonical
Canada,atlanta_dream_jordin_canada,auto_alias
M. Okot,atlanta_dream_madina_okot,auto_alias
Madina Okot,atlanta_dream_madina_okot,canonical
Okot,atlanta_dream_madina_okot,auto_alias
N. Hillmon,atlanta_dream_naz_hillmon,auto_alias
naz hillmon,atlanta_dream_naz_hillmon,auto_alias
Hillmon,atlanta_dream_naz_hillmon,auto_alias
Howard,atlanta_dream_rhyne_howard,auto_alias
R. Howard,atlanta_dream_rhyne_howard,auto_alias
Rhyne Howard,atlanta_dream_rhyne_howard,canonical
Kone,atlanta_dream_sika_kone,auto_alias
sika kone,atlanta_dream_sika_kone,auto_alias
S. Kone,atlanta_dream_sika_kone,auto_alias
te-hina paopao,atlanta_dream_te_hina_paopao,auto_alias
Paopao,atlanta_dream_te_hina_paopao,auto_alias
T. Paopao,atlanta_dream_te_hina_paopao,auto_alias
Te Hina Paopao,atlanta_dream_te_hina_paopao,auto_alias
Coulibaly,chicago_sky_aicha_coulibaly,auto_alias
Aicha Coulibaly,chicago_sky_aicha_coulibaly,canonical
A. Coulibaly,chicago_sky_aicha_coulibaly,auto_alias
Stevens,chicago_sky_azura_stevens,auto_alias
azura stevens,chicago_sky_azura_stevens,auto_alias
A. Stevens,chicago_sky_azura_stevens,auto_alias
courtney vandersloot,chicago_sky_courtney_vandersloot,auto_alias
Vandersloot,chicago_sky_courtney_vandersloot,auto_alias
C. Vandersloot,chicago_sky_courtney_vandersloot,auto_alias
D. Carrington,chicago_sky_dijonai_carrington,auto_alias
Carrington,chicago_sky_dijonai_carrington,auto_alias
DiJonai Carrington,chicago_sky_dijonai_carrington,canonical
E. Williams,chicago_sky_elizabeth_williams,auto_alias
elizabeth williams,chicago_sky_elizabeth_williams,auto_alias
Williams,chicago_sky_elizabeth_williams,auto_alias
gabriela jaquez,chicago_sky_gabriela_jaquez,auto_alias
G. Jaquez,chicago_sky_gabriela_jaquez,auto_alias
Jaquez,chicago_sky_gabriela_jaquez,auto_alias
jacy sheldon,chicago_sky_jacy_sheldon,auto_alias
J. Sheldon,chicago_sky_jacy_sheldon,auto_alias
Sheldon,chicago_sky_jacy_sheldon,auto_alias
K. Cardoso,chicago_sky_kamilla_cardoso,auto_alias
Cardoso,chicago_sky_kamilla_cardoso,auto_alias
Kamilla Cardoso,chicago_sky_kamilla_cardoso,canonical
M. Westbeld,chicago_sky_maddy_westbeld,auto_alias
Westbeld,chicago_sky_maddy_westbeld,auto_alias
maddy westbeld,chicago_sky_maddy_westbeld,auto_alias
N. Cloud,chicago_sky_natasha_cloud,auto_alias
natasha cloud,chicago_sky_natasha_cloud,auto_alias
Cloud,chicago_sky_natasha_cloud,auto_alias
R. Banham,chicago_sky_rachel_banham,auto_alias
rachel banham,chicago_sky_rachel_banham,auto_alias
Banham,chicago_sky_rachel_banham,auto_alias
Rickea Jackson,chicago_sky_rickea_jackson,canonical
R. Jackson,chicago_sky_rickea_jackson,auto_alias
Jackson,chicago_sky_rickea_jackson,auto_alias
saylor poffenbarger,chicago_sky_saylor_poffenbarger,auto_alias
Poffenbarger,chicago_sky_saylor_poffenbarger,auto_alias
S. Poffenbarger,chicago_sky_saylor_poffenbarger,auto_alias
S. Diggins,chicago_sky_skylar_diggins,auto_alias
Diggins,chicago_sky_skylar_diggins,auto_alias
Skylar Diggins,chicago_sky_skylar_diggins,canonical
