entity_type,entity_id,source_kind,source_url,source_domain,source_tier,manual_review_status,paid_source,download_allowed,approval_status,notes
league,nwsl,league_about,https://www.nwslsoccer.com/about-the-nwsl,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official league context only
league,nwsl,teams_index,https://www.nwslsoccer.com/teams/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official team list and team-site links
league,nwsl,players_index,https://www.nwslsoccer.com/players/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Manual player discovery starting point
league,nwsl,schedule_regular_season,https://www.nwslsoccer.com/schedule/regular-season,www.nwslsoccer.com,official,review_required,false,false,not_approved,Manual fixture cross-check starting point
league,nwsl,standings_index,https://www.nwslsoccer.com/standings/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Manual standings cross-check starting point
league,nwsl,team_stats_index,https://www.nwslsoccer.com/stats/teams/league-leaders,www.nwslsoccer.com,official,review_required,false,false,not_approved,Manual team-stat review starting point
league,nwsl,player_stats_index,https://www.nwslsoccer.com/stats/players/league-leaders,www.nwslsoccer.com,official,review_required,false,false,not_approved,Manual player-stat review starting point
team,angel_city_fc,team_site,https://www.angelcity.com/,www.angelcity.com,official_team_site,review_required,false,false,not_approved,Linked from NWSL teams page; no downloads
team,angel_city_fc,nwsl_team_detail,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL team detail page for identity review
team,angel_city_fc,nwsl_roster,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/roster,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL roster page for manual player intake
team,angel_city_fc,nwsl_schedule,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/schedule,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL schedule page for manual context checks
team,angel_city_fc,logo_review_source,https://www.nwslsoccer.com/teams/9587b8ce40624165903b6bc9fd252634/angel-city-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Review-only logo/mark reference source; does not approve or download asset
team,bay_fc,team_site,https://bayfc.com/,bayfc.com,official_team_site,review_required,false,false,not_approved,Linked from NWSL teams page; no downloads
team,bay_fc,nwsl_team_detail,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL team detail page for identity review
team,bay_fc,nwsl_roster,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/roster,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL roster page for manual player intake
team,bay_fc,nwsl_schedule,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/schedule,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL schedule page for manual context checks
team,bay_fc,logo_review_source,https://www.nwslsoccer.com/teams/19674698cec24f53af8866cd21abaf8f/bay-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Review-only logo/mark reference source; does not approve or download asset
team,boston_legacy_fc,team_site,https://bostonlegacyfc.com/,bostonlegacyfc.com,official_team_site,review_required,false,false,not_approved,Linked from NWSL teams page; no downloads
team,boston_legacy_fc,nwsl_team_detail,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL team detail page for identity review
team,boston_legacy_fc,nwsl_roster,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/roster,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL roster page for manual player intake
team,boston_legacy_fc,nwsl_schedule,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/schedule,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL schedule page for manual context checks
team,boston_legacy_fc,logo_review_source,https://www.nwslsoccer.com/teams/d2d8efe548734dfd8bc667b5a52a079a/boston-legacy-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Review-only logo/mark reference source; does not approve or download asset
team,chicago_stars_fc,team_site,https://chicagostars.com/,chicagostars.com,official_team_site,review_required,false,false,not_approved,Linked from NWSL teams page; no downloads
team,chicago_stars_fc,nwsl_team_detail,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL team detail page for identity review
team,chicago_stars_fc,nwsl_roster,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/roster,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL roster page for manual player intake
team,chicago_stars_fc,nwsl_schedule,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/schedule,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL schedule page for manual context checks
team,chicago_stars_fc,logo_review_source,https://www.nwslsoccer.com/teams/269e825b853f4b43a9d38390aa92bf6e/chicago-stars-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Review-only logo/mark reference source; does not approve or download asset
team,denver_summit_fc,team_site,https://www.denversummitfc.com/,www.denversummitfc.com,official_team_site,review_required,false,false,not_approved,Linked from NWSL teams page; no downloads
team,denver_summit_fc,nwsl_team_detail,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL team detail page for identity review
team,denver_summit_fc,nwsl_roster,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/roster,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL roster page for manual player intake
team,denver_summit_fc,nwsl_schedule,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/schedule,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL schedule page for manual context checks
team,denver_summit_fc,logo_review_source,https://www.nwslsoccer.com/teams/cbfcacbef5bc4a278442c00926ac9ebc/denver-summit-fc/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Review-only logo/mark reference source; does not approve or download asset
team,houston_dash,team_site,https://www.houstondynamofc.com/houstondash/,www.houstondynamofc.com,official_team_site,review_required,false,false,not_approved,Linked from NWSL teams page; no downloads
team,houston_dash,nwsl_team_detail,https://www.nwslsoccer.com/teams/ca3f464d6b794a9087d441d75961403f/houston-dash/index,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL team detail page for identity review
team,houston_dash,nwsl_roster,https://www.nwslsoccer.com/teams/ca3f464d6b794a9087d441d75961403f/houston-dash/roster,www.nwslsoccer.com,official,review_required,false,false,not_approved,Official NWSL roster page for manual player intake
