operator_rank,scope_id,league_id,team_id,team_name,candidate_rows,official_roster_candidate_rows,starter_candidate_rows,local_candidate_files_present,source_domains,highest_priority_source_tier,manual_intake_file,team_review_board_path,team_contact_sheet_path,operator_next_step,expansion_phase,review_only,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
1,nwsl,nwsl,angel_city_fc,Angel City FC,26,26,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/angel_city_fc.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/angel_city_fc.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
2,nwsl,nwsl,bay_fc,Bay FC,30,30,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/bay_fc.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/bay_fc.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
3,nwsl,nwsl,boston_legacy_fc,Boston Legacy FC,26,26,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/boston_legacy_fc.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/boston_legacy_fc.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
4,nwsl,nwsl,chicago_stars_fc,Chicago Stars FC,28,28,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/chicago_stars_fc.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/chicago_stars_fc.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
5,nwsl,nwsl,denver_summit_fc,Denver Summit FC,26,26,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/denver_summit_fc.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/denver_summit_fc.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
6,nwsl,nwsl,gotham_fc,Gotham FC,27,27,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/gotham_fc.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/gotham_fc.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
7,nwsl,nwsl,houston_dash,Houston Dash,28,28,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/houston_dash.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/houston_dash.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
8,nwsl,nwsl,kansas_city_current,Kansas City Current,31,31,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/kansas_city_current.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/kansas_city_current.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
9,nwsl,nwsl,north_carolina_courage,North Carolina Courage,27,27,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/north_carolina_courage.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/north_carolina_courage.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
10,nwsl,nwsl,orlando_pride,Orlando Pride,28,28,0,0,www.nwslsoccer.com,official_public_roster_metadata,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/orlando_pride.md,data/asset_registry/womens_soccer/athlete_photo_contact_sheets/nwsl/orlando_pride.png,Review NWSL roster-sourced candidate rows first; add local candidate files only after human source and rights review.,phase_1_nwsl_roster_metadata,true,false,false,false,false,false,false
