photo_readiness_rank,photo_review_readiness_bucket,manual_action_group,source_tier,scope_id,league_id,team_id,team_name,player_name,operator_verify_required,source_domain,source_candidate_url,candidate_action_row_ref,candidate_action_file,source_priority_row_ref,source_priority_file,triage_row_ref,triage_file,candidate_entity_id,linked_queue_bucket,render_readiness,photo_asset_blocker,future_download_intake_status,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,nwsl_roster_verify_before_photo_review,roster_source_verify,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Ariadina Alves Borges; Maiara Carolina Niehues,yes,angelcity.com,https://angelcity.com/club/roster,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=21,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Open official NWSL/team source, verify player/team identity, then create human photo-review intake if needed.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,nwsl_roster_verify_before_photo_review,roster_source_verify,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Débora Cristiane de Oliveira,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=24,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,kansas_city_current,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Open official NWSL/team source, verify player/team identity, then create human photo-review intake if needed.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Kennedy Fuller,yes,bayfc.com,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=44,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Rajanah Reed,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=45,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,angel_city_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,boston_legacy_fc_chicago_stars_fc,Boston Legacy FC / Chicago Stars FC,Sam Cary Angel,yes,bostonlegacyfc.com,https://bostonlegacyfc.com/blogs/press/boston-legacy-fc-samantha-angel-loan-chicago-stars,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=46,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,boston_legacy_fc_chicago_stars_fc,,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,denver_summit_fc,Denver Summit FC,Lindsey Heaps; Jordan Baggett,yes,www.denversummitfc.com,https://www.denversummitfc.com/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=47,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,denver_summit_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,gotham_fc,Gotham FC,Lilly Reale,yes,www.gothamfc.com,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=48,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,gotham_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,houston_dash,Houston Dash,Christen Westphal,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=49,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,houston_dash,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,houston_dash,Houston Dash,Natalie Bain; Liz Beardsley; Zoe Matthews; Amanda West; Rebeca Costa da Silva; Jyllissa Harris,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=50,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,houston_dash,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,resolve_duplicate_transfer_before_photo_review,duplicate_transfer_check,official_source_candidate,nwsl,nwsl,houston_dash,Houston Dash,Yazmeen Ryan; Delanie Sheehan,yes,www.denversummitfc.com,https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=51,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=4,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,houston_dash,p0_nwsl_roster_verification_first,not_render_ready_review_only,not_render_ready_review_only,human_edited_intake_required_no_generated_authorization,"Resolve duplicate, transfer, loan, stale, or short-term status against official sources before photo review.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
