triage_rank,primary_manual_action,action_flags,scope_id,league_id,team_id,team_name,queue_rank,queue_bucket,first_action_bucket,candidate_rows,missing_local_candidate_rows,source_priority_rows,official_source_candidate_rows,operator_verify_required_source_rows,gray_or_reputable_source_rows,named_player_source_rows,advisory_source_domains,advisory_source_candidate_urls,render_readiness,safe_next_action,download_approved,source_url,candidate_entity_id,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,official_roster_check,official_roster_check|identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,angel_city_fc,Angel City FC,1,p0_nwsl_roster_verification_first,1_roster_verification,26,26,4,4,4,0,4,bayfc.com | angelcity.com,https://bayfc.com/press-releases/bay-fc-acquire-midfielder-kennedy-fuller-from-angel-city-fc-20260612/ | https://angelcity.com/acfc-post/angel-city-football-club-loans-forward-maithe-lopez-to-vancouver-rise-fc | https://angelcity.com/acfc-post/angel-city-signs-forward-rajanah-reed,not_render_ready_review_only,Open official NWSL/team roster sources and verify current roster metadata only; no candidate-state writeback.,no,,angel_city_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
2,official_roster_check,official_roster_check|identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,denver_summit_fc,Denver Summit FC,2,p0_nwsl_roster_verification_first,1_roster_verification,26,26,1,1,1,0,1,www.denversummitfc.com,https://www.denversummitfc.com/roster/,not_render_ready_review_only,Open official NWSL/team roster sources and verify current roster metadata only; no candidate-state writeback.,no,,denver_summit_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
3,official_roster_check,official_roster_check|identity_verification|source_candidate_review|gray_area_reputable_lead_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,gotham_fc,Gotham FC,3,p0_nwsl_roster_verification_first,1_roster_verification,27,27,3,2,3,1,3,www.gothamfc.com | www.reuters.com,https://www.gothamfc.com/news/gotham-fc-trades-defender-lilly-reale-to-boston-legacy-fc | https://www.reuters.com/sports/soccer/reports-gotham-fc-set-reunion-with-f-sam-kerr--flm-2026-06-17/ | https://www.gothamfc.com/roster,not_render_ready_review_only,Open official NWSL/team roster sources and verify current roster metadata only; no candidate-state writeback.,no,,gotham_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
4,official_roster_check,official_roster_check|identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,houston_dash,Houston Dash,4,p0_nwsl_roster_verification_first,1_roster_verification,28,28,3,3,3,0,3,www.houstondynamofc.com | www.denversummitfc.com,https://www.houstondynamofc.com/houstondash/news/houston-dash-host-north-carolina-courage-for-kids-night | https://www.houstondynamofc.com/houstondash/roster/ | https://www.denversummitfc.com/news/player-signings/denver-summit-fc-acquires-yazmeen-ryan-delanie-sheehan-from-houston-dash/,not_render_ready_review_only,Open official NWSL/team roster sources and verify current roster metadata only; no candidate-state writeback.,no,,houston_dash,,,,,,,true,false,false,false,false,false,false,false,false,false,false
5,official_roster_check,official_roster_check|identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,kansas_city_current,Kansas City Current,5,p0_nwsl_roster_verification_first,1_roster_verification,31,31,4,4,4,0,4,angelcity.com | www.kansascitycurrent.com,https://angelcity.com/acfc-post/acfc-signs-uswnt-midfielder-ally-sentnor-trade-with-kansas-city-current | https://www.kansascitycurrent.com/team | https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s,not_render_ready_review_only,Open official NWSL/team roster sources and verify current roster metadata only; no candidate-state writeback.,no,,kansas_city_current,,,,,,,true,false,false,false,false,false,false,false,false,false,false
6,official_roster_check,official_roster_check|identity_verification|source_candidate_review|missing_local_asset|future_quarantine_download_intake_prep,nwsl,nwsl,san_diego_wave_fc,San Diego Wave FC,6,p0_nwsl_roster_verification_first,1_roster_verification,25,25,1,1,1,0,1,sandiegowavefc.com,https://sandiegowavefc.com/roster/,not_render_ready_review_only,Open official NWSL/team roster sources and verify current roster metadata only; no candidate-state writeback.,no,,san_diego_wave_fc,,,,,,,true,false,false,false,false,false,false,false,false,false,false
7,gray_area_reputable_lead_review,source_candidate_review|gray_area_reputable_lead_review|missing_local_asset|future_quarantine_download_intake_prep,europe_top_flight,wsl_england,all_teams,Wsl England,17,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,12,13,12,1,1,0,soccerdonna.de | wslfootball.com,https://www.soccerdonna.de/en/womens-super-league/startseite/wettbewerb_ENG1.html | https://www.wslfootball.com/clubs/arsenal/squad | https://www.wslfootball.com/clubs/aston-villa/squad,not_render_ready_source_candidate_only,Review gray-area or reputable public leads as manual leads only; require official confirmation before current-roster use.,no,,wsl_england,,,,,,,true,false,false,false,false,false,false,false,false,false,false
8,gray_area_reputable_lead_review,source_candidate_review|gray_area_reputable_lead_review|missing_local_asset|future_quarantine_download_intake_prep,europe_top_flight,liga_f_spain,all_teams,Liga F Spain,18,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,16,16,17,16,1,1,0,soccerdonna.de | ligaf.es,https://www.soccerdonna.de/en/primera-division-femenina/startseite/wettbewerb_ESP1.html | https://ligaf.es/equipo/alhama-cf-femenino/20478/plantilla/2026 | https://ligaf.es/equipo/athletic-club-femenino/8845/plantilla/2026,not_render_ready_source_candidate_only,Review gray-area or reputable public leads as manual leads only; require official confirmation before current-roster use.,no,,liga_f_spain,,,,,,,true,false,false,false,false,false,false,false,false,false,false
9,gray_area_reputable_lead_review,source_candidate_review|gray_area_reputable_lead_review|missing_local_asset|future_quarantine_download_intake_prep,europe_top_flight,frauen_bundesliga_germany,all_teams,Frauen Bundesliga Germany,19,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,14,14,15,14,4,1,0,globalsportsarchive.com | hsv.de | scfreiburg.com | tsg-hoffenheim.de | datencenter.dfb.de,https://globalsportsarchive.com/en/soccer/competition/google-pixel-frauen-bundesliga-2025-2026/76011 | https://www.hsv.de/profis/team-hsv-frauen/kader-hsv-frauen | https://www.scfreiburg.com/frauen,not_render_ready_source_candidate_only,Review gray-area or reputable public leads as manual leads only; require official confirmation before current-roster use.,no,,frauen_bundesliga_germany,,,,,,,true,false,false,false,false,false,false,false,false,false,false
10,gray_area_reputable_lead_review,source_candidate_review|gray_area_reputable_lead_review|missing_local_asset|future_quarantine_download_intake_prep,europe_top_flight,serie_a_women_italy,all_teams,Serie A Women Italy,20,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,12,13,10,12,3,0,soccerdonna.de | acmilan.com | asroma.com | comowomen.com | acffiorentina.com,https://www.soccerdonna.de/en/serie-a-women/startseite/wettbewerb_IT1.html | https://www.soccerdonna.de/en/us-sassuolo/startseite/verein_6329.html | https://www.soccerdonna.de/en/ternana-women/kader/verein_7549.html,not_render_ready_source_candidate_only,Review gray-area or reputable public leads as manual leads only; require official confirmation before current-roster use.,no,,serie_a_women_italy,,,,,,,true,false,false,false,false,false,false,false,false,false,false
