worksheet_rank,queue_rank,first_action_bucket,source_verification_bucket,scope_id,league_id,team_id,team_name,queue_bucket,p0_external_rows,p1_external_rows,gray_area_rows,official_external_rows,non_official_external_rows,candidate_rows,missing_local_candidate_rows,download_intake_rows,download_approved_yes_rows,download_approved,source_url,candidate_entity_id,entity_id,rights_class,identity_confidence,intended_review_only_use,quarantine_folder,operator_decision,operator_notes,safe_next_action,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,1,1_roster_verification,official_source_manual_verify,nwsl,nwsl,angel_city_fc,Angel City FC,p0_nwsl_roster_verification_first,3,1,0,4,0,26,26,26,0,no,,angel_city_fc,,,,,data/assets/quarantine/review_only_candidates,,,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,true,false,false,false,false,false,false,false,false,false,false
2,2,1_roster_verification,official_source_manual_verify,nwsl,nwsl,denver_summit_fc,Denver Summit FC,p0_nwsl_roster_verification_first,2,0,0,2,0,26,26,26,0,no,,denver_summit_fc,,,,,data/assets/quarantine/review_only_candidates,,,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,true,false,false,false,false,false,false,false,false,false,false
3,3,1_roster_verification,gray_area_or_reputable_media_manual_verify,nwsl,nwsl,gotham_fc,Gotham FC,p0_nwsl_roster_verification_first,1,2,1,3,1,27,27,27,0,no,,gotham_fc,,,,,data/assets/quarantine/review_only_candidates,,,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,true,false,false,false,false,false,false,false,false,false,false
4,4,1_roster_verification,official_source_manual_verify,nwsl,nwsl,houston_dash,Houston Dash,p0_nwsl_roster_verification_first,4,6,0,10,0,28,28,28,0,no,,houston_dash,,,,,data/assets/quarantine/review_only_candidates,,,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,true,false,false,false,false,false,false,false,false,false,false
5,5,1_roster_verification,official_source_manual_verify,nwsl,nwsl,kansas_city_current,Kansas City Current,p0_nwsl_roster_verification_first,1,3,0,4,0,31,31,31,0,no,,kansas_city_current,,,,,data/assets/quarantine/review_only_candidates,,,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,true,false,false,false,false,false,false,false,false,false,false
6,6,1_roster_verification,official_source_manual_verify,nwsl,nwsl,san_diego_wave_fc,San Diego Wave FC,p0_nwsl_roster_verification_first,1,1,0,2,0,25,25,25,0,no,,san_diego_wave_fc,,,,,data/assets/quarantine/review_only_candidates,,,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,true,false,false,false,false,false,false,false,false,false,false
7,7,3_missing_local_candidate_asset,source_metadata_manual_verify,nwsl,nwsl,bay_fc,Bay FC,p1_nwsl_local_candidate_assets_missing,0,0,0,0,0,30,30,30,0,no,,bay_fc,,,,,data/assets/quarantine/review_only_candidates,,,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",true,false,false,false,false,false,false,false,false,false,false
8,8,3_missing_local_candidate_asset,source_metadata_manual_verify,nwsl,nwsl,boston_legacy_fc,Boston Legacy FC,p1_nwsl_local_candidate_assets_missing,0,0,0,0,0,26,26,26,0,no,,boston_legacy_fc,,,,,data/assets/quarantine/review_only_candidates,,,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",true,false,false,false,false,false,false,false,false,false,false
9,9,3_missing_local_candidate_asset,official_source_manual_verify,nwsl,nwsl,chicago_stars_fc,Chicago Stars FC,p1_nwsl_local_candidate_assets_missing,0,1,0,1,0,28,28,28,0,no,,chicago_stars_fc,,,,,data/assets/quarantine/review_only_candidates,,,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",true,false,false,false,false,false,false,false,false,false,false
10,10,3_missing_local_candidate_asset,source_metadata_manual_verify,nwsl,nwsl,north_carolina_courage,North Carolina Courage,p1_nwsl_local_candidate_assets_missing,0,0,0,0,0,27,27,27,0,no,,north_carolina_courage,,,,,data/assets/quarantine/review_only_candidates,,,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",true,false,false,false,false,false,false,false,false,false,false
