queue_rank,queue_bucket,scope_id,league_id,team_id,team_name,first_action_bucket,candidate_rows,official_roster_candidate_rows,starter_candidate_rows,local_candidate_files_present,missing_local_candidate_rows,download_intake_rows,download_approved_yes_rows,external_research_rows,p0_external_rows,p1_external_rows,gray_area_rows,official_external_rows,non_official_external_rows,operator_verify_required_rows,source_domains,source_status_mix,source_verification_bucket,roster_verification_status,local_asset_blocker,download_law_status,future_download_required_fields,render_readiness,safe_next_action,manual_intake_file,download_intake_file,research_board_file,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
1,p0_nwsl_roster_verification_first,nwsl,nwsl,angel_city_fc,Angel City FC,1_roster_verification,26,26,0,0,26,26,0,4,3,1,0,4,0,4,angelcity.com|bayfc.com|www.nwslsoccer.com,official_team:4,official_source_manual_verify,external_research_p0_requires_manual_roster_check,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
2,p0_nwsl_roster_verification_first,nwsl,nwsl,denver_summit_fc,Denver Summit FC,1_roster_verification,26,26,0,0,26,26,0,2,2,0,0,2,0,2,www.denversummitfc.com|www.nwslsoccer.com,official_team:2,official_source_manual_verify,external_research_p0_requires_manual_roster_check,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
3,p0_nwsl_roster_verification_first,nwsl,nwsl,gotham_fc,Gotham FC,1_roster_verification,27,27,0,0,27,27,0,4,1,2,1,3,1,4,www.gothamfc.com|www.nwslsoccer.com|www.reuters.com,non_official_reputable_media:1|official_team:3,gray_area_or_reputable_media_manual_verify,external_research_p0_requires_manual_roster_check,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
4,p0_nwsl_roster_verification_first,nwsl,nwsl,houston_dash,Houston Dash,1_roster_verification,28,28,0,0,28,28,0,10,4,6,0,10,0,10,www.denversummitfc.com|www.houstondynamofc.com|www.nwslsoccer.com,official_team:10,official_source_manual_verify,external_research_p0_requires_manual_roster_check,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
5,p0_nwsl_roster_verification_first,nwsl,nwsl,kansas_city_current,Kansas City Current,1_roster_verification,31,31,0,0,31,31,0,4,1,3,0,4,0,4,angelcity.com|www.kansascitycurrent.com|www.nwslsoccer.com,official_team:4,official_source_manual_verify,external_research_p0_requires_manual_roster_check,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
6,p0_nwsl_roster_verification_first,nwsl,nwsl,san_diego_wave_fc,San Diego Wave FC,1_roster_verification,25,25,0,0,25,25,0,2,1,1,0,2,0,2,sandiegowavefc.com|www.nwslsoccer.com,official_team:2,official_source_manual_verify,external_research_p0_requires_manual_roster_check,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,Review current official NWSL/team roster metadata before any later human-edited candidate-state change.,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
7,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,bay_fc,Bay FC,3_missing_local_candidate_asset,30,30,0,0,30,30,0,0,0,0,0,0,0,0,www.nwslsoccer.com,,source_metadata_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
8,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,boston_legacy_fc,Boston Legacy FC,3_missing_local_candidate_asset,26,26,0,0,26,26,0,0,0,0,0,0,0,0,www.nwslsoccer.com,,source_metadata_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
9,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,chicago_stars_fc,Chicago Stars FC,3_missing_local_candidate_asset,28,28,0,0,28,28,0,1,0,1,0,1,0,1,chicagostars.com|www.nwslsoccer.com,official_team:1,official_source_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
10,p1_nwsl_local_candidate_assets_missing,nwsl,nwsl,north_carolina_courage,North Carolina Courage,3_missing_local_candidate_asset,27,27,0,0,27,27,0,0,0,0,0,0,0,0,www.nwslsoccer.com,,source_metadata_manual_verify,official_roster_metadata_candidate_present,local_candidate_assets_missing,future_quarantine_download_intake_required,download_approved|source_url|entity_id|rights_class|identity_confidence|intended_review_only_use,not_render_ready_review_only,"Review source and rights fields, then use human-edited download intake before any quarantine candidate asset.",data/asset_registry/womens_soccer/womens_soccer_athlete_photo_review_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_photo_download_intake.csv,data/asset_registry/womens_soccer/external_research/womens_soccer_external_research_intake_board.csv,true,false,false,false,false,false,false,false,false,false,false
