bundle_slug,bundle_name,sport,league,player_name,team_name,required,status,approved_asset_id,source_url,local_path,sourcing_method,notes
main-wnba-result,Main WNBA Result,basketball,WNBA,Jessica Shepard,Dallas Wings,Yes,found_downloaded,appr_e229246a508b2e,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jessica%20Shepard%20%28cropped%29.jpg,data/assets/player_images/jessica-shepard_img_1720d64e496bd6.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Arike Ogunbowale,Dallas Wings,Yes,found_downloaded,appr_2646dc354c1762,https://commons.wikimedia.org/wiki/Special:Redirect/file/Arike%20Ogunbowale%2001%20%28cropped%29.jpg,data/assets/player_images/arike-ogunbowale_img_b657bc0d660f71.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Paige Bueckers,Dallas Wings,Yes,found_downloaded,appr_717263c3d3e94e,https://commons.wikimedia.org/wiki/Special:Redirect/file/Paige%20Bueckers%20Dallas%20Wings%202%20%28cropped%29.jpg,data/assets/player_images/paige-bueckers_img_83ab92fe154e0a.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Kelsey Plum,Los Angeles Sparks,Yes,found_downloaded,appr_d8c206f8d07cbd,https://commons.wikimedia.org/wiki/Special:Redirect/file/Kelsey%20Plum%20Fenerbah%C3%A7e%20Women%27s%20Basketball%20vs%20BC%20Nadezhda%20Orenburg%20EuroLeague%20Women%2020171011%20%282%29%20%28cropped%29.jpg,data/assets/player_images/kelsey-plum_img_4a7054cd62f785.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Ariel Atkins,Los Angeles Sparks,Yes,found_downloaded,appr_d3440f8552d66f,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ariel%20Atkins%203%20Fenerbah%C3%A7e%20WB%2020241002%20%28cropped%29.jpg,data/assets/player_images/ariel-atkins_img_d142138a475bc8.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Dearica Hamby,Los Angeles Sparks,Yes,found_downloaded,appr_505914b839a2ec,https://commons.wikimedia.org/wiki/Special:Redirect/file/Dearica%20Hamby%202024%20%28cropped%29.jpg,data/assets/player_images/dearica-hamby_img_380e300619f001.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Nneka Ogwumike,Los Angeles Sparks,Yes,found_downloaded,appr_9a4d6394f0547e,https://commons.wikimedia.org/wiki/Special:Redirect/file/Ogwumike%2020161011.jpg,data/assets/player_images/nneka-ogwumike_img_5f16a036aea79f.jpg,wikidata_p18,
main-wnba-result,Main WNBA Result,basketball,WNBA,Cameron Brink,Los Angeles Sparks,Yes,found_downloaded,appr_26395171db11b9,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cameron%20Brink%20%28cropped%29.jpg,data/assets/player_images/cameron-brink_img_1eebb8b3461051.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,HSD Bundle Prompts,,Yes,missing,,,,,"Required people/player image missing. Free pipeline tried local/manual files, official WNBA roster pages when applicable, Wikipedia/Wikidata/Commons, and DuckDuckGo Images. Add a manual image file or source URL if unresolved."
general-bundle,General Bundle,basketball,WNBA,PLAYER IMAGE STATUS,,Yes,found_downloaded,appr_97c6c2747ba7de,https://upload.wikimedia.org/wikipedia/commons/8/80/1923-24_UNC_Tar_Heels_Basketball_Player_E.jpg,data/assets/player_images/player-image-status_img_1b6be7736a707e.jpg,commons_api,
general-bundle,General Bundle,basketball,WNBA,One Dallas,,Yes,found_downloaded,appr_31c010fb6e1321,https://commons.wikimedia.org/wiki/Special:Redirect/file/PatriotTower01.jpg,data/assets/player_images/one-dallas_img_e99c44e20bacb2.jpg,wikidata_p18,
general-bundle,General Bundle,basketball,WNBA,One Sparks,,Yes,found_downloaded,appr_c53adf657a1ff5,https://upload.wikimedia.org/wikipedia/commons/b/ba/Sparks_Basketball_Team%2C_1921%2C_Saint_Louis_College%2C_sec9_no1641_0001%2C_from_Brother_Bertram_Photograph_Collection.jpg,data/assets/player_images/one-sparks_img_e88690d731f255.jpg,commons_api,
general-bundle,General Bundle,basketball,WNBA,Los Angeles,,Yes,found_downloaded,appr_315287c0f37435,https://commons.wikimedia.org/wiki/Special:Redirect/file/Los%20Angeles%20with%20Mount%20Baldy.jpg,data/assets/player_images/los-angeles_img_06725f01a7c25f.jpg,wikidata_p18,
