approved_asset_id,asset_id,approved_variant,entity_type,entity_name,source_url,page_url,master_path,web_path,rights_status,approved_by,approved_utc,usage_scope,notes
appr_91cbcd61ad5236,ast_91cbcd61ad5236,primary_logo_v1,team,Atlanta Dream,https://upload.wikimedia.org/wikipedia/en/5/53/Atlanta_Dream_logo.svg,https://upload.wikimedia.org/wikipedia/en/5/53/Atlanta_Dream_logo.svg,,,auto_approved_by_hsd_aggressive_policy,HSD aggressive asset policy with v1.2 exact-entity and fallback guard,2026-06-14T17:00:33.246052+00:00,HSD social graphics,"Auto-approved only after exact-match, fallback, and entity-cleanup guard."
appr_c01f380f144d19,ast_c01f380f144d19,primary_logo_v1,team,New York Liberty,https://upload.wikimedia.org/wikipedia/en/1/10/New_York_Liberty_logo.svg,https://upload.wikimedia.org/wikipedia/en/1/10/New_York_Liberty_logo.svg,,,auto_approved_by_hsd_aggressive_policy,HSD aggressive asset policy with v1.2 exact-entity and fallback guard,2026-06-14T17:00:33.246069+00:00,HSD social graphics,"Auto-approved only after exact-match, fallback, and entity-cleanup guard."
appr_84671908f1c4e6,ast_84671908f1c4e6,primary_logo_v1,team,Toronto Tempo,https://upload.wikimedia.org/wikipedia/en/1/1b/Toronto_Tempo_logo.svg,https://upload.wikimedia.org/wikipedia/en/1/1b/Toronto_Tempo_logo.svg,data/assets/approved/appr_84671908f1c4e6.svg,data/assets/approved/appr_84671908f1c4e6.svg,auto_approved_by_hsd_aggressive_policy,HSD aggressive asset policy with v1.2 exact-entity and fallback guard,2026-06-14T17:00:33.246072+00:00,HSD social graphics,"Auto-approved only after exact-match, fallback, and entity-cleanup guard."
appr_be59e3bb7acb19,ast_be59e3bb7acb19,primary_logo_v1,team,Washington Mystics,https://upload.wikimedia.org/wikipedia/en/2/24/Washington_Mystics_logo.svg,https://upload.wikimedia.org/wikipedia/en/2/24/Washington_Mystics_logo.svg,,,auto_approved_by_hsd_aggressive_policy,HSD aggressive asset policy with v1.2 exact-entity and fallback guard,2026-06-14T17:00:33.246073+00:00,HSD social graphics,"Auto-approved only after exact-match, fallback, and entity-cleanup guard."
appr_3dccb44adb5ead,ast_3dccb44adb5ead,primary_player_photo_v1,player,Rhyne Howard,https://media.gettyimages.com/id/2151524410/photo/college-park-ga-rhyne-howard-of-the-atlanta-dream-poses-for-a-portrait-during-wnba-media-day.jpg?s=612x612&w=gi&k=20&c=OsH3KszffrX1TGU3mAm4zxFTsjZQrWT0P2tGK7jGePA=,https://media.gettyimages.com/id/2151524410/photo/college-park-ga-rhyne-howard-of-the-atlanta-dream-poses-for-a-portrait-during-wnba-media-day.jpg?s=612x612&w=gi&k=20&c=OsH3KszffrX1TGU3mAm4zxFTsjZQrWT0P2tGK7jGePA=,data/assets/player_images/rhyne-howard_img_a5c8bf0283e0f4.jpg,data/assets/player_images/rhyne-howard_img_a5c8bf0283e0f4.jpg,auto_approved_by_hsd_aggressive_policy,HSD people/player image sourcing pipeline,2026-06-14T17:00:40.962120+00:00,HSD social graphics,Required people/player image sourced via duckduckgo_images_free.
appr_dcc6dccea0f5cf,ast_dcc6dccea0f5cf,primary_player_photo_v1,player,Allisha Gray,https://commons.wikimedia.org/wiki/Special:Redirect/file/Allisha%20Gray%20%28cropped%29.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Allisha%20Gray%20%28cropped%29.jpg,data/assets/player_images/allisha-gray_img_2f47310ea168ff.jpg,data/assets/player_images/allisha-gray_img_2f47310ea168ff.jpg,auto_approved_by_hsd_aggressive_policy,HSD people/player image sourcing pipeline,2026-06-14T17:01:18.038555+00:00,HSD social graphics,Required people/player image sourced via wikidata_p18.
appr_5fea558dc79d43,ast_5fea558dc79d43,primary_player_photo_v1,player,Brittney Sykes,https://commons.wikimedia.org/wiki/Special:Redirect/file/Brittney%20Sykes%202022.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Brittney%20Sykes%202022.jpg,data/assets/player_images/brittney-sykes_img_4190a984101268.jpg,data/assets/player_images/brittney-sykes_img_4190a984101268.jpg,auto_approved_by_hsd_aggressive_policy,HSD people/player image sourcing pipeline,2026-06-14T17:01:24.085660+00:00,HSD social graphics,Required people/player image sourced via wikidata_p18.
appr_f757375516ddf2,ast_f757375516ddf2,primary_player_photo_v1,player,Sonia Citron,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sonia%20Citron%202025%20Mystics.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sonia%20Citron%202025%20Mystics.jpg,data/assets/player_images/sonia-citron_img_bc3e9c49eeb8ee.jpg,data/assets/player_images/sonia-citron_img_bc3e9c49eeb8ee.jpg,auto_approved_by_hsd_aggressive_policy,HSD people/player image sourcing pipeline,2026-06-14T17:01:30.069218+00:00,HSD social graphics,Required people/player image sourced via wikidata_p18.
appr_78d0dfdc3d072c,ast_78d0dfdc3d072c,primary_player_photo_v1,player,Breanna Stewart,https://commons.wikimedia.org/wiki/Special:Redirect/file/Breanna%20Stewart%20at%20UConn%20Stanford%20game.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Breanna%20Stewart%20at%20UConn%20Stanford%20game.jpg,data/assets/player_images/breanna-stewart_img_74ce043ec4c988.jpg,data/assets/player_images/breanna-stewart_img_74ce043ec4c988.jpg,auto_approved_by_hsd_aggressive_policy,HSD people/player image sourcing pipeline,2026-06-14T17:01:37.327237+00:00,HSD social graphics,Required people/player image sourced via wikidata_p18.
appr_f544aaa360b541,ast_f544aaa360b541,primary_player_photo_v1,player,Sabrina Ionescu,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sabrina%20Ionescu%202024.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sabrina%20Ionescu%202024.jpg,data/assets/player_images/sabrina-ionescu_img_484f1ca1f42eaf.jpg,data/assets/player_images/sabrina-ionescu_img_484f1ca1f42eaf.jpg,auto_approved_by_hsd_aggressive_policy,HSD people/player image sourcing pipeline,2026-06-14T17:01:43.523131+00:00,HSD social graphics,Required people/player image sourced via wikidata_p18.
