entity_name,entity_type,bundle_name,post_slug,source_url,asset_ready,exact_asset_status,local_asset_path,local_png_path,download_status,conversion_status,decision,reason
Atlanta Dream,team,Tonight in the W,tonight-in-the-w,https://upload.wikimedia.org/wikipedia/en/5/53/Atlanta_Dream_logo.svg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/atlanta-dream_primary-logo-v1_ad5236.svg,graphics_chat_upload_pack/tonight-in-the-w/assets_png_preferred/atlanta-dream_primary-logo-v1_ad5236.png,downloaded_exact_candidate:200:content_type_image,converted_svg_to_png,pass,exact asset requirement satisfied or pending pre-upload check
New York Liberty,team,Tonight in the W,tonight-in-the-w,https://upload.wikimedia.org/wikipedia/en/1/10/New_York_Liberty_logo.svg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/new-york-liberty_primary-logo-v1_144d19.svg,graphics_chat_upload_pack/tonight-in-the-w/assets_png_preferred/new-york-liberty_primary-logo-v1_144d19.png,downloaded_exact_candidate:200:content_type_image,converted_svg_to_png,pass,exact asset requirement satisfied or pending pre-upload check
Toronto Tempo,team,Tonight in the W,tonight-in-the-w,https://upload.wikimedia.org/wikipedia/en/1/1b/Toronto_Tempo_logo.svg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/toronto-tempo_primary-logo-v1_f1c4e6.svg,graphics_chat_upload_pack/tonight-in-the-w/assets_png_preferred/toronto-tempo_primary-logo-v1_f1c4e6.png,downloaded_exact_candidate:200:content_type_image,converted_svg_to_png,pass,exact asset requirement satisfied or pending pre-upload check
Washington Mystics,team,Tonight in the W,tonight-in-the-w,https://upload.wikimedia.org/wikipedia/en/2/24/Washington_Mystics_logo.svg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/washington-mystics_primary-logo-v1_7acb19.svg,graphics_chat_upload_pack/tonight-in-the-w/assets_png_preferred/washington-mystics_primary-logo-v1_7acb19.png,downloaded_exact_candidate:200:content_type_image,converted_svg_to_png,pass,exact asset requirement satisfied or pending pre-upload check
Rhyne Howard,player,Tonight in the W,tonight-in-the-w,https://media.gettyimages.com/id/2151524410/photo/college-park-ga-rhyne-howard-of-the-atlanta-dream-poses-for-a-portrait-during-wnba-media-day.jpg?s=612x612&w=gi&k=20&c=OsH3KszffrX1TGU3mAm4zxFTsjZQrWT0P2tGK7jGePA=,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/rhyne-howard_primary-player-photo-v1_db5ead.jpg,graphics_chat_upload_pack/tonight-in-the-w/assets_original/rhyne-howard_primary-player-photo-v1_db5ead.jpg,copied_local_approved_asset,raster_no_conversion,pass,exact asset requirement satisfied or pending pre-upload check
Allisha Gray,player,Tonight in the W,tonight-in-the-w,https://commons.wikimedia.org/wiki/Special:Redirect/file/Allisha%20Gray%20%28cropped%29.jpg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/allisha-gray_primary-player-photo-v1_a0f5cf.jpg,graphics_chat_upload_pack/tonight-in-the-w/assets_original/allisha-gray_primary-player-photo-v1_a0f5cf.jpg,copied_local_approved_asset,raster_no_conversion,pass,exact asset requirement satisfied or pending pre-upload check
Brittney Sykes,player,Tonight in the W,tonight-in-the-w,https://commons.wikimedia.org/wiki/Special:Redirect/file/Brittney%20Sykes%202022.jpg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/brittney-sykes_primary-player-photo-v1_c79d43.jpg,graphics_chat_upload_pack/tonight-in-the-w/assets_original/brittney-sykes_primary-player-photo-v1_c79d43.jpg,copied_local_approved_asset,raster_no_conversion,pass,exact asset requirement satisfied or pending pre-upload check
Sonia Citron,player,Tonight in the W,tonight-in-the-w,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sonia%20Citron%202025%20Mystics.jpg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/sonia-citron_primary-player-photo-v1_16ddf2.jpg,graphics_chat_upload_pack/tonight-in-the-w/assets_original/sonia-citron_primary-player-photo-v1_16ddf2.jpg,copied_local_approved_asset,raster_no_conversion,pass,exact asset requirement satisfied or pending pre-upload check
Breanna Stewart,player,Tonight in the W,tonight-in-the-w,https://commons.wikimedia.org/wiki/Special:Redirect/file/Breanna%20Stewart%20at%20UConn%20Stanford%20game.jpg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/breanna-stewart_primary-player-photo-v1_3d072c.jpg,graphics_chat_upload_pack/tonight-in-the-w/assets_original/breanna-stewart_primary-player-photo-v1_3d072c.jpg,copied_local_approved_asset,raster_no_conversion,pass,exact asset requirement satisfied or pending pre-upload check
Sabrina Ionescu,player,Tonight in the W,tonight-in-the-w,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sabrina%20Ionescu%202024.jpg,Yes,exact_file_ready,graphics_chat_upload_pack/tonight-in-the-w/assets_original/sabrina-ionescu_primary-player-photo-v1_60b541.jpg,graphics_chat_upload_pack/tonight-in-the-w/assets_original/sabrina-ionescu_primary-player-photo-v1_60b541.jpg,copied_local_approved_asset,raster_no_conversion,pass,exact asset requirement satisfied or pending pre-upload check
