entity_name,entity_type,bundle_name,post_slug,source_url,asset_ready,exact_asset_status,local_asset_path,local_png_path,download_status,conversion_status,decision,reason
Atlanta Dream,team,pre_upload_pack,,https://upload.wikimedia.org/wikipedia/en/5/53/Atlanta_Dream_logo.svg,Unknown,pending_upload_pack,,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact team logo
New York Liberty,team,pre_upload_pack,,https://upload.wikimedia.org/wikipedia/en/1/10/New_York_Liberty_logo.svg,Unknown,pending_upload_pack,,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact team logo
Toronto Tempo,team,pre_upload_pack,,https://upload.wikimedia.org/wikipedia/en/1/1b/Toronto_Tempo_logo.svg,Unknown,pending_upload_pack,data/assets/approved/appr_84671908f1c4e6.svg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact team logo
Washington Mystics,team,pre_upload_pack,,https://upload.wikimedia.org/wikipedia/en/2/24/Washington_Mystics_logo.svg,Unknown,pending_upload_pack,,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact team logo
Rhyne Howard,player,pre_upload_pack,,https://media.gettyimages.com/id/2151524410/photo/college-park-ga-rhyne-howard-of-the-atlanta-dream-poses-for-a-portrait-during-wnba-media-day.jpg?s=612x612&w=gi&k=20&c=OsH3KszffrX1TGU3mAm4zxFTsjZQrWT0P2tGK7jGePA=,Unknown,pending_upload_pack,data/assets/player_images/rhyne-howard_img_a5c8bf0283e0f4.jpg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact player/person image
Allisha Gray,player,pre_upload_pack,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Allisha%20Gray%20%28cropped%29.jpg,Unknown,pending_upload_pack,data/assets/player_images/allisha-gray_img_2f47310ea168ff.jpg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact player/person image
Brittney Sykes,player,pre_upload_pack,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Brittney%20Sykes%202022.jpg,Unknown,pending_upload_pack,data/assets/player_images/brittney-sykes_img_4190a984101268.jpg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact player/person image
Sonia Citron,player,pre_upload_pack,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sonia%20Citron%202025%20Mystics.jpg,Unknown,pending_upload_pack,data/assets/player_images/sonia-citron_img_bc3e9c49eeb8ee.jpg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact player/person image
Breanna Stewart,player,pre_upload_pack,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Breanna%20Stewart%20at%20UConn%20Stanford%20game.jpg,Unknown,pending_upload_pack,data/assets/player_images/breanna-stewart_img_74ce043ec4c988.jpg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact player/person image
Sabrina Ionescu,player,pre_upload_pack,,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sabrina%20Ionescu%202024.jpg,Unknown,pending_upload_pack,data/assets/player_images/sabrina-ionescu_img_484f1ca1f42eaf.jpg,,not_checked_pre_upload_pack,not_checked_pre_upload_pack,fail,missing exact player/person image
