bundle_slug,asset_role,entity_name,team_name,approved_asset_id,local_or_source_path,allowed_usage,forbidden_usage,notes
all_current_bundles,team_logo,Atlanta Dream,Atlanta Dream,appr_91cbcd61ad5236,https://upload.wikimedia.org/wikipedia/en/5/53/Atlanta_Dream_logo.svg,Use only as the Atlanta Dream logo/team mark.,Do not use as a player image. Do not create duplicate floating logos as filler.,One intentional logo placement per team zone.
all_current_bundles,team_logo,New York Liberty,New York Liberty,appr_c01f380f144d19,https://upload.wikimedia.org/wikipedia/en/1/10/New_York_Liberty_logo.svg,Use only as the New York Liberty logo/team mark.,Do not use as a player image. Do not create duplicate floating logos as filler.,One intentional logo placement per team zone.
all_current_bundles,team_logo,Toronto Tempo,Toronto Tempo,appr_84671908f1c4e6,data/assets/approved/appr_84671908f1c4e6.svg,Use only as the Toronto Tempo logo/team mark.,Do not use as a player image. Do not create duplicate floating logos as filler.,One intentional logo placement per team zone.
all_current_bundles,team_logo,Washington Mystics,Washington Mystics,appr_be59e3bb7acb19,https://upload.wikimedia.org/wikipedia/en/2/24/Washington_Mystics_logo.svg,Use only as the Washington Mystics logo/team mark.,Do not use as a player image. Do not create duplicate floating logos as filler.,One intentional logo placement per team zone.
tonight-in-the-w,player_photo,Rhyne Howard,Atlanta Dream,appr_3dccb44adb5ead,data/assets/player_images/rhyne-howard_img_a5c8bf0283e0f4.jpg,Use this image only for Rhyne Howard (Atlanta Dream).,"Never use this image for any player other than Rhyne Howard. Never swap with another player. If unsure, omit the photo rather than substituting.",Public-source player image requires human visual review and tight crop if jersey/context is unclear.
tonight-in-the-w,player_photo,Allisha Gray,Atlanta Dream,appr_dcc6dccea0f5cf,data/assets/player_images/allisha-gray_img_2f47310ea168ff.jpg,Use this image only for Allisha Gray (Atlanta Dream).,"Never use this image for any player other than Allisha Gray. Never swap with another player. If unsure, omit the photo rather than substituting.",Public-source player image requires human visual review and tight crop if jersey/context is unclear.
tonight-in-the-w,player_photo,Brittney Sykes,Washington Mystics,appr_5fea558dc79d43,data/assets/player_images/brittney-sykes_img_4190a984101268.jpg,Use this image only for Brittney Sykes (Washington Mystics).,"Never use this image for any player other than Brittney Sykes. Never swap with another player. If unsure, omit the photo rather than substituting.",Public-source player image requires human visual review and tight crop if jersey/context is unclear.
tonight-in-the-w,player_photo,Sonia Citron,Washington Mystics,appr_f757375516ddf2,data/assets/player_images/sonia-citron_img_bc3e9c49eeb8ee.jpg,Use this image only for Sonia Citron (Washington Mystics).,"Never use this image for any player other than Sonia Citron. Never swap with another player. If unsure, omit the photo rather than substituting.",Public-source player image requires human visual review and tight crop if jersey/context is unclear.
tonight-in-the-w,player_photo,Breanna Stewart,New York Liberty,appr_78d0dfdc3d072c,data/assets/player_images/breanna-stewart_img_74ce043ec4c988.jpg,Use this image only for Breanna Stewart (New York Liberty).,"Never use this image for any player other than Breanna Stewart. Never swap with another player. If unsure, omit the photo rather than substituting.",Public-source player image requires human visual review and tight crop if jersey/context is unclear.
tonight-in-the-w,player_photo,Sabrina Ionescu,New York Liberty,appr_f544aaa360b541,data/assets/player_images/sabrina-ionescu_img_484f1ca1f42eaf.jpg,Use this image only for Sabrina Ionescu (New York Liberty).,"Never use this image for any player other than Sabrina Ionescu. Never swap with another player. If unsure, omit the photo rather than substituting.",Public-source player image requires human visual review and tight crop if jersey/context is unclear.
