run_id,candidate_id,source_id,source_name,source_priority,source_type,url,domain,fetch_status,http_status,title,description,matched_terms,published_hint,usable_context,context_signal,fetched_at_utc,review_flag,notes
0c3a76401657382c,a9515ccf791be6f3,wnba,WNBA official,100,official_league,https://www.wnba.com/,www.wnba.com,ok,200,The Official Home of the WNBA | Women's National Basketball Association,"The official home of the Women's National Basketball Association. Keep up to date with news, scores, and standings for your favorite teams.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:13.806337+00:00,,"Official WNBA league source. Use for schedule, stats, news, transactions, injuries."
0c3a76401657382c,a9515ccf791be6f3,espn_wnba,ESPN WNBA,75,scoreboard_backup,https://www.espn.com/wnba/scoreboard,www.espn.com,ok,200,"WNBA Scores, 2026 Season - ESPN","Live scores for every 2026 WNBA season game on ESPN. Includes box scores, video highlights, play breakdowns and updated odds.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:14.394245+00:00,,Backup box score and story-link source.
0c3a76401657382c,a9515ccf791be6f3,ap_wnba,AP WNBA hub,70,wire_context,https://apnews.com/hub/wnba-basketball,apnews.com,ok,200,"WNBA Scores & Daily News | WNBA Stats, Scores & News Today","Read daily news surrounding WNBA stats, players, and scheduled games. View the WNBA recaps here with AP News, the definitive source of independent journalism.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:15.307482+00:00,,"Use for wire-style context, never copied prose."
0c3a76401657382c,ba4e7ef2031c6cad,wnba,WNBA official,100,official_league,https://www.wnba.com/,www.wnba.com,ok,200,The Official Home of the WNBA | Women's National Basketball Association,"The official home of the Women's National Basketball Association. Keep up to date with news, scores, and standings for your favorite teams.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:15.849028+00:00,,"Official WNBA league source. Use for schedule, stats, news, transactions, injuries."
0c3a76401657382c,ba4e7ef2031c6cad,team_seattle_storm,Seattle Storm official,90,official_team,https://storm.wnba.com/,storm.wnba.com,ok,200,The Official Website of the Seattle Storm | WNBA,"Explore the official home for the WNBA storm for live scores, exciting video highlights, and the latest team news. Discover where we stand in the league and get the complete schedule for the 2026 WNBA season.","seattle storm, wnba",,Yes,"Matched source metadata terms: seattle storm, wnba",2026-06-10T01:48:18.969885+00:00,,Official team site.
0c3a76401657382c,ba4e7ef2031c6cad,team_las_vegas_aces,Las Vegas Aces official,90,official_team,https://aces.wnba.com/,aces.wnba.com,ok,200,The Official Website of the Las Vegas Aces | WNBA,"The official website of the Las Vegas Aces. Includes news, scores, schedules, statistics, photos and video.","las vegas aces, wnba",,Yes,"Matched source metadata terms: las vegas aces, wnba",2026-06-10T01:48:19.589526+00:00,,Official team site.
0c3a76401657382c,ba4e7ef2031c6cad,espn_wnba,ESPN WNBA,75,scoreboard_backup,https://www.espn.com/wnba/scoreboard,www.espn.com,ok,200,"WNBA Scores, 2026 Season - ESPN","Live scores for every 2026 WNBA season game on ESPN. Includes box scores, video highlights, play breakdowns and updated odds.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:20.100965+00:00,,Backup box score and story-link source.
0c3a76401657382c,ba4e7ef2031c6cad,ap_wnba,AP WNBA hub,70,wire_context,https://apnews.com/hub/wnba-basketball,apnews.com,ok,200,"WNBA Scores & Daily News | WNBA Stats, Scores & News Today","Read daily news surrounding WNBA stats, players, and scheduled games. View the WNBA recaps here with AP News, the definitive source of independent journalism.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:20.902535+00:00,,"Use for wire-style context, never copied prose."
0c3a76401657382c,481ee6ee61056920,wnba,WNBA official,100,official_league,https://www.wnba.com/,www.wnba.com,ok,200,The Official Home of the WNBA | Women's National Basketball Association,"The official home of the Women's National Basketball Association. Keep up to date with news, scores, and standings for your favorite teams.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:21.405674+00:00,,"Official WNBA league source. Use for schedule, stats, news, transactions, injuries."
0c3a76401657382c,481ee6ee61056920,team_connecticut_sun,Connecticut Sun official,90,official_team,https://sun.wnba.com/,sun.wnba.com,ok,200,Connecticut Sun | Official WNBA Team Website,"The official website of the Connecticut Sun, featuring the latest news, schedule, tickets, roster, fan experiences, and updates from the WNBA.","connecticut sun, wnba",,Yes,"Matched source metadata terms: connecticut sun, wnba",2026-06-10T01:48:22.040460+00:00,,Official team site.
0c3a76401657382c,481ee6ee61056920,espn_wnba,ESPN WNBA,75,scoreboard_backup,https://www.espn.com/wnba/scoreboard,www.espn.com,ok,200,"WNBA Scores, 2026 Season - ESPN","Live scores for every 2026 WNBA season game on ESPN. Includes box scores, video highlights, play breakdowns and updated odds.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:22.551575+00:00,,Backup box score and story-link source.
0c3a76401657382c,481ee6ee61056920,ap_wnba,AP WNBA hub,70,wire_context,https://apnews.com/hub/wnba-basketball,apnews.com,ok,200,"WNBA Scores & Daily News | WNBA Stats, Scores & News Today","Read daily news surrounding WNBA stats, players, and scheduled games. View the WNBA recaps here with AP News, the definitive source of independent journalism.",wnba,,Yes,Matched source metadata terms: wnba,2026-06-10T01:48:23.331043+00:00,,"Use for wire-style context, never copied prose."
