package_id,headline,variant,zip_path,folder_path,team_assets,player_assets,player_mode,status,notes
ig-feed_ig-feed-evening-preview_los-angeles-sparks-at-golden-state-valkyries,Los Angeles Sparks at Golden State Valkyries,logos_only,outputs/latest/production_graphics_director/graphics_variant_packs/zips/logos_only_ig-feed-ig-feed-evening-preview-los-angeles-sparks-at-golden-state-valkyries.zip,outputs/latest/production_graphics_director/graphics_variant_packs/logos_only/ig-feed-ig-feed-evening-preview-los-angeles-sparks-at-golden-state-valkyries,2,0,logos_only_forced,ready,logos-only safe variant
ig-feed_ig-feed-evening-preview_los-angeles-sparks-at-golden-state-valkyries,Los Angeles Sparks at Golden State Valkyries,with_players,outputs/latest/production_graphics_director/graphics_variant_packs/zips/with_players_ig-feed-ig-feed-evening-preview-los-angeles-sparks-at-golden-state-valkyries.zip,outputs/latest/production_graphics_director/graphics_variant_packs/with_players/ig-feed-ig-feed-evening-preview-los-angeles-sparks-at-golden-state-valkyries,2,4,team_candidate_players_review_required,ready,with_players includes approved/candidate headshots
ig-feed_ig-feed-noon_dallas-wings-beat-las-vegas-aces,Dallas Wings beat Las Vegas Aces,logos_only,outputs/latest/production_graphics_director/graphics_variant_packs/zips/logos_only_ig-feed-ig-feed-noon-dallas-wings-beat-las-vegas-aces.zip,outputs/latest/production_graphics_director/graphics_variant_packs/logos_only/ig-feed-ig-feed-noon-dallas-wings-beat-las-vegas-aces,2,0,logos_only_forced,ready,logos-only safe variant
ig-feed_ig-feed-noon_dallas-wings-beat-las-vegas-aces,Dallas Wings beat Las Vegas Aces,with_players,outputs/latest/production_graphics_director/graphics_variant_packs/zips/with_players_ig-feed-ig-feed-noon-dallas-wings-beat-las-vegas-aces.zip,outputs/latest/production_graphics_director/graphics_variant_packs/with_players/ig-feed-ig-feed-noon-dallas-wings-beat-las-vegas-aces,2,4,team_candidate_players_review_required,ready,with_players includes approved/candidate headshots
ig-stories_ig-stories-rolling-1_golden-state-valkyries-beat-los-angeles-sparks,Golden State Valkyries beat Los Angeles Sparks,logos_only,outputs/latest/production_graphics_director/graphics_variant_packs/zips/logos_only_ig-stories-ig-stories-rolling-1-golden-state-valkyries-beat-los-angeles-sparks.zip,outputs/latest/production_graphics_director/graphics_variant_packs/logos_only/ig-stories-ig-stories-rolling-1-golden-state-valkyries-beat-los-angeles-sparks,2,0,logos_only_forced,ready,logos-only safe variant
ig-stories_ig-stories-rolling-1_golden-state-valkyries-beat-los-angeles-sparks,Golden State Valkyries beat Los Angeles Sparks,with_players,outputs/latest/production_graphics_director/graphics_variant_packs/zips/with_players_ig-stories-ig-stories-rolling-1-golden-state-valkyries-beat-los-angeles-sparks.zip,outputs/latest/production_graphics_director/graphics_variant_packs/with_players/ig-stories-ig-stories-rolling-1-golden-state-valkyries-beat-los-angeles-sparks,2,4,team_candidate_players_review_required,ready,with_players includes approved/candidate headshots
ig-stories_ig-stories-rolling-2_last-night-in-the-w,Last Night in the W,logos_only,outputs/latest/production_graphics_director/graphics_variant_packs/zips/logos_only_ig-stories-ig-stories-rolling-2-last-night-in-the-w.zip,outputs/latest/production_graphics_director/graphics_variant_packs/logos_only/ig-stories-ig-stories-rolling-2-last-night-in-the-w,0,0,logos_only_forced,review_missing_assets,logos-only safe variant
ig-stories_ig-stories-rolling-2_last-night-in-the-w,Last Night in the W,with_players,outputs/latest/production_graphics_director/graphics_variant_packs/zips/with_players_ig-stories-ig-stories-rolling-2-last-night-in-the-w.zip,outputs/latest/production_graphics_director/graphics_variant_packs/with_players/ig-stories-ig-stories-rolling-2-last-night-in-the-w,0,0,no_approved_players_available,review_missing_assets,with_players includes approved/candidate headshots
threads_nightcap_dallas-wings-beat-las-vegas-aces,Dallas Wings beat Las Vegas Aces,logos_only,outputs/latest/production_graphics_director/graphics_variant_packs/zips/logos_only_threads-nightcap-dallas-wings-beat-las-vegas-aces.zip,outputs/latest/production_graphics_director/graphics_variant_packs/logos_only/threads-nightcap-dallas-wings-beat-las-vegas-aces,2,0,logos_only_forced,ready,logos-only safe variant
threads_nightcap_dallas-wings-beat-las-vegas-aces,Dallas Wings beat Las Vegas Aces,with_players,outputs/latest/production_graphics_director/graphics_variant_packs/zips/with_players_threads-nightcap-dallas-wings-beat-las-vegas-aces.zip,outputs/latest/production_graphics_director/graphics_variant_packs/with_players/threads-nightcap-dallas-wings-beat-las-vegas-aces,2,4,team_candidate_players_review_required,ready,with_players includes approved/candidate headshots
