name_variant,athlete_id,type
Nye,atlanta_dream_aaliyah_nye,auto_alias
Aaliyah Nye,atlanta_dream_aaliyah_nye,canonical
A. Nye,atlanta_dream_aaliyah_nye,auto_alias
A. Gray,atlanta_dream_allisha_gray,auto_alias
allisha gray,atlanta_dream_allisha_gray,auto_alias
Gray,atlanta_dream_allisha_gray,auto_alias
A. Okonkwo,atlanta_dream_amy_okonkwo,auto_alias
Okonkwo,atlanta_dream_amy_okonkwo,auto_alias
Amy Okonkwo,atlanta_dream_amy_okonkwo,canonical
angel reese,atlanta_dream_angel_reese,auto_alias
Reese,atlanta_dream_angel_reese,auto_alias
A. Reese,atlanta_dream_angel_reese,auto_alias
brionna jones,atlanta_dream_brionna_jones,auto_alias
Jones,atlanta_dream_brionna_jones,auto_alias
B. Jones,atlanta_dream_brionna_jones,auto_alias
Nivar,atlanta_dream_indya_nivar,auto_alias
I. Nivar,atlanta_dream_indya_nivar,auto_alias
indya nivar,atlanta_dream_indya_nivar,auto_alias
isobel borlase,atlanta_dream_isobel_borlase,auto_alias
I. Borlase,atlanta_dream_isobel_borlase,auto_alias
Borlase,atlanta_dream_isobel_borlase,auto_alias
Jordin Canada,atlanta_dream_jordin_canada,canonical
J. Canada,atlanta_dream_jordin_canada,auto_alias
Canada,atlanta_dream_jordin_canada,auto_alias
Okot,atlanta_dream_madina_okot,auto_alias
M. Okot,atlanta_dream_madina_okot,auto_alias
madina okot,atlanta_dream_madina_okot,auto_alias
naz hillmon,atlanta_dream_naz_hillmon,auto_alias
N. Hillmon,atlanta_dream_naz_hillmon,auto_alias
Hillmon,atlanta_dream_naz_hillmon,auto_alias
Rhyne Howard,atlanta_dream_rhyne_howard,canonical
R. Howard,atlanta_dream_rhyne_howard,auto_alias
Howard,atlanta_dream_rhyne_howard,auto_alias
sika kone,atlanta_dream_sika_kone,auto_alias
S. Kone,atlanta_dream_sika_kone,auto_alias
Kone,atlanta_dream_sika_kone,auto_alias
Te-Hina Paopao,atlanta_dream_te_hina_paopao,canonical
Te Hina Paopao,atlanta_dream_te_hina_paopao,auto_alias
T. Paopao,atlanta_dream_te_hina_paopao,auto_alias
Paopao,atlanta_dream_te_hina_paopao,auto_alias
A. Coulibaly,chicago_sky_aicha_coulibaly,auto_alias
Aicha Coulibaly,chicago_sky_aicha_coulibaly,canonical
Coulibaly,chicago_sky_aicha_coulibaly,auto_alias
Stevens,chicago_sky_azura_stevens,auto_alias
azura stevens,chicago_sky_azura_stevens,auto_alias
A. Stevens,chicago_sky_azura_stevens,auto_alias
C. Vandersloot,chicago_sky_courtney_vandersloot,auto_alias
Courtney Vandersloot,chicago_sky_courtney_vandersloot,canonical
Vandersloot,chicago_sky_courtney_vandersloot,auto_alias
dijonai carrington,chicago_sky_dijonai_carrington,auto_alias
Carrington,chicago_sky_dijonai_carrington,auto_alias
D. Carrington,chicago_sky_dijonai_carrington,auto_alias
Williams,chicago_sky_elizabeth_williams,auto_alias
elizabeth williams,chicago_sky_elizabeth_williams,auto_alias
E. Williams,chicago_sky_elizabeth_williams,auto_alias
Gabriela Jaquez,chicago_sky_gabriela_jaquez,canonical
G. Jaquez,chicago_sky_gabriela_jaquez,auto_alias
Jaquez,chicago_sky_gabriela_jaquez,auto_alias
Sheldon,chicago_sky_jacy_sheldon,auto_alias
jacy sheldon,chicago_sky_jacy_sheldon,auto_alias
J. Sheldon,chicago_sky_jacy_sheldon,auto_alias
Cardoso,chicago_sky_kamilla_cardoso,auto_alias
kamilla cardoso,chicago_sky_kamilla_cardoso,auto_alias
K. Cardoso,chicago_sky_kamilla_cardoso,auto_alias
Westbeld,chicago_sky_maddy_westbeld,auto_alias
Maddy Westbeld,chicago_sky_maddy_westbeld,canonical
M. Westbeld,chicago_sky_maddy_westbeld,auto_alias
Cloud,chicago_sky_natasha_cloud,auto_alias
natasha cloud,chicago_sky_natasha_cloud,auto_alias
