alias,team_id,alias_type
Atlanta,atlanta_dream,city
Atlanta Dream,atlanta_dream,canonical
Dream,atlanta_dream,nickname
Chicago,chicago_sky,city
Chicago Sky,chicago_sky,canonical
Sky,chicago_sky,nickname
Connecticut,connecticut_sun,city
Connecticut Sun,connecticut_sun,canonical
Sun,connecticut_sun,nickname
Indiana,indiana_fever,city
Indiana Fever,indiana_fever,canonical
Fever,indiana_fever,nickname
New York,new_york_liberty,city
New York Liberty,new_york_liberty,canonical
NY Liberty,new_york_liberty,short_name
Liberty,new_york_liberty,nickname
Toronto,toronto_tempo,city
Toronto Tempo,toronto_tempo,canonical
Tempo,toronto_tempo,nickname
Washington,washington_mystics,city
Washington Mystics,washington_mystics,canonical
Mystics,washington_mystics,nickname
Dallas,dallas_wings,city
Dallas Wings,dallas_wings,canonical
Wings,dallas_wings,nickname
Golden State,golden_state_valkyries,city
Golden State Valkyries,golden_state_valkyries,canonical
Valkyries,golden_state_valkyries,nickname
Las Vegas,las_vegas_aces,city
Las Vegas Aces,las_vegas_aces,canonical
Aces,las_vegas_aces,nickname
Los Angeles,los_angeles_sparks,city
Los Angeles Sparks,los_angeles_sparks,canonical
LA Sparks,los_angeles_sparks,short_name
Sparks,los_angeles_sparks,nickname
Minnesota,minnesota_lynx,city
Minnesota Lynx,minnesota_lynx,canonical
Lynx,minnesota_lynx,nickname
Phoenix,phoenix_mercury,city
Phoenix Mercury,phoenix_mercury,canonical
Mercury,phoenix_mercury,nickname
Portland,portland_fire,city
Portland Fire,portland_fire,canonical
Fire,portland_fire,nickname
Seattle,seattle_storm,city
Seattle Storm,seattle_storm,canonical
Storm,seattle_storm,nickname
