run_id,event_uid,canonical_key,selected_source,source_count,all_sources_json,sport_norm,league_norm,gender_scope,scheduled_start_utc,scheduled_date_local,home_team_norm,away_team_norm,game_state,status_norm,home_score,away_score,winner,loser,score_by_period_json,team_stats_json,player_stats_json,top_performers_json,confidence,confidence_reason_json,score_conflict,manual_review,include_in_dashboard,include_in_graphics,editorial_rank,graphics_headline,graphics_subhead,source_url,source_priority
62ec951579c45507,92f243a70374610e,soccer|2026-06-05|armenia w|kazakhstan w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T14:00:00+00:00,2026-06-05,armenia w,kazakhstan w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 1, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,125.0,Kazakhstan W vs Armenia W,Final: kazakhstan w 1 - armenia w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,c963bb1f60c1c4cc,soccer|2026-06-05|bosnia herzegovina w|lithuania w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:00:00+00:00,2026-06-05,bosnia herzegovina w,lithuania w,final,final,0,0,,,"{""goals"": {""home"": 0, ""away"": 0}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 0, ""away"": 0}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,125.0,Lithuania W vs Bosnia-Herzegovina W,Final: lithuania w 0 - bosnia herzegovina w 0,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,cad98f5397dda1e6,soccer|2026-06-05|moldova w|romania w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:00:00+00:00,2026-06-05,moldova w,romania w,final,final,0,0,,,"{""goals"": {""home"": 0, ""away"": 0}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 0, ""away"": 0}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,125.0,Romania W vs Moldova W,Final: romania w 0 - moldova w 0,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,e699031a352212dd,soccer|2026-06-05|albania w|czech republic w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:30:00+00:00,2026-06-05,czech republic w,albania w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,125.0,Albania W vs Czech Republic W,Final: albania w 1 - czech republic w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,be0fa76b478b2c46,soccer|2026-06-05|montenegro w|wales w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T16:00:00+00:00,2026-06-05,montenegro w,wales w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 1}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,125.0,Wales W vs Montenegro W,Final: wales w 1 - montenegro w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,b660894503253c02,soccer|2026-06-05|mexico u23 w|norway u23 w,api_sports,1,"[""api_sports""]",soccer,Friendlies Women,women,2026-06-05T13:00:00+00:00,2026-06-05,norway u23 w,mexico u23 w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,97.0,Mexico U23 W vs Norway U23 W,Final: mexico u23 w 1 - norway u23 w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,3a919636f616d5df,soccer|2026-06-05|egypt w|tunisia w,api_sports,1,"[""api_sports""]",soccer,Friendlies Women,women,2026-06-05T16:00:00+00:00,2026-06-05,egypt w,tunisia w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 1, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": 0, ""away"": 0}, ""penalty"": {""home"": 4, ""away"": 2}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,97.0,Tunisia W vs Egypt W,Final: tunisia w 1 - egypt w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,0a7542ab35347487,soccer|2026-06-05|argentina w|peru w,api_sports,1,"[""api_sports""]",soccer,CONMEBOL Nations League Women,women,2026-06-05T23:00:00+00:00,2026-06-05,argentina w,peru w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,97.0,Peru W vs Argentina W,Final: peru w 1 - argentina w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,e6caf5a207c9b415,soccer|2026-06-05|costa rica w|el salvador w,api_sports,1,"[""api_sports""]",soccer,Friendlies Women,women,2026-06-06T02:00:00+00:00,2026-06-05,el salvador w,costa rica w,final,final,1,1,,,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,97.0,Costa Rica W vs El Salvador W,Final: costa rica w 1 - el salvador w 1,https://v3.football.api-sports.io/fixtures,100
62ec951579c45507,5a4630a02a710e12,soccer|2026-06-06|malawi w|tanzania w,api_sports,1,"[""api_sports""]",soccer,Friendlies Women,women,2026-06-06T13:00:00+00:00,2026-06-06,tanzania w,malawi w,final,final,0,0,,,"{""goals"": {""home"": 0, ""away"": 0}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 0, ""away"": 0}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.96,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05], [""team_match_quality"", 0.04]], ""final_confidence"": 0.96}",No,Yes,Yes,No,97.0,Malawi W vs Tanzania W,Final: malawi w 0 - tanzania w 0,https://v3.football.api-sports.io/fixtures,100
