run_id,event_uid,canonical_key,selected_source,source_count,all_sources_json,sport_norm,league_norm,gender_scope,scheduled_start_utc,scheduled_date_local,home_team_norm,away_team_norm,game_state,status_norm,home_score,away_score,winner,loser,outcome_type,editorial_tier,editorial_bucket,content_action,score_by_period_json,team_stats_json,player_stats_json,top_performers_json,confidence,confidence_reason_json,score_conflict,manual_review,include_in_dashboard,include_in_graphics,editorial_rank,graphics_headline,graphics_subhead,source_url,source_priority
4bff93dc66058b4d,ca3a677d7a59a70e,soccer|2026-06-05|faroe islands w|georgia w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T13:30:00+00:00,2026-06-05,georgia w,faroe islands w,final,final,2,3,Faroe Islands W,Georgia W,win,Tier 1,Must Post,Make First,"{""goals"": {""home"": 2, ""away"": 3}, ""score"": {""halftime"": {""home"": 1, ""away"": 1}, ""fulltime"": {""home"": 2, ""away"": 3}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Faroe Islands W beat Georgia W,Final: Faroe Islands W 3 - Georgia W 2,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,7ccc233d187b7805,soccer|2026-06-05|finland w|slovakia w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T14:00:00+00:00,2026-06-05,slovakia w,finland w,final,final,0,4,Finland W,Slovakia W,win,Tier 1,Must Post,Make First,"{""goals"": {""home"": 0, ""away"": 4}, ""score"": {""halftime"": {""home"": 0, ""away"": 1}, ""fulltime"": {""home"": 0, ""away"": 4}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Finland W beat Slovakia W,Final: Finland W 4 - Slovakia W 0,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,6d07c2fa3b2f28ca,soccer|2026-06-05|azerbaijan w|hungary w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T14:00:00+00:00,2026-06-05,azerbaijan w,hungary w,final,final,1,2,Hungary W,Azerbaijan W,win,Tier 1,Must Post,Make First,"{""goals"": {""home"": 1, ""away"": 2}, ""score"": {""halftime"": {""home"": 0, ""away"": 1}, ""fulltime"": {""home"": 1, ""away"": 2}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Hungary W beat Azerbaijan W,Final: Hungary W 2 - Azerbaijan W 1,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,614f006a65175b4c,soccer|2026-06-05|armenia w|kazakhstan w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T14:00:00+00:00,2026-06-05,armenia w,kazakhstan w,final,final,1,1,,,draw,Tier 1,Must Post,Make First,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 1, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Kazakhstan W and Armenia W draw 1-1,Final: Kazakhstan W 1 - Armenia W 1,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,0fe7283a4ddab08e,soccer|2026-06-05|bosnia herzegovina w|lithuania w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:00:00+00:00,2026-06-05,bosnia herzegovina w,lithuania w,final,final,0,0,,,draw,Tier 1,Must Post,Make First,"{""goals"": {""home"": 0, ""away"": 0}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 0, ""away"": 0}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Lithuania W and Bosnia-Herzegovina W draw 0-0,Final: Lithuania W 0 - Bosnia-Herzegovina W 0,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,a8f8a7c94aee511a,soccer|2026-06-05|bulgaria w|gibraltar w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:00:00+00:00,2026-06-05,bulgaria w,gibraltar w,final,final,3,1,Bulgaria W,Gibraltar W,win,Tier 1,Must Post,Make First,"{""goals"": {""home"": 3, ""away"": 1}, ""score"": {""halftime"": {""home"": 2, ""away"": 0}, ""fulltime"": {""home"": 3, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Bulgaria W beat Gibraltar W,Final: Gibraltar W 1 - Bulgaria W 3,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,dc6c2f48743e6e51,soccer|2026-06-05|moldova w|romania w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:00:00+00:00,2026-06-05,moldova w,romania w,final,final,0,0,,,draw,Tier 1,Must Post,Make First,"{""goals"": {""home"": 0, ""away"": 0}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 0, ""away"": 0}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Romania W and Moldova W draw 0-0,Final: Romania W 0 - Moldova W 0,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,4f52229a192108f8,soccer|2026-06-05|albania w|czech republic w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T15:30:00+00:00,2026-06-05,czech republic w,albania w,final,final,1,1,,,draw,Tier 1,Must Post,Make First,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Albania W and Czech Republic W draw 1-1,Final: Albania W 1 - Czech Republic W 1,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,83d8d80428cc8c36,soccer|2026-06-05|montenegro w|wales w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T16:00:00+00:00,2026-06-05,montenegro w,wales w,final,final,1,1,,,draw,Tier 1,Must Post,Make First,"{""goals"": {""home"": 1, ""away"": 1}, ""score"": {""halftime"": {""home"": 0, ""away"": 1}, ""fulltime"": {""home"": 1, ""away"": 1}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Wales W and Montenegro W draw 1-1,Final: Wales W 1 - Montenegro W 1,https://v3.football.api-sports.io/fixtures,100
4bff93dc66058b4d,370804f724808114,soccer|2026-06-05|austria w|slovenia w,api_sports,1,"[""api_sports""]",soccer,World Cup - Women - Qualification Europe,women,2026-06-05T16:00:00+00:00,2026-06-05,austria w,slovenia w,final,final,1,0,Austria W,Slovenia W,win,Tier 1,Must Post,Make First,"{""goals"": {""home"": 1, ""away"": 0}, ""score"": {""halftime"": {""home"": 0, ""away"": 0}, ""fulltime"": {""home"": 1, ""away"": 0}, ""extratime"": {""home"": null, ""away"": null}, ""penalty"": {""home"": null, ""away"": null}}}",,,,0.92,"{""base_source"": ""api_sports"", ""base"": 0.72, ""adjustments"": [[""final_state"", 0.1], [""score_complete"", 0.05], [""period_data_present"", 0.05]], ""final_confidence"": 0.92}",No,No,Yes,Yes,161.0,Austria W beat Slovenia W,Final: Slovenia W 0 - Austria W 1,https://v3.football.api-sports.io/fixtures,100
