league_label,scoreboard_date,matchup,game_state,winner,loser,final_score,headline,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,confidence,result_graphic_ready,source_url
WNBA,20260611,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky,Chicago Sky 106 - Indiana Fever 114,Indiana Fever defeat Chicago Sky,Aliyah Boston,"PTS 34, REB 12, AST 3, STL 1, BLK 2",Caitlin Clark,"PTS 32, REB 7, AST 10, FG 8-18, 3PT 1-6",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856980
WNBA,20260611,New York Liberty at Atlanta Dream,Final,New York Liberty,Atlanta Dream,New York Liberty 104 - Atlanta Dream 90,New York Liberty defeat Atlanta Dream,Angel Reese,"PTS 25, REB 9, AST 3, STL 2, BLK 1",Breanna Stewart,"PTS 19, REB 11, AST 5, STL 2, BLK 1",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856981
WNBA,20260611,Phoenix Mercury at Dallas Wings,Final,Dallas Wings,Phoenix Mercury,Phoenix Mercury 70 - Dallas Wings 85,Dallas Wings defeat Phoenix Mercury,Paige Bueckers,"PTS 31, REB 6, AST 5, STL 1, FG 14-20",Jessica Shepard,"PTS 17, REB 10, AST 7, STL 2, FG 7-8",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856982
WNBA,20260611,Las Vegas Aces at Portland Fire,Final,Las Vegas Aces,Portland Fire,Las Vegas Aces 105 - Portland Fire 89,Las Vegas Aces defeat Portland Fire,A'ja Wilson,"PTS 32, REB 5, AST 4, STL 1, BLK 2",Jackie Young,"PTS 18, REB 8, AST 10, STL 1, BLK 1",High,Yes,https://www.espn.com/basketball/game/_/gameId/401856983
WNBA,20260612,Toronto Tempo at Washington Mystics,Upcoming,,,Toronto Tempo 0 - Washington Mystics 0,Toronto Tempo vs. Washington Mystics,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856984
WNBA,20260612,Golden State Valkyries at Seattle Storm,Upcoming,,,Golden State Valkyries 0 - Seattle Storm 0,Golden State Valkyries vs. Seattle Storm,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856985
WNBA,20260613,Indiana Fever at Connecticut Sun,Upcoming,,,Indiana Fever 0 - Connecticut Sun 0,Indiana Fever vs. Connecticut Sun,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856986
WNBA,20260613,Minnesota Lynx at Las Vegas Aces,Upcoming,,,Minnesota Lynx 0 - Las Vegas Aces 0,Minnesota Lynx vs. Las Vegas Aces,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856987
WNBA,20260613,Dallas Wings at Portland Fire,Upcoming,,,Dallas Wings 0 - Portland Fire 0,Dallas Wings vs. Portland Fire,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856988
WNBA,20260613,Los Angeles Sparks at Phoenix Mercury,Upcoming,,,Los Angeles Sparks 0 - Phoenix Mercury 0,Los Angeles Sparks vs. Phoenix Mercury,,,,,Medium,No,https://www.espn.com/basketball/game/_/gameId/401856989
