event_id,league_label,matchup,game_state,winner,loser,final_score,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,period_summary,confidence,manual_review_flag,source_url
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky,Chicago Sky 106 - Indiana Fever 114,Aliyah Boston,"PTS 34, REB 12, AST 3, STL 1, BLK 2",Caitlin Clark,"PTS 32, REB 7, AST 10, FG 8-18, 3PT 1-6",IND: 27 | 19 | 27 | 25 | 16 || CHI: 14 | 26 | 39 | 19 | 8,High,No,https://www.espn.com/basketball/game/_/gameId/401856980
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,Atlanta Dream,New York Liberty 104 - Atlanta Dream 90,Angel Reese,"PTS 25, REB 9, AST 3, STL 2, BLK 1",Breanna Stewart,"PTS 19, REB 11, AST 5, STL 2, BLK 1",ATL: 19 | 25 | 20 | 26 || NY: 21 | 30 | 29 | 24,High,No,https://www.espn.com/basketball/game/_/gameId/401856981
401856982,WNBA,Phoenix Mercury at Dallas Wings,Final,Dallas Wings,Phoenix Mercury,Phoenix Mercury 70 - Dallas Wings 85,Paige Bueckers,"PTS 31, REB 6, AST 5, STL 1, FG 14-20",Jessica Shepard,"PTS 17, REB 10, AST 7, STL 2, FG 7-8",DAL: 24 | 21 | 25 | 15 || PHX: 20 | 16 | 16 | 18,High,No,https://www.espn.com/basketball/game/_/gameId/401856982
401856983,WNBA,Las Vegas Aces at Portland Fire,Final,Las Vegas Aces,Portland Fire,Las Vegas Aces 105 - Portland Fire 89,A'ja Wilson,"PTS 32, REB 5, AST 4, STL 1, BLK 2",Jackie Young,"PTS 18, REB 8, AST 10, STL 1, BLK 1",POR: 28 | 22 | 22 | 17 || LV: 27 | 29 | 22 | 27,High,No,https://www.espn.com/basketball/game/_/gameId/401856983
401856984,WNBA,Toronto Tempo at Washington Mystics,Upcoming,,,Toronto Tempo 0 - Washington Mystics 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856984
401856985,WNBA,Golden State Valkyries at Seattle Storm,Upcoming,,,Golden State Valkyries 0 - Seattle Storm 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856985
401856986,WNBA,Indiana Fever at Connecticut Sun,Upcoming,,,Indiana Fever 0 - Connecticut Sun 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856986
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Upcoming,,,Minnesota Lynx 0 - Las Vegas Aces 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856987
401856988,WNBA,Dallas Wings at Portland Fire,Upcoming,,,Dallas Wings 0 - Portland Fire 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856988
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Upcoming,,,Los Angeles Sparks 0 - Phoenix Mercury 0,,,,,,Medium,Yes,https://www.espn.com/basketball/game/_/gameId/401856989
