sport_group,league_label,event_id,game_date_utc,scoreboard_date,status_detail,status_bucket,game_state,source,source_type,confidence,manual_review_flag,matchup,away_team,away_abbrev,away_score,away_record,away_logo,home_team,home_abbrev,home_score,home_record,home_logo,winner,loser,final_score,period_summary,venue,headline,primary_storyline,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,result_graphic_ready,source_url
WNBA,WNBA,401856980,2026-06-11T23:00Z,20260611,Final/OT,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Chicago Sky at Indiana Fever,Chicago Sky,CHI,106,"4-9, 1-5, 3-4",,Indiana Fever,IND,114,"7-5, 5-2, 2-3",,Indiana Fever,Chicago Sky,Chicago Sky 106 - Indiana Fever 114,IND: 27 | 19 | 27 | 25 | 16 || CHI: 14 | 26 | 39 | 19 | 8,Gainbridge Fieldhouse,Indiana Fever defeat Chicago Sky,"Aliyah Boston led the way with PTS 34, REB 12, AST 3, STL 1, BLK 2.",Aliyah Boston,"PTS 34, REB 12, AST 3, STL 1, BLK 2",Caitlin Clark,"PTS 32, REB 7, AST 10, FG 8-18, 3PT 1-6",Yes,https://www.espn.com/basketball/game/_/gameId/401856980
WNBA,WNBA,401856981,2026-06-11T23:30Z,20260611,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,New York Liberty at Atlanta Dream,New York Liberty,NY,104,"9-4, 5-3, 4-1",,Atlanta Dream,ATL,90,"8-4, 4-2, 4-2",,New York Liberty,Atlanta Dream,New York Liberty 104 - Atlanta Dream 90,ATL: 19 | 25 | 20 | 26 || NY: 21 | 30 | 29 | 24,Gateway Center,New York Liberty defeat Atlanta Dream,"Angel Reese led the way with PTS 25, REB 9, AST 3, STL 2, BLK 1.",Angel Reese,"PTS 25, REB 9, AST 3, STL 2, BLK 1",Breanna Stewart,"PTS 19, REB 11, AST 5, STL 2, BLK 1",Yes,https://www.espn.com/basketball/game/_/gameId/401856981
WNBA,WNBA,401856982,2026-06-12T01:00Z,20260611,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Phoenix Mercury at Dallas Wings,Phoenix Mercury,PHX,70,"4-10, 1-4, 3-6",,Dallas Wings,DAL,85,"8-4, 4-2, 4-2",,Dallas Wings,Phoenix Mercury,Phoenix Mercury 70 - Dallas Wings 85,DAL: 24 | 21 | 25 | 15 || PHX: 20 | 16 | 16 | 18,College Park Center,Dallas Wings defeat Phoenix Mercury,"Paige Bueckers led the way with PTS 31, REB 6, AST 5, STL 1, FG 14-20.",Paige Bueckers,"PTS 31, REB 6, AST 5, STL 1, FG 14-20",Jessica Shepard,"PTS 17, REB 10, AST 7, STL 2, FG 7-8",Yes,https://www.espn.com/basketball/game/_/gameId/401856982
WNBA,WNBA,401856983,2026-06-12T02:00Z,20260611,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Las Vegas Aces at Portland Fire,Las Vegas Aces,LV,105,"9-3, 2-2, 7-1",,Portland Fire,POR,89,"6-8, 4-5, 2-3",,Las Vegas Aces,Portland Fire,Las Vegas Aces 105 - Portland Fire 89,POR: 28 | 22 | 22 | 17 || LV: 27 | 29 | 22 | 27,Moda Center,Las Vegas Aces defeat Portland Fire,"A'ja Wilson led the way with PTS 32, REB 5, AST 4, STL 1, BLK 2.",A'ja Wilson,"PTS 32, REB 5, AST 4, STL 1, BLK 2",Jackie Young,"PTS 18, REB 8, AST 10, STL 1, BLK 1",Yes,https://www.espn.com/basketball/game/_/gameId/401856983
WNBA,WNBA,401856984,2026-06-12T23:30Z,20260612,Final,final,Final,ESPN public scoreboard/summary,structured scoreboard,High,No,Toronto Tempo at Washington Mystics,Toronto Tempo,TOR,85,"7-6, 4-2, 3-4",,Washington Mystics,WSH,86,"5-6, 2-3, 3-3",,Washington Mystics,Toronto Tempo,Toronto Tempo 85 - Washington Mystics 86,WSH: 17 | 23 | 25 | 21 || TOR: 14 | 23 | 15 | 33,CareFirst Arena,Washington Mystics defeat Toronto Tempo,"Marina Mabrey led the way with PTS 27, REB 1, AST 3, STL 1, FG 9-15.",Marina Mabrey,"PTS 27, REB 1, AST 3, STL 1, FG 9-15",Shakira Austin,"PTS 12, REB 11, AST 3, BLK 2, FG 3-6",Yes,https://www.espn.com/basketball/game/_/gameId/401856984
WNBA,WNBA,401856985,2026-06-13T02:00Z,20260612,6:57 - 3rd Quarter,upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Golden State Valkyries at Seattle Storm,Golden State Valkyries,GS,48,"7-5, 5-2, 2-3",,Seattle Storm,SEA,42,"3-11, 2-5, 1-6",,Golden State Valkyries,Seattle Storm,Golden State Valkyries 48 - Seattle Storm 42,SEA: 21 | 17 | 4 || GS: 21 | 19 | 8,Climate Pledge Arena,Golden State Valkyries vs. Seattle Storm,Game has not started yet. Use only for watch or schedule coverage.,Natisha Hiedeman,"PTS 13, REB 3, AST 3, STL 2, FG 4-7",Janelle Salaun,"PTS 16, REB 5, AST 1, FG 5-8, 3PT 3-6",No,https://www.espn.com/basketball/game/_/gameId/401856985
WNBA,WNBA,401856986,2026-06-13T22:00Z,20260613,"Sat, June 13th at 6:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Indiana Fever at Connecticut Sun,Indiana Fever,IND,0,"7-5, 5-2, 2-3",,Connecticut Sun,CON,0,"2-12, 1-4, 1-8",,,,Indiana Fever 0 - Connecticut Sun 0,,Mohegan Sun Arena,Indiana Fever vs. Connecticut Sun,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856986
WNBA,WNBA,401856987,2026-06-14T00:00Z,20260613,"Sat, June 13th at 8:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Minnesota Lynx at Las Vegas Aces,Minnesota Lynx,MIN,0,"10-2, 5-2, 5-0",,Las Vegas Aces,LV,0,"9-3, 2-2, 7-1",,,,Minnesota Lynx 0 - Las Vegas Aces 0,,Michelob ULTRA Arena,Minnesota Lynx vs. Las Vegas Aces,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856987
WNBA,WNBA,401856988,2026-06-14T00:30Z,20260613,"Sat, June 13th at 8:30 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Dallas Wings at Portland Fire,Dallas Wings,DAL,0,"8-4, 4-2, 4-2",,Portland Fire,POR,0,"6-8, 4-5, 2-3",,,,Dallas Wings 0 - Portland Fire 0,,Moda Center,Dallas Wings vs. Portland Fire,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856988
WNBA,WNBA,401856989,2026-06-14T02:00Z,20260613,"Sat, June 13th at 10:00 PM EDT",upcoming,Upcoming,ESPN public scoreboard/summary,structured scoreboard,Medium,Yes,Los Angeles Sparks at Phoenix Mercury,Los Angeles Sparks,LA,0,"6-6, 2-5, 4-1",,Phoenix Mercury,PHX,0,"4-10, 1-4, 3-6",,,,Los Angeles Sparks 0 - Phoenix Mercury 0,,Mortgage Matchup Center,Los Angeles Sparks vs. Phoenix Mercury,Game has not started yet. Use only for watch or schedule coverage.,,,,,No,https://www.espn.com/basketball/game/_/gameId/401856989
