event_id,league_label,matchup,game_state,winner,final_score,performer_rank,player_name,team,statline,source
401856986,WNBA,Indiana Fever at Connecticut Sun,Final,Indiana Fever,Indiana Fever 85 - Connecticut Sun 75,1,Caitlin Clark,Indiana Fever,"PTS 25, REB 3, AST 5, BLK 1, FG 10-17",WNBA
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Final,Las Vegas Aces,Minnesota Lynx 97 - Las Vegas Aces 100,1,A'ja Wilson,Las Vegas Aces,"PTS 24, REB 10, AST 1, STL 2, BLK 3",WNBA
401856988,WNBA,Dallas Wings at Portland Fire,Final,Portland Fire,Dallas Wings 83 - Portland Fire 84,1,Azzi Fudd,Dallas Wings,"PTS 18, REB 4, AST 3, STL 2, BLK 2",WNBA
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Final,Los Angeles Sparks,Los Angeles Sparks 111 - Phoenix Mercury 102,1,Kelsey Plum,Los Angeles Sparks,"PTS 43, REB 2, AST 7, FG 14-26, 3PT 5-11",WNBA
401856990,WNBA,Washington Mystics at New York Liberty,Final,New York Liberty,Washington Mystics 64 - New York Liberty 86,1,Breanna Stewart,New York Liberty,"PTS 14, REB 12, AST 1, BLK 7, FG 5-12",WNBA
401856991,WNBA,Atlanta Dream at Toronto Tempo,Final,Atlanta Dream,Atlanta Dream 102 - Toronto Tempo 77,1,Rhyne Howard,Atlanta Dream,"PTS 24, REB 6, AST 2, STL 1, BLK 3",WNBA
401856986,WNBA,Indiana Fever at Connecticut Sun,Final,Indiana Fever,Indiana Fever 85 - Connecticut Sun 75,2,Aliyah Boston,Indiana Fever,"PTS 13, REB 11, AST 5, STL 1, FG 5-13",WNBA
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Final,Las Vegas Aces,Minnesota Lynx 97 - Las Vegas Aces 100,2,Natasha Howard,Minnesota Lynx,"PTS 22, REB 9, AST 2, STL 4, BLK 1",WNBA
401856988,WNBA,Dallas Wings at Portland Fire,Final,Portland Fire,Dallas Wings 83 - Portland Fire 84,2,Jessica Shepard,Dallas Wings,"PTS 13, REB 14, AST 2, STL 1, FG 5-10",WNBA
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Final,Los Angeles Sparks,Los Angeles Sparks 111 - Phoenix Mercury 102,2,Kahleah Copper,Phoenix Mercury,"PTS 41, REB 10, AST 1, FG 16-30, 3PT 6-14",WNBA
401856990,WNBA,Washington Mystics at New York Liberty,Final,New York Liberty,Washington Mystics 64 - New York Liberty 86,2,Jonquel Jones,New York Liberty,"PTS 20, REB 4, AST 1, STL 3, BLK 2",WNBA
401856991,WNBA,Atlanta Dream at Toronto Tempo,Final,Atlanta Dream,Atlanta Dream 102 - Toronto Tempo 77,2,Allisha Gray,Atlanta Dream,"PTS 26, REB 3, AST 7, STL 1, FG 8-14",WNBA
401856986,WNBA,Indiana Fever at Connecticut Sun,Final,Indiana Fever,Indiana Fever 85 - Connecticut Sun 75,3,Kelsey Mitchell,Indiana Fever,"PTS 19, REB 2, AST 5, STL 1, FG 6-15",WNBA
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Final,Las Vegas Aces,Minnesota Lynx 97 - Las Vegas Aces 100,3,Chelsea Gray,Las Vegas Aces,"PTS 23, REB 4, AST 7, STL 2, FG 7-15",WNBA
401856988,WNBA,Dallas Wings at Portland Fire,Final,Portland Fire,Dallas Wings 83 - Portland Fire 84,3,Aziaha James,Dallas Wings,"PTS 17, REB 6, AST 4, STL 2, FG 6-18",WNBA
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Final,Los Angeles Sparks,Los Angeles Sparks 111 - Phoenix Mercury 102,3,Nneka Ogwumike,Los Angeles Sparks,"PTS 15, REB 15, AST 3, STL 1, BLK 3",WNBA
401856990,WNBA,Washington Mystics at New York Liberty,Final,New York Liberty,Washington Mystics 64 - New York Liberty 86,3,Michaela Onyenwere,Washington Mystics,"PTS 17, REB 4, AST 1, BLK 1, FG 7-10",WNBA
401856991,WNBA,Atlanta Dream at Toronto Tempo,Final,Atlanta Dream,Atlanta Dream 102 - Toronto Tempo 77,3,Angel Reese,Atlanta Dream,"PTS 15, REB 17, AST 1, STL 1, BLK 1",WNBA
401856986,WNBA,Indiana Fever at Connecticut Sun,Final,Indiana Fever,Indiana Fever 85 - Connecticut Sun 75,4,Leila Lacan,Connecticut Sun,"PTS 11, REB 1, AST 7, STL 4, FG 5-9",WNBA
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Final,Las Vegas Aces,Minnesota Lynx 97 - Las Vegas Aces 100,4,Olivia Miles,Minnesota Lynx,"PTS 29, REB 4, AST 1, STL 1, FG 11-20",WNBA
401856988,WNBA,Dallas Wings at Portland Fire,Final,Portland Fire,Dallas Wings 83 - Portland Fire 84,4,Arike Ogunbowale,Dallas Wings,"PTS 22, REB 6, AST 2, FG 7-16, 3PT 2-7",WNBA
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Final,Los Angeles Sparks,Los Angeles Sparks 111 - Phoenix Mercury 102,4,Natasha Mack,Phoenix Mercury,"PTS 11, REB 12, AST 4, STL 4, BLK 3",WNBA
401856990,WNBA,Washington Mystics at New York Liberty,Final,New York Liberty,Washington Mystics 64 - New York Liberty 86,4,Shakira Austin,Washington Mystics,"PTS 8, REB 6, AST 4, BLK 1, FG 3-12",WNBA
401856991,WNBA,Atlanta Dream at Toronto Tempo,Final,Atlanta Dream,Atlanta Dream 102 - Toronto Tempo 77,4,Julie Allemand,Toronto Tempo,"PTS 13, REB 3, AST 6, STL 2, BLK 2",WNBA
401856986,WNBA,Indiana Fever at Connecticut Sun,Final,Indiana Fever,Indiana Fever 85 - Connecticut Sun 75,5,Monique Billings,Indiana Fever,"PTS 10, REB 8, AST 2, STL 1, BLK 2",WNBA
401856987,WNBA,Minnesota Lynx at Las Vegas Aces,Final,Las Vegas Aces,Minnesota Lynx 97 - Las Vegas Aces 100,5,Jackie Young,Las Vegas Aces,"PTS 16, REB 5, AST 10, STL 1, FG 5-10",WNBA
401856988,WNBA,Dallas Wings at Portland Fire,Final,Portland Fire,Dallas Wings 83 - Portland Fire 84,5,Megan Gustafson,Portland Fire,"PTS 16, REB 6, AST 4, BLK 2, FG 7-11",WNBA
401856989,WNBA,Los Angeles Sparks at Phoenix Mercury,Final,Los Angeles Sparks,Los Angeles Sparks 111 - Phoenix Mercury 102,5,Rae Burrell,Los Angeles Sparks,"PTS 24, REB 3, AST 1, BLK 3, FG 9-15",WNBA
401856990,WNBA,Washington Mystics at New York Liberty,Final,New York Liberty,Washington Mystics 64 - New York Liberty 86,5,Sonia Citron,Washington Mystics,"PTS 12, REB 3, AST 2, FG 3-9, 3PT 1-5",WNBA
401856991,WNBA,Atlanta Dream at Toronto Tempo,Final,Atlanta Dream,Atlanta Dream 102 - Toronto Tempo 77,5,Isabelle Harrison,Toronto Tempo,"PTS 17, REB 3, STL 1, BLK 2, FG 6-11",WNBA
