source_name,sport_or_league,date,event_id,event_name,status,score,tournament,source_url,likely_womens,date_match,raw_note
ESPN public scoreboard,WNBA,2026-06-12,401856984,Toronto Tempo at Washington Mystics,Final,Mystics 86 - Tempo 85,WNBA,https://www.espn.com/basketball/game/_/gameId/401856984,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-12,401856985,Golden State Valkyries at Seattle Storm,Final,Storm 72 - Valkyries 76,WNBA,https://www.espn.com/basketball/game/_/gameId/401856985,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-13,401856986,Indiana Fever at Connecticut Sun,"Sat, June 13th at 6:00 PM EDT",Sun 0 - Fever 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856986,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-13,401856987,Minnesota Lynx at Las Vegas Aces,"Sat, June 13th at 8:00 PM EDT",Aces 0 - Lynx 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856987,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-13,401856988,Dallas Wings at Portland Fire,"Sat, June 13th at 8:30 PM EDT",Fire 0 - Wings 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856988,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-13,401856989,Los Angeles Sparks at Phoenix Mercury,"Sat, June 13th at 10:00 PM EDT",Mercury 0 - Sparks 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856989,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-14,401856990,Washington Mystics at New York Liberty,"Sun, June 14th at 3:00 PM EDT",Liberty 0 - Mystics 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856990,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-14,401856991,Atlanta Dream at Toronto Tempo,"Sun, June 14th at 3:00 PM EDT",Tempo 0 - Dream 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856991,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-15,401856992,Las Vegas Aces at Dallas Wings,"Mon, June 15th at 8:00 PM EDT",Wings 0 - Aces 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856992,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-15,401856993,Portland Fire at Minnesota Lynx,"Mon, June 15th at 8:00 PM EDT",Lynx 0 - Fire 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856993,Yes,Yes,Date-specific ESPN scoreboard response.
ESPN public scoreboard,WNBA,2026-06-15,401856994,Los Angeles Sparks at Golden State Valkyries,"Mon, June 15th at 10:00 PM EDT",Valkyries 0 - Sparks 0,WNBA,https://www.espn.com/basketball/game/_/gameId/401856994,Yes,Yes,Date-specific ESPN scoreboard response.
NCAA API / ncaa.com-derived,DI Softball,2026-06-12,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/2026-06-12,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-12,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/20260612,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-13,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/2026-06-13,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-13,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/20260613,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-14,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/2026-06-14,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-14,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/20260614,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-15,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/2026-06-15,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DI Softball,2026-06-15,,"{""game"": {""gameID"": ""6599933"", ""away"": {""score"": ""4"", ""names"": {""char6"": ""TEXAS"", ""short"": ""Texas"",",,,DI Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d1/20260615,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DII Softball,2026-06-12,,"{""game"": {""gameID"": ""6600869"", ""away"": {""score"": ""5"", ""names"": {""char6"": ""ST LEO"", ""short"": ""Saint L",,,DII Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d2/2026-06-12,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DII Softball,2026-06-12,,"{""game"": {""gameID"": ""6600869"", ""away"": {""score"": ""5"", ""names"": {""char6"": ""ST LEO"", ""short"": ""Saint L",,,DII Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d2/20260612,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
NCAA API / ncaa.com-derived,DII Softball,2026-06-13,,"{""game"": {""gameID"": ""6600869"", ""away"": {""score"": ""5"", ""names"": {""char6"": ""ST LEO"", ""short"": ""Saint L",,,DII Softball,https://ncaa-api.henrygd.me/scoreboard/softball/d2/2026-06-13,Yes,"No, event date unknown",Rejected as stale/default NCAA API data.
