packet_id,headline,check_type,status,instruction
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,score_lock,Required,Confirm headline winner and final score match packet exactly.
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,context_lock,Required,Confirm Slide 3/context uses only packet text.
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,end_slide,Required,"For carousel assets, confirm branded end slide is included."
8f6dab7bc2d01b34,Dallas Wings beat Los Angeles Sparks,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,score_lock,Required,Confirm headline winner and final score match packet exactly.
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,context_lock,Required,Confirm Slide 3/context uses only packet text.
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,end_slide,Required,"For carousel assets, confirm branded end slide is included."
34825fad349f2655,Las Vegas Aces beat Golden State Valkyries,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,score_lock,Required,Confirm headline winner and final score match packet exactly.
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,context_lock,Required,Confirm Slide 3/context uses only packet text.
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,end_slide,Required,"For carousel assets, confirm branded end slide is included."
d5aded4985e7c751,Minnesota Lynx beat Seattle Storm,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,score_lock,Required,Confirm headline winner and final score match packet exactly.
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,context_lock,Required,Confirm Slide 3/context uses only packet text.
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,end_slide,Required,"For carousel assets, confirm branded end slide is included."
8c900b80e4b79068,Phoenix Mercury beat Portland Fire,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
1ab1cec3ba763840,USA W beat France W,score_lock,Required,Confirm headline winner and final score match packet exactly.
1ab1cec3ba763840,USA W beat France W,side_lock,Required,"Confirm no team side, logo side, or score side is swapped."
1ab1cec3ba763840,USA W beat France W,watermark,Required,Confirm locked HSD watermark bug is top-left and consistent.
1ab1cec3ba763840,USA W beat France W,no_fake_jerseys,Required,"Confirm there are no fabricated jersey numbers, fake uniforms, or invented player details."
1ab1cec3ba763840,USA W beat France W,context_lock,Required,Confirm Slide 3/context uses only packet text.
1ab1cec3ba763840,USA W beat France W,end_slide,N/A,"For carousel assets, confirm branded end slide is included."
1ab1cec3ba763840,USA W beat France W,export_size,Required,"Confirm 1080x1350 feed export, plus 1080x1920 story crop if requested."
